"","lipid storage","lipid-mediated signalling","membrane component"
"membrane component",0.437632135306554,0.891120507399577,1
"lipid-mediated signalling",0.110842645726367,1,0.891120507399577
"lipid storage",1,0.110842645726367,0.437632135306554
