"","endoplasmic reticulum (ER)","lipid droplet","endosome/lysosome","golgi apparatus","plasma membrane"
"plasma membrane",0.368770764119601,0.234068257324071,0.997734823316219,0.999697976442163,1
"lipid droplet",0.430534581697372,1,0.215191784959227,0.230141951072184,0.234068257324071
"golgi apparatus",0.371790999697976,0.230141951072184,0.997734823316219,1,0.999697976442163
"endosome/lysosome",0.361975234068257,0.215191784959227,1,0.997734823316219,0.997734823316219
"endoplasmic reticulum (ER)",1,0.430534581697372,0.361975234068257,0.371790999697976,0.368770764119601
