"","BS-671D0","KT-974D0","KT-880D0","KT-805D0","KT-771D0","KT-723D0","KT-716D0","KT-695D0","KT-663D0","KT-539D0","KT-538D0","KT-537D0","KT-445D0","KT-412D0","KT-313D0","JV-138D0","BS-377D0","BS-364D0","BS-351D0","BS-346D0","BS-336D0","BS-082D0","JV-071D0","KT-718D0","KT-705D0","KT-612D0","KT-565D0","KT-525D0","KT-522D0","KT-434D0","KT-417D0","KT-352D0","KT-347D0","KT-312D0","KT-247D0","KT-193D0","JV-157D0","JV-148D0","KT-926D0","KT-515D0","JV-048D0","BS-064D0","JV-035D0"
"DG 34:1",-0.548713682070518,-1.25017341227407,0.679565897581535,1.1058406254423,0.676415012565515,-1.37104869560914,0.816644279785916,-0.805053750580751,-1.77889087744247,-1.29416269713356,-0.0483813829208783,-0.815240396243324,-0.967175939759881,-1.54039728933493,-0.688798620138906,-0.00986382825325046,0.676415012565515,-0.573827979306328,-0.0938833240144268,-1.27932942199782,-0.430101076528493,0.02224498971149,1.71949911352524,0.448969365003518,0.543494459596885,-1.05056384658042,1.08772273778805,0.104094714940692,-0.616822963396268,-0.688798620138906,0.79096494330414,0.34682751780288,0.752929803496636,0.429955057313069,0.588239934739875,1.68863357189648,0.522297912151862,0.257866711891852,1.55390707111023,-1.46992190551952,-0.0262283206792379,-0.0483813829208783,2.5832306806303
"DG 32:0",-1.14678712442167,-1.14678712442167,0.825195221155095,0.841762100163564,0.852477274391217,-1.14678712442167,0.7586287875423,-1.14678712442167,-1.14678712442167,-1.14678712442167,0.513267860391289,-1.14678712442167,-1.14678712442167,-1.14678712442167,-1.14678712442167,0.79615185038097,0.703172120667677,-1.14678712442167,0.5953154883931,-1.14678712442167,-1.14678712442167,0.639907985635243,1.13430115539479,0.907242849156906,0.868086332414135,0.336392384856981,1.06728328983302,-1.14678712442167,-1.14678712442167,-1.14678712442167,0.892955425142639,0.545813319318211,0.745392066915669,0.873171313709618,0.868086332414135,1.15097032240382,0.868086332414135,-1.14678712442167,0.988508520304294,-1.14678712442167,0.613686041385224,0.79615185038097,1.4601620148251
"DG 36:3",0.121507139893673,-0.217608785676556,0.339181185924291,0.728775474552287,0.710785079107106,-0.20411657920336,0.696871191519656,0.235987505823753,-2.10704649510506,-2.10704649510506,0.27448072385575,0.235987505823753,-2.10704649510506,-2.10704649510506,-0.14145990003966,0.383986598129704,0.522570383491734,-0.217608785676556,0.121507139893673,-2.10704649510506,0.24166429177075,0.279754076194897,1.02790776094083,0.569680058928629,0.610099834576625,-0.231460826416996,0.672819638337108,0.194411663052646,-2.10704649510506,-2.10704649510506,0.701550689331816,0.675275532954816,0.56059375007243,0.532340340691133,0.417240879641283,1.00374429980912,0.604514611472183,0.488609222031022,0.975660663511212,-0.107199963336892,0.405018651169924,0.310317052493806,1.22593736108984
"DG 34:2",-1.14608564997752,-1.14608564997752,-1.14608564997752,0.922529392710462,0.922529392710462,-1.14608564997752,0.918014841653505,-1.14608564997752,-1.14608564997752,-1.14608564997752,0.487896406099109,-1.14608564997752,-1.14608564997752,-1.14608564997752,-1.14608564997752,0.729024270343167,0.749292101364439,-1.14608564997752,0.532853300097325,-1.14608564997752,-1.14608564997752,0.573717281504358,1.23835661078179,0.774967320717952,0.885074870169763,-1.14608564997752,0.989198775778573,0.5434230595066,-1.14608564997752,-1.14608564997752,0.89948875011229,0.833386411995277,0.799253994764513,0.700494426453943,0.762313130426282,1.24497875600846,0.685519904851087,0.685519904851087,1.10466190639469,-1.14608564997752,0.645742245736772,0.592834807033728,1.40846983752967
"DG 36:2",-0.254119262806636,-0.756810831282281,0.173360606521615,1.02799246490568,0.565577537561626,-0.60898590311335,0.628370946208956,-0.535364046750196,-1.16945225284912,-0.383841148313595,0.0465599624827982,-0.166446847427066,-0.652637527920186,-4.82199682238771,-0.897747077906548,0.324830783247427,0.676873832966562,-0.519787576829467,0.293994585831714,-0.983851521457789,-0.467292395023978,-0.295324385905852,1.3153079474797,0.324830783247427,0.783280543831971,-0.679878170823145,0.926444690167271,0.21880294128041,-0.135645697937763,-0.344838852410008,0.691133182264757,0.619663284819827,0.512983102520524,0.0299067190436862,0.656104806212938,1.25673289758631,0.33388006967833,0.242356938855657,0.934199354733544,-0.600503090788649,-0.0536800836538933,0.297126002745007,1.4478895113935
"CAR 16:0",0.733168969752394,0.851312899853157,-1.45287697030583,1.29949479116176,0.413516211941924,0.700269100907301,1.29949479116176,0.733168969752394,0.361105598339196,0.733168969752394,0.629488113086259,0.304497823201428,0.851312899853157,0.928540784121763,-1.45287697030583,-1.45287697030583,0.733168969752394,1.19047640242126,0.629488113086259,0.794705124715389,0.591250712166804,0.361105598339196,-1.45287697030583,-1.45287697030583,-1.45287697030583,0.550827159142085,-1.45287697030583,0.361105598339196,-1.45287697030583,0.361105598339196,0.764606129404092,0.665763738426277,-1.45287697030583,-1.45287697030583,0.242961668238432,0.175556436912315,-1.45287697030583,-1.45287697030583,0.304497823201428,0.733168969752394,0.413516211941924,-1.45287697030583,0.175556436912315
"CAR 18:1",0.501396696013153,0.620807735696699,-3.22758691480232,1.33267057644358,0.0520597437490328,0.657565700191334,0.990419415994003,0.582607919781007,-0.173708180239091,0.639360114858266,0.522343104541605,0.315314539741758,0.389322568290333,0.951193828043475,-0.729402016807789,-3.22758691480232,0.639360114858266,0.60189509373944,0.1479374664589,0.458101992505401,0.412792871615554,0.262654663529775,-0.30983218313229,-0.412450212722469,-0.0542971405555452,0.235217061615048,0.458101992505401,0.1479374664589,0.1479374664589,0.365272693119954,0.54284850312046,0.807703908277114,-0.468120819174364,-3.22758691480232,0.117015172250735,0.017881834953995,-0.468120819174364,-0.527167409793344,-0.217002883746843,0.365272693119954,0.389322568290333,-0.412450212722469,-0.217002883746843
"CAR 18:2",0.802798879193453,0.988746796326358,-1.19224043085581,1.25437953038572,-1.19224043085581,1.17685944941575,1.30720329104255,1.04089265619823,0.432481753731067,0.837553254940123,0.595883945743289,0.686359713553889,0.766164996615975,1.32393406153369,-1.19224043085581,-1.19224043085581,0.727436640104731,0.902131789833491,-1.19224043085581,0.686359713553889,0.727436640104731,0.545671216364001,-1.19224043085581,-1.19224043085581,0.296514960513551,0.766164996615975,-1.19224043085581,0.296514960513551,-1.19224043085581,0.595883945743289,0.642630878419954,0.727436640104731,-1.19224043085581,-1.19224043085581,-1.19224043085581,-1.19224043085581,-1.19224043085581,-1.19224043085581,0.367903218837699,0.902131789833491,0.870611605325544,-1.19224043085581,-1.19224043085581
"CE 18:2",0.310520077026145,0.751297876545005,-1.64962731909957,0.930212148313751,-1.64962731909957,0.607109494561459,0.36248427685375,0.540380755841801,0.596348806221764,0.463221170314832,0.15775334260838,0.34205754209786,0.99624860948107,1.0052542147613,0.622145524228935,0.925557766059994,0.729533088285626,0.543170398130458,0.62665749863176,0.550058249317959,0.418025026866083,0.48801639820741,-1.64962731909957,0.517313059602437,0.456333319127332,0.630007477133584,-1.64962731909957,-1.64962731909957,-1.64962731909957,-1.64962731909957,0.526124457156905,0.0837972221611687,-1.64962731909957,0.330228259502827,0.792217861526551,0.481557271788191,0.71906196061369,-1.64962731909957,-1.64962731909957,0.597559237781811,-1.64962731909957,0.915010957051216,0.130637162294245
"LPC O-16:0",0.630686341241279,0.478081544759498,-1.57949381419033,0.633403560534519,0.625970416546423,0.692031563492564,0.766213888727975,0.506183391528427,0.661953949591398,0.55978677003619,0.455224767946531,0.589373625457748,0.738775652677694,0.776717317349658,0.722840139313172,0.518035242462179,0.545124284848743,0.902115403915307,0.481621187252858,0.818872925936147,0.680358616585656,0.382501453071126,-1.57949381419033,-1.57949381419033,-1.57949381419033,0.663880809472628,-1.57949381419033,-1.57949381419033,-1.57949381419033,-1.57949381419033,0.442747024006155,0.623184951523792,0.480980703955151,0.717335160404365,0.520575570080886,-1.57949381419033,-1.57949381419033,-1.57949381419033,0.591601815026763,0.632242039982078,0.695824080255377,-1.57949381419033,0.41968157230167
