"","KT-313D0","KT-412D0","KT-539D0","BS-346D0","KT-663D0","BS-364D0","BS-671D0","BS-336D0","KT-723D0","KT-716D0","KT-537D0","KT-974D0","KT-538D0","KT-515D0","KT-695D0","KT-612D0","KT-445D0","BS-082D0","JV-048D0","KT-352D0","KT-522D0","KT-525D0","KT-434D0","KT-805D0","KT-347D0","KT-417D0","JV-035D0","KT-193D0","JV-157D0","KT-565D0","BS-377D0","KT-718D0","KT-247D0","KT-312D0","BS-064D0","JV-138D0","BS-351D0","KT-771D0","KT-926D0","KT-705D0","JV-148D0","JV-071D0","KT-880D0"
"SM 41:1;O2",0.0713067511018319,0.900733441303264,1.24976789572131,1.23489661875469,1.51540590036251,0.780743945304976,-0.0185899360453039,0.419587706695201,0.0128835656462167,0.396688330660917,-1.21438680123106,-1.53399626715726,0.122123778153853,-0.357632274206573,-0.0896907090814542,1.05783578516272,0.406899346686796,-0.357632274206573,-0.598997166328866,-0.173795814346569,-1.11114639108304,-0.668799076700591,-2.50727856752894,0.43219329794764,-0.47454878997492,-0.458545135057356,-0.899741233936544,-0.0635322008633972,-0.802122991123203,-0.0700387062918323,0.553923099961437,-0.971132001587346,0.16876086003079,-0.691139560046723,2.22435236490826,2.07240711406541,1.39556126262957,1.46158238295662,-1.05066710741291,0.211483977155782,-1.38681974655682,-0.879819095771748,-0.309085578670786
"SM 40:1;O2",-0.672581429441032,0.754820349340862,1.31063122215979,1.25487947305192,1.11663773973919,0.651863862642113,0.0610416599070735,0.0427123559370994,-0.302991914579674,0.375886137231551,-1.07807134575261,-1.41099592603549,0.0903669265236072,-0.720264066243422,0.113854697591536,0.51421019426486,0.415158470992315,-0.429851542212268,-0.483522534118003,-0.293248060760998,-0.718339029495994,-0.538382475897309,-2.50324221958474,0.96827377102602,-0.431564831558269,-0.280315604998168,-0.501086860584055,0.0525988347386543,-0.409383990583795,0.50130836249997,0.963399611509624,-1.04491744164382,0.597038301827761,-0.704905507557338,2.24773544342621,2.03430542867463,1.15396207997473,1.60835179930025,-1.80466583956701,0.0722541732345914,-1.54433107096604,-0.646274782157164,-0.382354421857185
"SM 42:1;O2",-0.126291518079253,0.876714572187183,0.918982622339043,1.08276733171338,0.424440922610755,0.956599970470441,0.0920109757702807,0.169771222722584,-0.251309966108646,0.362013542609521,-0.720001350825301,-0.634972102702703,-0.0448305027121781,-0.472667939237215,0.017251875218535,0.874727856860163,0.534693158462534,-0.837489578512978,-0.378797711202735,-0.299303069149559,-0.901086387352693,-0.0188669786558643,-2.33378609863116,0.69430309504042,-0.393249079489886,-0.339559375363486,-0.896479635475834,-0.35552332179712,-0.0356303797566287,0.641690086791142,0.464653759954375,-1.56177782922423,-0.00374224348369296,-0.833019467685403,2.7051593296791,2.01575823293953,1.78805097399331,1.44435719800504,-1.85209230657907,0.0920109757702807,-0.912647465711281,-1.28714908344121,-0.665684311959483
"SM 38:1;O2",-0.515224897575414,1.04029484295905,1.4754101244355,1.32923361305628,0.741352978879853,0.367270210481,0.0701457336271863,-0.0342287570517333,0.0238579476019693,0.646199506299127,-0.734645203296946,-1.85985199632627,0.227811701975802,-0.654868350173918,-0.146647060255029,0.765986517593671,0.0630762415835797,-1.12347242362552,-0.0159413792414813,-0.345142446608984,-0.390851917025142,-0.636436679747292,-2.65449393674137,1.28018584448917,-0.768195751749081,-0.27198316344397,-0.581888502551766,0.309770634105504,-0.841532574154561,0.0771966705522333,0.699788373144559,-0.627268051645136,0.970514155336041,-0.304252685706761,1.79646846087178,2.02076229667352,0.4787039224155,1.41404017923263,-1.91102317065567,0.538670819190385,-1.56525027016759,-0.458758355408474,0.105216798647763
"SM 41:2;O2",0.781043530359977,1.1432199080059,1.84859441779899,1.34783699985434,1.35725840858532,0.0334856219731676,0.207271901220905,0.769737836210903,0.769737836210903,0.583129651173892,-1.30773997780185,-1.51058742961709,-0.203859487254603,-0.068170530409514,0.0191616563706842,1.44539044351466,0.0760726902360487,-0.329557032204658,-0.841669265130947,0.193714745609174,-1.71488999108653,-0.527987995840921,-2.90666400114061,0.534706664977967,-0.712443526800167,-0.273949235993803,-1.32964726936553,-0.068170530409514,-1.2859832530054,-0.031488880143705,0.320222071581446,0.0047725816099441,-0.0387912847589694,-0.804206212549832,1.06165427497018,1.84859441779899,-0.0978249954825703,1.2129055426532,-0.562303681434454,0.571093169003579,-0.851104714730286,-0.579602035938139,-0.0829630386210976
"SM 39:1;O2",0.401624557691583,0.648599802146526,0.842825818838018,0.873414134019662,0.865862515941272,0.228706461928253,0.0621118556694123,0.444704482667646,0.508547245021869,0.491573247571129,-0.389546755390983,-0.518002189420129,0.181837697024771,0.221060052565311,0.173787067090484,0.562952633021421,0.280511298518026,0.0891209329694604,-0.0341603237146221,0.221060052565311,-4.14581905157193,-0.153277207642162,-4.14581905157193,0.221060052565311,-0.188652228712951,-0.0546946842039657,-0.571244855711184,0.106693408898999,-0.345678783288349,-0.0240636399154091,0.243809955989613,0.106693408898999,0.287677928092248,0.0248111424493726,0.588986889422934,0.986452666134392,0.29478878566495,0.667636752934874,-0.225452124936829,0.508547245021869,-0.435627473167895,0.0436518220337388,0.0529284558908804
"CE 18:2",0.622145524228935,1.0052542147613,0.463221170314832,0.550058249317959,0.596348806221764,0.543170398130458,0.310520077026145,0.418025026866083,0.607109494561459,0.36248427685375,0.34205754209786,0.751297876545005,0.15775334260838,0.597559237781811,0.540380755841801,0.630007477133584,0.99624860948107,0.48801639820741,-1.64962731909957,0.0837972221611687,-1.64962731909957,-1.64962731909957,-1.64962731909957,0.930212148313751,-1.64962731909957,0.526124457156905,0.130637162294245,0.481557271788191,0.71906196061369,-1.64962731909957,0.729533088285626,0.517313059602437,0.792217861526551,0.330228259502827,0.915010957051216,0.925557766059994,0.62665749863176,-1.64962731909957,-1.64962731909957,0.456333319127332,-1.64962731909957,-1.64962731909957,-1.64962731909957
"CAR 18:2",-1.19224043085581,1.32393406153369,0.837553254940123,0.686359713553889,0.432481753731067,0.902131789833491,0.802798879193453,0.727436640104731,1.17685944941575,1.30720329104255,0.686359713553889,0.988746796326358,0.595883945743289,0.902131789833491,1.04089265619823,0.766164996615975,0.766164996615975,0.545671216364001,0.870611605325544,0.727436640104731,-1.19224043085581,0.296514960513551,0.595883945743289,1.25437953038572,-1.19224043085581,0.642630878419954,-1.19224043085581,-1.19224043085581,-1.19224043085581,-1.19224043085581,0.727436640104731,-1.19224043085581,-1.19224043085581,-1.19224043085581,-1.19224043085581,-1.19224043085581,-1.19224043085581,-1.19224043085581,0.367903218837699,0.296514960513551,-1.19224043085581,-1.19224043085581,-1.19224043085581
"CAR 16:0",-1.45287697030583,0.928540784121763,0.733168969752394,0.794705124715389,0.361105598339196,1.19047640242126,0.733168969752394,0.591250712166804,0.700269100907301,1.29949479116176,0.304497823201428,0.851312899853157,0.629488113086259,0.733168969752394,0.733168969752394,0.550827159142085,0.851312899853157,0.361105598339196,0.413516211941924,0.665763738426277,-1.45287697030583,0.361105598339196,0.361105598339196,1.29949479116176,-1.45287697030583,0.764606129404092,0.175556436912315,0.175556436912315,-1.45287697030583,-1.45287697030583,0.733168969752394,-1.45287697030583,0.242961668238432,-1.45287697030583,-1.45287697030583,-1.45287697030583,0.629488113086259,0.413516211941924,0.304497823201428,-1.45287697030583,-1.45287697030583,-1.45287697030583,-1.45287697030583
"CAR 18:1",-0.729402016807789,0.951193828043475,0.639360114858266,0.458101992505401,-0.173708180239091,0.60189509373944,0.501396696013153,0.412792871615554,0.657565700191334,0.990419415994003,0.315314539741758,0.620807735696699,0.522343104541605,0.365272693119954,0.582607919781007,0.235217061615048,0.389322568290333,0.262654663529775,0.389322568290333,0.807703908277114,0.1479374664589,0.1479374664589,0.365272693119954,1.33267057644358,-0.468120819174364,0.54284850312046,-0.217002883746843,0.017881834953995,-0.468120819174364,0.458101992505401,0.639360114858266,-0.412450212722469,0.117015172250735,-3.22758691480232,-0.412450212722469,-3.22758691480232,0.1479374664589,0.0520597437490328,-0.217002883746843,-0.0542971405555452,-0.527167409793344,-0.30983218313229,-3.22758691480232
