feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
CAR 16:0	2.055930336578243	0.06533701933718403	0.045568535164889706	0.09528790112433153	0.5307701242135194	0.07778217423397918	1.1287702911261934	4.474024967675152	2.5464546807527753	1.3405554249826588	0.005495392956425651	0.25740078613398903	0.07588578023497891	1.3662104033451952	0.767681168699271	2.7834633719589226	1.3784171359231725	15.365336095223826	0.14050353862131276	0.008930327672320274
CAR 18:1	1.10736713868196	0.6303503678838052	1.0189173231798556	0.08426423984909132	0.12558232647029233	0.3204037672653836	0.9675874565835528	7.322484417933218	0.004298755299362891	0.9547765972429938	5.699577401626545	0.9762266273129576	3.1583631315825698	1.8949097974391829	0.805604040066188	0.013074088572471502	0.021356968756008083	2.726064106947196	0.45026640837304754	2.9590287368956276
CAR 18:2	2.6136638288950245	0.04360725478155554	0.06816953420305563	0.004552928042709258	0.004638260167495914	0.07719087056718853	9.062893261181084e-5	3.5667205951150884	1.7850009532261897	0.806728239556115	1.4261566408168784	0.7555641594435328	0.14847035870049938	3.2389218893021217	0.02619092422629456	4.141699131244443	0.022186748972345533	3.9861860322872165	4.063786342594734	0.022576320898173796
CE 18:1	0.20486054723107125	1.1156939179685594	0.28146293908702935	1.7492394688875301	6.070668091162362	0.8086268347247153	0.2026558424431951	0.003241110618875132	0.2567596352567888	1.618094307449137	0.11617251235498371	1.3167923438405704	4.0765956300775885	5.035660844171493	0.3885605772536299	0.02797278185581191	0.19291492701609153	0.15883408794055118	0.0724573908464224	2.6500407315158344e-5
CE 18:2	1.4903294689301463	0.2881261444544612	0.21129196563995833	0.1432114060023178	3.3046305916196146	0.03672061799436367	0.00379832023541333	0.5190343047191617	6.545471219918863	4.038445152891667	0.22779821215490778	0.4982025722097476	1.570949114727247	0.35384823288091666	0.09309895583045914	0.9389805104755355	0.5644931227588806	1.6445217689694807	0.4210235139307985	0.11553006381378848
Cer 40:1;O2	0.07524125099971747	0.740183017089	0.21245028360412607	6.672854115871783	0.0608171969234342	0.9163149769211751	1.187469568045452	1.551883772939151	2.9879704513950984	1.1670505853668276	1.2715321236791188	0.41447057070668597	3.2669476389206955	0.8551957899116901	0.3562172902344785	2.596655415369051	0.2515988223729078	0.06811678398078629	2.0238896145296184	0.03693586742978784
Cer 41:1;O2	0.14462894912018837	0.11881563974687129	0.00446570579895742	5.0869672167475155	3.624131562737299	1.7440267757192691	0.47709691103550567	5.022844092784244e-4	0.5539694580684864	2.4148273150694393	2.7491168220626614	2.5061983176581264	0.09455814473036425	2.3893845612062994	6.494631078387518	7.57740175399486e-5	1.375271962436094	8.930922778132545e-4	0.8586221830275635	0.09189870920305006
Cer 42:2;O2	0.02131366726711901	0.34434340157509974	1.8802032924494798	0.3234751337432134	0.8594113888568925	3.2709587821358785	1.3600011024536376	0.41604515747400045	3.4802158450324847	8.414095875092148	0.20554131146986995	1.576378800903629	2.2201312225565215	6.744514545267585	2.7875291810145505e-4	2.703969039565993	0.046024159428599123	4.150687292756496	0.02740376288178589	4.605133972736093
DG 34:1	1.6499625070081552	1.4479386978055628	0.795961598078422	0.29043496021817033	0.11786141200303203	1.2765010747601697	1.0865840740227355	0.24219066123104085	0.9026954642167472	1.1005357766399833	0.053798820443096605	0.9335012100564966	0.026849271505131854	0.7379412375881959	0.035450857245205344	0.43581836761606463	1.424311119375134	0.6713497989754944	2.9322391080456995	0.07202912092302663
DG 36:2	0.8253033093745205	2.0500666813741635	0.23962703171955255	0.19288716702792688	0.12271659175079895	0.08816228097447387	2.8103525018217157	2.9262644387953256	1.1010551236340944	0.1950218556557327	0.004072520755916543	0.16413451524565068	0.24813876779312002	1.917707556245195	0.8498376684483409	0.37293393802109953	12.827008789088657	2.7539540526503297	0.46384027858075494	0.2704325616018287
