sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
BS-082D0	2	-1.3145452756142804	3.760042852408542	-1.8189725188407941	-0.3089261014349449	-1.7407187640478936	0.13968923033069647	1.0270011075177143	-0.08032080929965038	-0.15560200475086877	0.008871585697661673	-0.4174361988652217	1.4868632042793615	-1.6539793016871178	0.7025235133583098	0.13149314093400752	2.213875145934722	0.8576196111987804	0.0428636499455802	-1.6121693807440864	6.492167132000978e-15
BS-364D0	2	-2.9603213017847705	-2.7993932586186503	-5.305520194642431	1.436092264560252	-0.7141701817487515	-4.534789717078205	-2.300038558554339	2.7457452900349884	-0.3535324473335675	-0.04105859646636845	0.1238026128483888	-0.746833117053639	-0.19957034911067356	1.2731625144599648	0.9802523865325203	-0.7051663368785606	-0.9296019021071974	0.3839979883262737	-0.478760169909225	5.814288959124846e-15
KT-313D0	1	2.0398657513415546	-5.055755102820769	-4.1428544277470465	-3.1625008477083476	-2.9161533093977274	-0.7288174066982052	2.757042580477421	-1.9081502772910506	-1.2808576136683647	-0.8338737047469756	-0.7014998506081357	0.7760861184161381	-1.6372701087326273	-1.5607858326871753	0.675366300829257	-1.2691082543131678	0.28182647638435104	-0.058749243743405816	0.3181264257506295	6.193378188004776e-15
KT-412D0	2	-5.394765977167847	-7.301899465391246	2.3741368339399687	-0.44964735200653344	9.624599085636733e-4	0.6943562382217272	2.881205484388753	3.2743887511075314	-0.6571688451663245	1.1051224835360425	-0.3338815103814183	-0.702610698803757	0.47038933781253034	0.5668690792501151	-0.8092462648794508	-0.2301256199761705	1.671616048979762	-0.7031627377883771	0.14051201907466876	6.048170595742196e-15
KT-445D0	2	-3.714130290451162	-6.079877132607791	2.505737328390732	-4.676498093898166	0.16558026451452296	1.4112514502894993	-5.510648360321839	-1.2413956522486447	2.09263215945237	-0.058469507423116095	-0.21083233551773897	1.133111660640875	0.4239313284258307	0.24185427536558923	0.5397954726316537	-0.15049210046663805	0.5452886478360103	0.28568283443841574	-0.2157589942128509	5.857565843897801e-15
KT-537D0	2	-2.9801053030715337	-0.6665866515610857	-0.7377314631006641	0.2932679107889269	5.654024725069546	-0.24327149259171033	0.6131017200971135	-0.04273499610613544	1.7165808653096215	-0.7582915160983508	-0.23692952538631867	-2.283520948412847	-1.2633308105214478	-1.2569574458853263	1.3402683583668034	1.3583875290912462	0.06917067739232743	-0.15016656207752901	0.6336909836578545	6.170346839596016e-15
KT-538D0	2	-1.4946650315286798	-0.22716708348479292	2.5815395219765196	5.852960582770031	0.8445329566257852	3.0498102832832523	-1.1658611488415178	0.5898368241144364	-0.4176582819571654	-0.006294621141747	1.4159745333729055	1.820797332870636	-2.65647367002964	0.28116666439932414	0.11970535458049149	-0.9091415935148538	-0.21939135420364939	0.14266698113326493	0.5396590012770687	6.133907216475189e-15
KT-539D0	2	-6.464261002766211	8.740555362870312	3.3524201177837116	-3.545196140989121	-2.3195366362889867	-1.0261988538120552	0.7884369722503368	-1.180029041544403	-0.0062238442467911406	-0.46432191128481115	2.006306450833888	-1.9940939868219685	-0.8458373525220151	1.1301356527999762	-0.06664001590038382	-0.8272438518294357	0.17231160246734284	0.11576859453628954	0.3179366861342385	5.18013076390913e-15
KT-663D0	2	-8.75515525238288	-0.44644535622546516	1.245475575597315	3.6003469397223653	-0.5025803066623301	-1.7141192038727668	-0.4985382790753533	-2.7160051804770142	-3.2604851613910744	0.5637732159044556	0.16035175344860406	0.6178984756362101	2.111453148475605	-0.5659582711127253	0.7367401587389801	0.7480553049022599	0.0538252842979761	-0.2445927286460219	0.31295938428126974	5.384876300412746e-15
KT-695D0	2	-3.916740741885453	2.0428059674154797	1.1415946440686653	-2.5255648496414143	-0.8695482224935721	0.09232722172892556	2.2867374808084278	2.333203198359755	1.6413646427971813	1.5673916478628862	1.2763933452221847	1.8891234951465217	0.9390457035715511	-1.6291326108273718	-0.03194006383269157	0.39419240017769475	-1.6402236287761307	0.4542455268964184	0.11783914822367957	6.549112716542035e-15
