"","membrane component","lipid storage","lipid-mediated signalling"
"membrane component",1,0.184803001876173,0.423076923076923
"lipid-mediated signalling",0.423076923076923,0.0872420262664165,1
"lipid storage",0.184803001876173,1,0.0872420262664165
