"feature","BS-064D60","JV-035D60","KT-515D60","KT-926D60","JV-148D60","JV-157D60","KT-193D60","KT-247D60","KT-312D60","KT-347D60","KT-352D60","KT-417D60","KT-434D60","KT-522D60","KT-525D60","KT-612D60","KT-705D60","KT-718D60","JV-071D60","BS-082D60","BS-336D60","BS-346D60","BS-351D60","BS-364D60","BS-377D60","JV-138D60","KT-313D60","KT-412D60","KT-445D60","KT-537D60","KT-538D60","KT-539D60","KT-663D60","KT-695D60","KT-716D60","KT-723D60","KT-771D60","KT-805D60","KT-880D60","KT-974D60","BS-671D60"
"TG 56:7","0.21748","0.26245","0.66276","0.41664","0.48855","-0.00436","0.07918","0.40312","0.49415","0.51322","0.2878","-0.04576","-0.17114","-0.3098","-0.59667","-0.08092","0.87967","0.22011","0.91698","0.73078","0.22789","-0.79948","0.07188","-0.61209","0.71181","0.7574","-0.11351","1.22479","0.83251","0.3075","-0.02228","-0.99971","0.27184","-0.06048","0.55751","0.67578","-0.14267","-0.49485","0.11394","0.0607","-0.284"
"TG 56:8","-0.52034","-0.04576","0.36549","-0.03152","0.22789","-0.25181","-0.01773","-0.14267","0.29885","0.04532","0.11394","-0.45487","-0.09793","-0.31876","-0.95396","-0.12494","0.56703","0.26007","0.52114","0.48001","-0.23657","-0.83967","-0.65628","-0.64707","0.55267","0.43933","-0.22915","0.85248","0.51455","0.17609","-0.11919","-0.51606","0.4216","-0.03621","0.26951","0.36549","0.34439","-0.56864","0.22789","-0.25181","-0.21467"
"TG 58:5","-0.68537","-0.3098","-0.10237","-0.03152","-0.00436","-0.23657","-0.58503","-0.10791","-0.17393","-0.43156","-0.44176","-0.64958","-0.30371","-0.5802","-0.25181","-0.31876","0.31175","-0.45593","0.45179","0.27416","-0.5376","-0.78292","-0.47968","-0.77931","0.35218","0.29885","-0.18046","0.58995","0.32428","-0.09151","-0.26761","-0.70154","0.13988","-0.0655","0.15836","0.17609","-0.14874","-0.48149","-0.25964","-0.76986","-0.46852"
"TG 58:7","-0.25964","0.09342","0.28103","0.13354","0.33445","0.06446","-0.25964","-0.04576","0.0569","-0.46768","0.10721","-0.27572","-0.10028","-0.19382","0.00432","-0.08092","0.58659","0.03743","0.58433","0.61384","-0.23657","-0.25964","-0.22185","-0.39794","0.62118","0.33445","0","0.8055","0.66464","0.2878","0.29447","-0.19059","0.43933","0.31387","0.34635","0.23805","0.18752","-0.36653","0.15836","-0.31876","-0.07058"
"TG 58:8","-0.18046","0.10037","0.25768","-0.05552","0.36922","-0.02687","-0.19382","-0.21467","-0.02687","-0.93706","0.07918","-0.63648","-0.11773","-0.29243","-0.22915","-0.22185","0.49276","0.0086","0.26951","0.49831","-0.13077","-0.66344","-0.48593","-0.42022","0.5172","0.35025","-0.14874","0.74507","0.5092","0.13988","0.21484","-0.56929","0.39094","0.03342","0.24304","0.13033","0.05308","-0.39794","0.14301","-0.6794","-0.69167"
"FA 14:0","0.31597","0.24797","0.12057","0.08279","0.21219","0.29447","0.72835","0.20952","0.60746","0.36361","0.24055","0.14301","0.53908","-0.62294","0.22531","0.22011","0.50515","0.38202","0.26245","0.54654","0.3483","0.44091","0.36736","0.45637","-0.62143","0.4624","0.38917","0.38021","0.2014","0.22789","-0.69415","-0.68156","0.22011","-0.18348","0.38917","0.38382","0.79865","0.09342","0.47422","0.17319","0.34044"
"FA 16:0","1.81491","1.68637","1.38987","1.39498","1.58917","1.59868","1.81961","1.69117","1.76923","1.52504","1.29026","1.34753","1.6909","1.29798","1.52179","1.62024","1.66001","1.59956","1.51534","1.72107","1.64885","1.85534","1.75989","1.89376","1.3813","1.49457","1.68619","1.74601","1.46982","1.42619","1.24601","1.61606","1.5197","1.42259","1.65562","1.62644","1.9703","1.64933","1.64038","1.35488","1.60379"
"FA 16:1","0.41162","0.53148","0.09691","-0.69695","0.79934","0.41996","1.02202","0.65418","1.13481","0.56467","-0.41897","0.26482","0.57054","-0.43893","0.53782","0.60638","0.71933","0.67852","0.84073","0.77452","0.82478","0.6561","0.92531","0.76492","-0.59646","0.33041","0.88195","0.72016","0.28556","-0.56841","-0.81762","-0.27791","0.54654","-0.47158","0.70415","0.74036","1.08814","0.59988","0.64836","0.18469","0.48714"
"FA 18:0","1.38039","1.33203","1.10789","1.24477","1.26364","1.24944","1.25792","1.27138","1.28353","1.10312","0.94349","1.04493","1.17754","0.97772","1.18696","1.21458","1.22789","1.20276","1.14239","1.35064","1.19117","1.37493","1.29601","1.47144","1.02938","1.14239","1.25139","1.29535","1.20003","1.11727","0.97497","1.18298","1.16465","1.04376","1.19285","1.28058","1.46434","1.25334","1.1038","0.98945","1.2307"
"FA 18:1","1.99379","1.90276","1.4216","1.55691","1.80754","1.71925","2.00954","1.90773","1.87169","1.74005","1.25912","1.38471","1.80387","1.19948","1.70321","1.88953","1.77837","1.77895","1.76012","1.84763","1.87823","2.00337","2.02391","2.15161","1.44185","1.46419","1.89382","1.92552","1.53769","1.50147","1.31869","1.71883","1.59461","1.40381","1.85938","1.85637","2.22632","1.9173","1.49693","1.45743","1.72452"
"FA 18:2","1.59218","1.55133","1.22063","1.21722","1.48487","1.34223","1.71508","1.65186","1.80862","1.44154","1.03543","1.1232","1.36399","0.81425","1.34772","1.53744","1.39915","1.4961","1.3294","1.44932","1.55618","1.67642","1.61627","1.72304","1.10517","1.16761","1.57955","1.56549","1.1329","1.04218","1.01284","1.33666","1.35908","1.11727","1.51654","1.48883","1.90859","1.479","1.14208","1.05918","1.35564"
"PI 36:2","0.63548","0.80346","0.68034","-0.75445","0.26007","-0.82943","0.67394","0.48144","0.36922","0.74429","-0.97044","-0.64111","-0.52548","-0.40057","-0.39856","0.48714","0.73078","-0.92182","0.52763","-0.8205","0.72509","0.74507","0.76641","0.55991","0.49276","-0.22647","-0.51532","0.89209","0.8109","-0.89607","0.81558","-0.25903","0.49693","-0.48968","0.56467","-0.75004","0.68305","0.5966","0.98182","-0.68267","0.70415"
"PI 38:3","-0.84136","0.29447","-0.70004","-0.78374","-0.16749","-0.67011","0.01284","-0.22185","-0.22185","0.15229","-0.5799","-0.00436","-0.30447","-0.79959","-0.66153","-0.7152","0.09691","-0.81763","0.18184","-0.58503","0.07188","-0.8622","-0.45815","-0.07572","-0.69897","-0.13077","-0.82908","0.19033","-0.23657","-0.56542","-0.10237","-1.23227","-0.53174","-0.93551","0.33846","-0.69711","0.34044","0.66745","0.88423","-0.20066","-0.75298"
"PI 38:4","1.38881","1.50024","1.54432","1.44932","1.27967","1.46909","1.45117","1.33925","1.08743","1.49831","1.19089","1.30728","1.3813","0.90037","1.16673","1.30856","1.49651","1.50799","1.44932","1.34577","1.62284","1.53007","1.29292","0.97772","1.45667","1.50024","1.05423","1.56714","1.40552","1.18583","1.52905","1.47986","1.33102","1.53845","1.47611","1.2938","1.7007","1.26435","1.18498","1.1784","1.46627"
