"feature","BS-064D60","JV-035D60","KT-515D60","KT-926D60","JV-148D60","JV-157D60","KT-193D60","KT-247D60","KT-312D60","KT-347D60","KT-352D60","KT-417D60","KT-434D60","KT-522D60","KT-525D60","KT-612D60","KT-705D60","KT-718D60","JV-071D60","BS-082D60","BS-336D60","BS-346D60","BS-351D60","BS-364D60","BS-377D60","JV-138D60","KT-313D60","KT-412D60","KT-445D60","KT-537D60","KT-538D60","KT-539D60","KT-663D60","KT-695D60","KT-716D60","KT-723D60","KT-771D60","KT-805D60","KT-880D60","KT-974D60","BS-671D60"
"PC 34:3","0.49693","0.5955","0.61172","0.44248","0.38202","0.29885","0.97543","0.56467","0.51455","0.95328","0.23805","0.64933","0.63043","0.25285","0.09691","0.44404","0.72509","0.6981","0.76193","0.62737","0.67117","0.68574","0.8109","0.41664","0.53782","0.72346","0.50243","0.98318","0.68305","0.57054","0.63949","0.53403","0.66745","0.54777","0.66652","0.57519","0.71933","0.5977","0.90634","0.76492","0.41664"
"PC 36:1","1.37858","1.36922","0.98722","1.26435","1.32593","1.00087","1.75967","1.40192","1.197","1.47611","1.13862","1.64483","1.45271","1.30535","1.07591","1.29667","1.6878","1.39322","1.59195","1.49527","1.16791","1.56855","1.66238","1.46225","1.41044","1.50987","1.36717","1.96412","1.61805","1.25115","1.39655","1.34577","1.18724","1.37767","1.42975","1.45637","1.54345","1.52205","1.54208","1.57031","1.27875"
"PC 36:2","2.19943","2.15112","2.24316","2.11491","2.05427","2.10188","2.35478","2.1611","1.95574","2.35038","1.98322","2.08927","2.22217","1.86635","1.92283","2.04646","2.31771","2.26626","2.2193","2.0582","2.24817","2.24192","2.23083","2.08214","2.11893","2.24274","1.93339","2.4779","2.07954","2.0746","2.25297","2.22029","2.18907","2.18244","2.11514","2.08962","2.14342","2.17751","2.04052","2.23345","2.13558"
"PC 36:3","1.83429","1.79796","1.8362","1.76515","1.6981","1.74989","2.09576","1.83353","1.76118","1.92459","1.62118","1.87506","1.94458","1.6708","1.54667","1.76701","2.00385","1.77576","1.89465","2.01611","1.88824","1.84392","1.99339","1.76418","1.75496","1.97982","1.85095","2.13978","1.81158","1.73159","1.949","1.84055","1.90859","1.80003","1.93616","1.7888","1.96993","1.83879","2.20091","2.07203","1.67688"
"PC 36:4","2.05077","1.97932","2.10285","2.09398","1.93687","1.92722","2.33538","1.97243","1.91587","1.93687","1.79043","1.92091","1.97506","1.76515","1.74648","1.84652","2.16265","2.19106","2.01945","2.27418","2.0159","2.11691","2.00411","1.75343","1.99704","2.03149","1.8221","2.30088","2.07397","1.97955","2.11431","2.05415","2.02391","2.02226","1.97978","1.96928","2.27457","2.06092","2.45714","2.25995","1.9032"
"PC 36:5","0.8893","1.3216","0.92634","0.63649","0.76716","0.57171","1.16524","0.66181","0.72428","0.88309","0.79309","0.79727","0.86747","0.70672","0.34635","0.55871","0.88762","0.95617","0.74663","0.989","0.75511","0.62737","0.85854","0.5955","0.74741","0.82478","0.72754","1.2418","1.30211","1.46523","0.84011","0.76418","0.90902","0.79029","0.81954","0.72428","1.03663","0.68574","1.14922","0.87737","0.53403"
"PC 38:2","0.08636","-0.11919","0.2878","0.03743","0.00432","-0.04096","0.36361","-0.23657","-0.07572","0.1959","-0.08092","-0.07058","0.13033","0.04532","-0.23657","0.02531","0.35025","0.08636","-0.81497","-0.22915","0.08991","0.11394","0.43933","0.02531","-0.16749","0.24797","0.29885","0.43297","-0.05552","0.02119","-0.1549","0.21748","0.40483","0.09691","-0.00877","0.09691","0.2878","-0.4437","0.24304","0.01284","0.10721"
"PC 38:3","1.22246","1.34262","1.30942","1.25431","1.41061","1.3731","1.52917","1.39322","1.46894","1.45454","1.20629","1.56984","1.42602","1.27784","1.09864","1.28668","1.68655","1.21352","1.57392","1.81485","1.4014","1.33284","1.58218","1.19893","1.37585","1.56608","1.44107","1.85132","1.48159","1.27416","1.37365","1.25164","1.4304","1.37639","1.63749","1.49996","1.67642","1.42243","1.51481","1.51561","1.19061"
"PC 38:4","1.71925","1.7228","1.85902","1.93141","1.90687","1.84973","1.96816","1.7255","1.71341","1.81657","1.61416","1.83575","1.74507","1.63124","1.63929","1.69267","2.07074","2.00004","1.84186","2.21301","1.81511","1.89492","1.81338","1.58035","1.86457","1.8879","1.72024","2.24042","1.87169","1.77247","1.80079","1.79699","1.8175","1.90547","1.78923","1.85721","2.11481","1.85631","2.05637","1.87576","1.65485"
"PC 38:5","1.46909","1.75105","1.67321","1.58816","1.59118","1.57194","1.72852","1.45954","1.43712","1.61669","1.24477","1.56891","1.43281","1.36211","1.30984","1.48982","1.71941","1.77364","1.60917","1.85612","1.62798","1.66502","1.54518","1.36661","1.54382","1.62439","1.45378","1.92085","1.67532","1.61204","1.6291","1.53945","1.6638","1.68431","1.63589","1.53706","1.77699","1.59428","1.86546","1.63094","1.49554"
"PC 38:6","1.59306","1.81915","1.65167","1.62747","1.72123","1.45545","1.98286","1.35545","1.58035","1.69144","1.42259","1.36884","1.5506","1.447","1.4504","1.5682","1.82607","1.92283","1.6114","1.94141","1.89009","1.56086","1.52699","1.40569","1.62951","1.61773","1.44917","1.97058","1.54494","1.68619","1.69836","1.55847","1.61363","1.65753","1.67523","1.42455","1.7632","1.70312","2.17058","1.65772","1.51095"
"PC 38:7","0.32428","0.02938","0.38561","0.11059","-0.31876","0.2878","0.38917","0.11727","0.25527","0.39794","0.08636","0.29885","0.30963","0.27416","0.25768","0.25042","0.29885","0.4609","0.12385","0.24551","0.31387","0.21748","0.32015","0.16137","0.26245","0.44248","0.3032","0.32838","0.25042","0.19312","0.3075","0.32015","0.41162","0.49136","0.2878","0.18184","0.2878","0.08636","0.38739","0.26717","0.19033"
"PC 40:4","-0.03152","0.06819","0.24055","0.21748","0.21484","0.40483","0.42325","0.06819","0.18752","0.26482","-0.16749","0.42325","0.20412","0.25527","-0.01323","0.16137","0.53148","0.22789","0.28556","0.75051","0.22272","0.42325","0.46835","0.10037","0.19312","0.52114","0.47129","0.67117","0.29667","0.11394","0.08991","0.25042","0.38917","0.51587","0.40654","0.36361","0.68931","0.32222","0.78032","0.37107","0.21484"
"PC 40:5","0.84261","1.06183","1.13609","0.98318","0.98272","1.06258","1.1383","0.82543","0.86806","1.06595","0.54654","1.06521","0.80209","0.84261","0.61595","0.91275","1.21484","1.16909","1.09412","1.36605","1.031","1.17406","1.01912","0.7364","1.03222","1.15045","0.96848","1.45286","1.03782","0.84073","0.97128","0.89265","1.11227","1.19507","1.08171","0.98945","1.30707","1.04727","1.42716","0.99476","0.95904"
"PC 40:6","1.25164","1.38757","1.46642","1.22994","1.34183","1.16791","1.58602","1.06856","1.23325","1.33506","1.06707","1.08279","1.15625","1.15897","0.97451","1.23325","1.52231","1.53071","1.30255","1.57357","1.54864","1.33325","1.28646","1.00775","1.33646","1.30211","1.12743","1.73014","1.36078","1.23121","1.25888","1.14145","1.45515","1.28398","1.35545","1.24871","1.43249","1.28959","1.67495","1.28601","1.18184"
"PC 40:7","0.13354","0.26245","0.4216","0.16732","0.29667","0.24304","0.49693","0.07918","0.18752","0.3927","-0.67662","0.1959","0.26717","0.23045","0.07188","0.38917","0.51983","0.41996","0.29667","0.43297","0.38021","0.17026","0.35793","0.08991","0.25768","0.25768","0.15229","0.69548","0.24551","0.25042","0.25285","0.21219","0.52244","0.31806","0.45637","0.21748","0.38021","0.25768","0.66276","0.32838","0.19312"
"PC 40:8","0.03743","-0.18046","0.14613","0","-0.19382","0.13033","0.21484","-0.04096","-0.02228","0.19312","-0.40609","0.10721","-0.03621","-0.12494","-0.22185","-0.07058","0.14922","0.29003","-0.05552","0.19312","0.10721","0.11059","-0.00877","-0.14874","-0.0655","0.18184","0.03743","0.29885","0.0569","0.01284","-0.04576","0.03743","0.21219","0.26007","0.10037","-0.20066","0.16137","-0.01323","0.24797","0.04532","0.01703"
"PC O-32:0","0.04922","0.22789","-0.05552","0.04922","-0.07058","-0.12494","0.13988","0.14922","-0.05061","0.0086","-0.34226","-0.02687","-0.26027","-0.27572","-0.11919","0","0.16732","0.08279","0.04532","0.12057","0.17319","0.32015","0.09691","0.10721","-0.18709","0.08279","-0.27572","0.23553","0.00432","0.06446","0","-0.11351","0.02938","0.10721","0.02119","-0.07058","0.14613","0.0086","0.19033","0.26482","0.13033"
"PC 32:1;O/32:0;P","0.10721","0.14613","-0.09151","0.10037","0.17026","-0.0655","0.21748","0.20412","-0.00877","0.00432","-0.66502","0.04532","-0.30559","-0.62975","-0.08092","-0.04096","0.22531","0.18752","0.0607","0.04532","0.23553","0.38561","0.1038","0.07188","-0.23657","0.06819","-0.07058","0.37658","-0.08092","0.06446","0.04922","0.16137","0.13672","0.17026","0.13988","-0.03621","0.1959","0.08279","0.12385","0.27184","0.0569"
"PC 34:0;P/34:1;O","0.39094","0.48001","0.26951","0.41664","0.34242","0.28556","0.47712","0.50786","0.29226","0.47857","0.11059","0.3483","0.20952","0.08279","0.20412","0.36922","0.50243","0.49693","0.3032","0.36736","0.5172","0.62839","0.44091","0.47276","0.18184","0.32222","0.10721","0.52634","0.30963","0.37291","0.35603","0.4624","0.33646","0.33646","0.35984","0.33244","0.44404","0.38739","0.54407","0.52504","0.43136"
"PC 34:1;P/34:2;O","0.60423","0.49136","0.47129","0.67852","0.5302","0.39094","0.78533","0.62325","0.43297","0.67302","0.29003","0.21219","0.4133","0.17319","0.47857","0.49831","0.71684","0.77159","0.40483","0.36549","0.68395","0.64542","0.69723","0.5977","0.40654","0.45025","0.25285","0.7356","0.36173","0.40654","0.45788","0.82802","0.5611","0.45025","0.55388","0.6981","0.31175","0.4456","0.57749","0.716","0.55991"
"PC 36:1;P/36:2;O","-0.09691","0.03342","-0.25181","0.22531","-0.10791","-0.14267","0.20952","0.13354","-0.07058","0.16137","-0.32501","-0.07572","-0.26111","-0.22915","-0.09691","0.04532","-0.01773","0.21484","-0.08619","-0.04576","0.14301","0.20412","0.1271","0.15836","-0.14267","-0.29656","-0.54717","0.16732","-0.02687","-0.01323","-0.03621","0.19866","0.14301","-0.13854","0.03743","0.13988","0.09691","-0.03621","0.17609","0.22531","0.08636"
"PC 36:2;P/36:3;O","0.52892","0.51455","0.51983","0.79934","0.56703","0.48287","0.74586","0.62014","0.44404","0.66181","0.24551","0.39445","0.3962","0.23805","0.51587","0.51851","0.72428","0.74741","0.51055","0.67302","0.67943","0.61066","0.72428","0.61909","0.39094","0.46389","0.3483","0.77232","0.44248","0.47276","0.51055","0.79727","0.64738","0.48714","0.61805","0.7332","0.76042","0.47422","0.71433","0.81224","0.55388"
"PC 36:3;P/36:3;O","1.07004","0.98722","1.07262","1.30081","1.03941","1.03383","1.17056","1.07664","0.76938","1.07335","0.72591","0.86213","0.80686","0.75358","1.02366","0.97818","1.15746","1.24601","0.98767","1.24279","1.19811","1.11428","1.12024","1.04415","0.85974","0.97727","0.8202","1.26998","0.93802","0.97128","1.01953","1.25744","1.14364","1.10072","1.03623","1.11126","1.24797","0.98945","1.21932","1.28488","1.02572"
"PC 38:2;P/38:3;O","-0.18046","-0.00436","-0.09691","0.17898","0.02531","-0.08092","0.10037","0.05308","-0.1549","-0.02687","-0.35249","-0.22185","-0.42088","-0.26761","-0.20761","-0.05061","0.13033","0.13033","-0.04576","0.14613","0.01703","0.08636","0.10721","0.03743","-0.35655","-0.34783","-0.80562","0.13033","-0.04576","0.03743","-0.05061","0.14613","0.15534","-0.19311","0.02531","0.02938","0.15836","-0.05552","0.23553","0.28556","0.0569"
"PC 38:3;P/38:4;O","0.64444","0.74036","0.81558","0.95856","0.8055","0.74194","0.82217","0.79099","0.55267","0.75891","0.4609","0.64738","0.52892","0.56229","0.67117","0.67025","0.91698","0.97589","0.734","0.95665","0.86094","0.87795","0.85431","0.77012","0.58995","0.6721","0.47712","0.97864","0.72591","0.73719","0.716","0.9489","0.88986","0.71767","0.77597","0.77525","0.97035","0.71433","0.96426","1.03302","0.81558"
"PC 38:4;P/38:5;O","0.95036","0.87795","0.99957","1.21643","0.99913","0.95665","0.93044","0.91751","0.7679","0.91009","0.64933","0.83123","0.67852","0.75435","0.90417","0.88762","1.10857","1.16613","0.89321","1.21617","1.02898","1.03019","0.96426","0.86864","0.72997","0.82995","0.68485","1.11528","0.82413","0.94151","0.92891","1.18184","1.09968","1.01745","0.95231","1.02531","1.16732","0.82217","1.03981","1.1176","0.93349"
"PC 40:3;P/40:4;O","-0.54444","-0.14874","-0.21467","0.0086","-0.10791","-0.29243","-0.09691","-0.14874","-0.35655","-0.18046","-0.28818","-0.27572","-0.54833","-0.41077","-1.00376","-0.14874","-0.02687","0.04532","-0.23657","-0.01323","-0.10237","-0.11919","-0.10237","-0.20761","-0.25964","-0.43799","-0.64904","0.01284","-0.18709","-0.12494","-0.23657","-0.05552","-0.07572","-0.25977","-0.09151","-0.1549","-0.04096","-0.18046","0.18469","0.11727","0"
"SM 32:1;O2","0.26951","0.4624","0.41664","0.27416","0.41996","0.1959","0.66745","0.54777","0.49276","0.3483","0.23045","0.27646","0.17319","0.03342","0.23805","0.11059","0.64147","0.78247","0.35603","0.48714","0.4609","0.45179","0.26245","0.27416","0.13354","0.53782","0.3962","0.58659","0.41497","0.32838","0.35025","0.4216","0.40654","0.34044","0.54407","0.44248","0.67669","0.26482","0.67117","0.32015","0.32428"
"SM 33:1;O2","0.02119","-0.03621","0.23805","0.09342","0.30103","-0.08619","0.24797","0.27416","0.19866","0.1038","-0.24279","-0.07058","-0.36035","-0.56393","-0.07572","-0.14267","0.33244","0.48996","0.13672","0.27184","0.21219","0.29667","-0.05061","-0.05552","-0.17393","0.24551","0.07188","0.33244","0.1271","0.00432","0.07918","0.16732","0.19312","0.11727","0.24304","0.12057","0.3075","-0.02687","0.3032","0.07555","0.16137"
"SM 34:1;O2","1.84292","1.75755","1.83639","1.81124","1.84298","1.79657","1.89597","1.92645","1.74617","1.88947","1.71483","1.76945","1.77952","1.54753","1.75189","1.69714","1.92603","1.99896","1.78233","1.84105","1.93702","2.05131","1.8238","1.82445","1.64227","1.89053","1.78412","1.91751","1.83537","1.72827","1.83213","1.93792","1.80774","1.95337","1.87373","1.79386","1.98177","1.80747","1.95856","1.77576","1.80652"
"SM 34:2;O2","0.89927","0.87099","0.7839","0.92993","0.95617","0.81954","0.88138","0.91803","0.79099","0.82607","0.62941","0.72754","0.75128","0.39094","0.82217","0.65992","1.01828","1.09307","0.87795","0.82543","1.01072","1.02653","0.75587","0.84757","0.72509","0.88986","0.77597","1.0162","0.80686","0.74194","0.93146","0.92376","0.80754","0.94201","0.93601","0.89432","1.03862","0.88705","1.03822","0.81823","0.86332"
"SM 35:1;O2","-0.59841","-0.39794","-0.10237","-0.22915","0.02531","-0.85603","-0.14874","-0.00436","-0.13668","-0.50745","-0.56755","-0.63921","-0.22303","-0.57792","-0.47352","-0.74881","0.04139","0.12057","-0.20761","-0.08092","-0.14874","-0.11351","-0.51837","-0.67137","-0.56273","-0.30711","-0.6318","-0.03152","-0.24413","-0.33724","-0.79691","-0.13077","-0.12494","-0.52922","-0.04576","-0.17393","0.01284","-0.25964","-0.05552","-0.30103","-0.1549"
"SM 36:1;O2","1.14983","0.98543","1.05576","1.09237","1.01284","1.02119","1.06483","1.29842","1.04454","0.96942","0.80072","0.92634","0.87506","0.72754","0.86392","0.87216","1.24576","1.29181","1.14239","1.11594","1.15927","1.25768","0.943","1.05614","0.89927","1.1313","0.94151","1.17464","0.99123","1.0187","0.96661","1.20249","1.04218","1.18298","1.17522","1.0667","1.26811","1.15776","1.29973","0.87274","1.14983"
"SM 36:2;O2","0.73878","0.57054","0.5966","0.7332","0.71096","0.6464","0.66087","0.84634","0.55023","0.51455","0.33445","0.51055","0.4624","0.29003","0.52114","0.5092","0.90687","0.96661","0.77379","0.64246","0.77452","0.80618","0.53908","0.65706","0.58659","0.74429","0.56348","0.80754","0.55023","0.63144","0.62531","0.80618","0.63043","0.82607","0.76492","0.75282","0.88705","0.85854","0.84386","0.50379","0.70329"
"SM 38:1;O2","0.80889","0.77597","0.83251","0.83506","0.68842","0.65031","0.8451","0.96142","0.84261","0.67025","0.49415","0.60959","0.57287","0.44871","0.52244","0.60531","0.97635","0.95472","0.79727","0.89376","0.85126","0.97081","0.6561","0.74351","0.53529","0.81425","0.65418","0.93399","0.73799","0.68124","0.74586","0.90526","0.72835","0.81624","0.91222","0.79449","0.97864","0.78817","1.05843","0.66745","0.77887"
"SM 38:2;O2","0.46687","0.35411","0.41162","0.4843","0.43933","0.33646","0.39445","0.4624","0.37658","0.28556","0.1271","0.23045","0.20683","0.09342","0.3075","0.35603","0.6561","0.63144","0.48572","0.39967","0.51055","0.5611","0.26007","0.35793","0.25527","0.51055","0.31597","0.55267","0.32015","0.36361","0.48996","0.5611","0.42975","0.55509","0.5682","0.52892","0.57864","0.54033","0.61595","0.31806","0.4216"
"SM 39:1;O2","-0.10791","-0.07058","0.11727","0.09691","0.02531","-0.22185","0.22011","0.24797","0.10721","-0.04576","-0.29997","-0.20761","-0.23299","-0.55942","-0.61115","-0.13668","0.33041","0.3483","0","0.27646","0.12057","0.18469","-0.1549","-0.11351","-0.3098","0.11394","-0.00877","0.26951","0.06819","-0.29243","0.02531","0.11059","0.04922","-0.16268","0.23045","0.11059","0.30535","-0.11919","0.2833","-0.10791","0.02938"
"SM 40:1;O2","1.16376","1.09726","1.19173","1.27761","1.03302","1.03463","1.16967","1.24353","1.16346","1.09447","0.88536","1.00817","0.94939","0.73719","0.86747","0.96332","1.34518","1.21669","1.12646","1.40037","1.18554","1.33264","1.05729","1.12775","0.92993","1.14891","0.98945","1.34183","1.13925","0.9489","1.11926","1.26623","1.05308","1.21272","1.23955","1.06967","1.30492","1.11727","1.39041","1.05729","1.15106"
"SM 40:2;O2","1.06483","1.04571","1.0465","1.05918","0.97589","0.91009","1.05956","1.03383","0.96895","0.96095","0.76864","0.86273","0.85854","0.69108","0.8791","0.8704","1.16732","1.22557","0.98632","1.13704","1.07809","1.13194","0.93702","0.90472","0.80072","1.11361","0.92993","1.08743","0.993","0.88081","1.04258","1.12418","1.00432","1.13956","1.13098","1.05346","1.19948","0.99957","1.22298","0.9489","1.01953"
"SM 40:3;O2","-0.95675","-0.13668","-0.13668","-0.19382","0.0086","-0.68959","-0.284","-0.21467","-0.18046","-0.37538","-0.33288","-0.84605","-0.3785","-0.55681","-0.42747","-0.70026","-0.04576","-0.13668","-0.25181","-0.20761","-0.25181","-0.6615","-0.49074","-0.62402","-0.5968","-0.33244","-0.62851","-0.31876","-0.3279","-0.3098","-0.29243","-0.40689","-0.17393","-0.39366","-0.14874","-0.21467","-0.03621","-0.29243","-0.04576","-0.35655","-0.26761"
"SM 41:1;O2","0.617","0.67394","0.76118","0.94841","0.64147","0.53782","0.80414","0.84136","0.77159","0.68485","0.42325","0.56585","0.32634","0.30535","0.32015","0.62839","1.06967","0.81954","0.65992","1.04922","0.82478","0.90741","0.59439","0.6981","0.4456","0.75664","0.66181","1.04258","0.75358","0.45939","0.72016","0.86923","0.70415","0.67943","0.90091","0.66839","0.9058","0.617","0.97635","0.56703","0.75358"
"SM 41:2;O2","0.57634","0.61278","0.67025","0.71265","0.65031","0.44091","0.74507","0.73078","0.58995","0.57978","0.39094","0.45332","0.31387","0.2878","0.40824","0.55751","0.79727","0.86392","0.56703","0.77159","0.72428","0.77012","0.53403","0.59106","0.35411","0.74741","0.56348","0.77232","0.63548","0.41664","0.6464","0.74115","0.68753","0.63949","0.77159","0.7007","0.78675","0.48996","0.84448","0.49554","0.65128"
"SM 42:1;O2","1.08458","1.07004","1.06595","1.28375","0.7332","0.95856","1.08565","1.09342","1.1271","1.02979","0.75664","0.89708","0.83315","0.62428","0.75282","0.99957","1.3995","1.01368","1.00346","1.35449","1.15927","1.25888","0.96047","1.04727","0.7839","1.0667","0.97543","1.33325","1.07518","0.89487","1.04218","1.14953","0.93902","1.08386","1.1959","0.96614","1.2052","1.05805","1.23729","1.02857","1.06967"
"SM 42:2;O2","1.69819","1.58894","1.61374","1.64058","1.61648","1.55775","1.63508","1.68655","1.56301","1.63033","1.44389","1.53807","1.45849","1.31154","1.45834","1.50229","1.65916","1.64464","1.5662","1.68851","1.69539","1.78711","1.56891","1.61742","1.36624","1.66455","1.53007","1.67504","1.61458","1.53237","1.55654","1.71875","1.6067","1.72255","1.64992","1.57669","1.72247","1.5534","1.82756","1.57124","1.63819"
"SM 42:3;O2","1.34301","1.34655","1.28601","1.35755","1.38364","1.23121","1.30878","1.37401","1.27184","1.30146","1.12905","1.17202","1.10243","0.93349","1.18156","1.17811","1.43886","1.41531","1.28035","1.3604","1.38987","1.42521","1.22763","1.29248","1.04571","1.3485","1.2071","1.34064","1.2572","1.22737","1.27439","1.38274","1.2982","1.40569","1.33486","1.34223","1.42374","1.29885","1.44979","1.25188","1.28421"
"SM 42:4;O2","0.09691","0.35793","0.16435","0.27184","0.50651","-0.03152","0.08991","0.19866","0.27184","0.15836","-0.07058","-0.07572","-0.20022","-0.75632","0.22789","-0.14267","0.31806","0.52763","0.14922","0.26717","0.233","0.17319","0.00432","0.07555","-0.18709","0.27184","0","0.17319","0.01284","0","0.02938","0.09342","0.11727","0.20412","0.17609","0.23553","0.55871","0.11059","0.37291","0.02531","0.06446"
