"feature","BS-064D10","JV-035D10","JV-048D10","KT-515D10","KT-926D10","JV-148D10","JV-157D10","KT-193D10","KT-247D10","KT-312D10","KT-347D10","KT-352D10","KT-417D10","KT-434D10","KT-522D10","KT-525D10","KT-565D10","KT-612D10","KT-705D10","KT-718D10","BS-082D10","BS-336D10","BS-346D10","BS-351D10","BS-364D10","BS-377D10","JV-138D10","KT-313D10","KT-412D10","KT-445D10","KT-537D10","KT-538D10","KT-539D10","KT-663D10","KT-695D10","KT-716D10","KT-723D10","KT-771D10","KT-805D10","KT-880D10","KT-974D10","BS-671D10"
"TG 51:2","1.43249","1.33122","1.42406","1.46315","1.12775","1.65167","1.08493","1.3813","1.22453","1.71113","1.04766","1.21537","0.88593","1.04139","1.37712","1.26198","1.13481","1.51215","1.00173","1.086","1.12385","1.53694","1.33304","1.34596","1.31555","1.23376","1.65925","0.89154","0.93651","1.16077","0.81491","1.37931","1.05423","1.4833","0.89042","0.39794","1.37346","1.52492","1.27439","1.49679","0.51587","0.8537"
"TG 52:1","0.83569","0.84942","0.82282","0.83315","0.50106","1.08529","0.36549","0.85612","0.53908","1.1758","0.36549","0.63849","0.30963","0.26245","0.68753","0.63649","0.46538","0.83759","0.52892","0.67943","0.5302","0.8739","0.85673","0.6721","0.66181","0.4456","1.10037","0.41162","0.49831","0.6149","0.45939","0.88366","0.25768","0.94349","0.38382","-0.00436","0.77743","0.93197","0.71265","0.92942","0.01703","0.03342"
"TG 52:2","0.15534","-0.03621","-0.29243","-0.4437","-0.3203","0.28556","-0.58818","0.14301","-0.59424","0.29885","-0.5865","-0.16749","-0.45613","-0.69774","-0.20682","-0.30103","-0.41946","-0.29243","-0.35655","-0.62497","-0.70856","-0.81702","0.07555","-0.16749","-0.59306","-0.67978","0.34044","-0.56748","-1.08835","-0.14267","-0.35655","-0.04576","-1.04965","0.08991","-0.58229","-0.47145","-0.7337","0.17319","-0.79774","-0.50331","-0.90985","-0.44861"
"TG 52:3","-0.30103","-0.32529","-0.6237","-0.07058","-0.51284","-0.10237","-0.43494","-0.60206","-0.49485","-0.23657","-0.55089","-0.56864","-0.79346","-1.10581","0.06446","-0.3098","-0.37675","-0.22185","-0.63827","-0.71151","-0.50864","-0.45593","-0.44581","-0.42022","-0.73672","-0.22915","-0.11919","-0.48471","-1.1309","-0.60206","-1.39277","-0.50864","-0.45399","-0.27572","-1.05593","-0.46145","-0.68824","-0.3279","-0.63147","-0.25964","-0.58286","-0.72138"
"TG 52:4","0.32222","-0.60735","-0.20066","0.47276","-0.49329","0.62428","-0.7516","0.04532","-0.11351","0.40993","-0.70157","-0.02228","-1.10651","-0.71571","0.43297","0.2833","0.00432","0.19866","-0.13668","-0.33724","-0.1549","0.23045","0.19033","-0.03152","0.0086","0.02938","0.60638","-0.74334","-0.35655","-0.14874","-0.68839","0.20683","-0.68335","0.38561","-1.16732","-0.7822","-0.17393","0.26482","-0.77752","0.1959","-0.55997","-0.7399"
"TG 52:5","-0.34679","0.13988","0.16137","0.46389","-0.64053","-0.46602","0.31597","-0.74123","-0.80324","0.42488","-0.98631","0.08279","0.21219","-1.07971","-0.30773","0.19866","0.32222","0.76418","0.1038","0.08279","0.52244","0.40993","-0.53547","0.39094","-0.64521","0.65225","-0.47144","0.23553","-0.4318","-0.77892","-0.76617","0.15229","-0.67635","-0.35655","-0.54262","-0.25181","-1.05672","0.37475","0.11394","-0.75877","-0.60884","-0.47778"
"TG 54:2","1.75656","1.51402","1.49955","1.73576","1.52101","1.79491","1.32756","1.60703","1.4618","1.77422","1.3092","1.4484","1.26928","1.0461","1.72008","1.75997","1.29579","1.7471","1.26576","1.43981","1.41044","1.77692","1.72123","1.55666","1.68815","1.52647","1.87639","0.97543","1.49955","1.44576","1.32449","1.70312","1.30233","1.65234","1.32919","0.88874","1.71675","1.63839","1.48029","1.72795","1.10346","0.83696"
"TG 54:3","1.43791","0.79379","0.62014","1.44358","1.3881","1.40157","1.24724","1.4128","0.76938","0.98","1.10346","1.25792","0.9248","0.93044","1.32899","1.60531","1.04727","1.41764","0.91645","1.19976","0.66558","1.18327","1.60314","1.27989","1.31618","1.17231","1.49845","0.48855","0.24304","1.30038","0.99695","1.23325","0.85309","1.28646","0.26717","-0.0655","1.40603","1.031","1.31597","1.40824","-0.16749","0.54033"
"TG 54:4","-0.73332","0.00432","1.07918","1.05956","0.3962","1.15685","-0.18709","0.07918","-0.75141","1.04258","0.26007","0.29885","-0.29243","0.24304","-0.36631","-0.97099","-0.49212","0.51587","-0.14267","0.96047","0.06819","0.98632","0.56467","-0.10237","0.35218","0.26245","0.88762","0.08636","0.28103","0","-0.68045","0.97772","-0.38662","0.20683","0.14922","-0.46852","1.25648","0.90309","0.3962","-0.71242","-0.41576","-1.15346"
"TG 54:5","-0.62683","-0.40936","0.31597","0.4609","-0.86186","0.44871","-0.3861","0.15229","-0.61114","0.35025","-0.76285","0.07918","-0.40791","-0.89165","-0.93945","-1.02758","-1.09631","0.26951","-0.74528","0.32428","-0.64407","0.13988","-0.45959","-0.70263","-0.58626","-0.67834","0.35984","-0.51428","-0.97846","-0.07058","-0.38722","0.0569","-0.84947","0.24551","-0.80498","-0.86548","-0.03621","0.57403","-0.27572","-0.33216","-0.52855","-0.34827"
