"PLSDA1","PLSDA2"
-0.216722857062231,-0.202407918737584
-0.228760836942558,0.614756010522517
0.209448022460518,0.0458883929908587
0.218338156710615,0.217967315512855
0.242601168067996,0.2323966184663
0.231173979526915,-0.453047889895392
0.215609770527867,-0.126026452805324
0.247596084718444,-0.101760209721667
0.220063771028408,0.0411597994749405
0.240057337831162,-0.269677765734264
0.231314081191288,0.0402847606575143
0.288560623542046,0.0680948729164332
0.287172079399176,0.0740646959500354
0.237396721010724,0.291605839437354
0.231288419098041,0.251410873380108
0.277976482838013,0.101552263696016
0.276861404878577,-0.0356702457857644
