feature	log2FC_Percentage	pval_Percentage	padj_Percentage	log2FC_PQN	pval_PQN	padj_PQN	log2FC_none	pval_none	padj_none
FA 18:1	2.2302945017283915	0.008169073654259089	0.6483342258455653	1.0177327798525468	0.04253810422168181	0.6180682405353307	2.178622625002534	0.003337070538749264	0.1988544366053495
TG 54:3	3.0086431803083933	0.01836929228570263	0.6483342258455653	3.3707212816184526	0.039890550306723845	0.6180682405353307	4.800784134172972	0.006468940195244041	0.1988544366053495
TG 54:4	2.711429986482957	0.019390616331159356	0.6483342258455653	2.8644200066618093	0.04196728944074955	0.6180682405353307	4.399304877037442	0.006800557562426008	0.1988544366053495
TG 56:6	1.011418214690033	0.031081174587607893	0.6483342258455653	2.5378562412768644	0.053284497228391375	0.6180682405353307	4.80411367661105	0.009704217373902682	0.1988544366053495
PC 32:1	1.1340363268934925	0.03156136040563461	0.6483342258455653	0.9367683734083242	0.08049054261885438	0.6180682405353307	2.4943772549135463	0.01260544252684972	0.21789407796411658
TG 56:7	0.057268433800127465	0.04147273153823506	0.6483342258455653	26.81047266143775	0.0406127754414893	0.6180682405353307	27.166414328828893	0.009674996477141694	0.1988544366053495
TG 52:4	0.8754723191457702	0.044829291308774395	0.6483342258455653	27.14260804235536	0.04164111592627138	0.6180682405353307	27.362641249631686	0.009860550575471874	0.1988544366053495
TG 54:5	2.0295643470593423	0.04666269785123354	0.6483342258455653	2.4362862444748017	0.09188184960853449	0.6180682405353307	3.9119808703318366	0.017477300161607617	0.26434416494431523
FA 14:0	-3.5593629616611366	0.05328632028482086	0.6483342258455653	-4.10074216187761	0.07486168003457584	0.6180682405353307	-2.356885538054878	0.2375496950789931	0.5008455928644817
PC 36:2	0.3110199726739487	0.05358134097897234	0.6483342258455653	0.07836248060904617	0.6321636466491236	0.8999035440534584	1.621712369937034	0.08843146686449092	0.49025582483352703
Hex2Cer 34:1;O2	2.4440386003866905	0.06507950136722	0.71587451503942	0.6239761844184631	0.13880414297345248	0.6180682405353307	3.046264513972219	0.029417716113301972	0.3955048499677265
Cer 34:1;O2	2.865252499483984	0.09133789495654263	0.8661441108611072	2.374343495561405	0.1600316218250644	0.6180682405353307	4.082818959773132	0.03629003628005008	0.4273619559468427
Cer 40:1;O2	-18.0117163623633	0.11044921016112012	0.8661441108611072	-0.2392743390502939	0.15005199550224316	0.6180682405353307	-0.02157216059808547	0.7258466098938514	0.7637168678013566
LPC 20:4	-25.631932207311387	0.11860084260269842	0.8661441108611072	-0.4078761612697662	0.09714710509610247	0.6180682405353307	-2.0681384510625005	0.10520959873667803	0.49025582483352703
TG 56:5	0.28516452449692115	0.12945953735215152	0.8661441108611072	1.7488116862295442	0.1969263971801658	0.6209440868917114	4.276695581835673	0.04591492088685086	0.4273619559468427
PC 42:7	-26.561226688774298	0.13185180881052969	0.8661441108611072	-0.37188131422083315	0.09743347922959504	0.6180682405353307	-2.8138285832607504	0.1794547940322524	0.49025582483352703
PC 42:8	-26.561226688774298	0.13185180881052969	0.8661441108611072	-0.37188131422083315	0.09743347922959504	0.6180682405353307	-2.8138285832607504	0.1794547940322524	0.49025582483352703
PC 42:9	-26.561226688774298	0.13185180881052969	0.8661441108611072	-0.37188131422083315	0.09743347922959504	0.6180682405353307	-2.8138285832607504	0.1794547940322524	0.49025582483352703
DG 38:4	-0.4119319197609597	0.13600610005257055	0.8661441108611072	-0.21319467710064327	0.40420166002081115	0.8277609851666285	0.05910681477583304	0.2788570980150731	0.5008455928644817
CE 20:3	-26.508215119047286	0.1613141773443527	0.8851272468451457	-0.22447179284481297	0.11024386574591213	0.6180682405353307	-2.7072648147414746	0.3974183626325496	0.5657367279828059
PC 34:1	0.19157168433226018	0.1673568268426052	0.8851272468451457	0.009438860300416203	0.6159084546732138	0.8933629379613546	1.3399937315919654	0.11476159089236158	0.49025582483352703
TG 58:7	-0.7056923719907519	0.16737859916259826	0.8851272468451457	25.63806022841391	0.16674859856486493	0.6180682405353307	26.69778181704385	0.04370165536361359	0.4273619559468427
DG 36:1	-1.081586848462076	0.16824732791271363	0.8851272468451457	-1.091281704522271	0.11751162071258346	0.6180682405353307	-0.7146276172569457	0.3133795917510485	0.5008455928644817
TG 54:6	0.5403281274756847	0.1766192936767964	0.8904556056205153	26.686243979441066	0.17955237078803096	0.6180682405353307	26.73099124217023	0.04435301086902285	0.4273619559468427
FA 15:0	-1.5335094862396919	0.19895090252205772	0.9295887507225228	-1.8553248666674977	0.18899607355212594	0.6180682405353307	-0.9823667709845256	0.5033237930252951	0.6557409577309982
PC O-32:0	0.5478288091728177	0.2090171138627653	0.9295887507225228	0.01954130760603092	0.4075671758794198	0.8277609851666285	1.9803179003043407	0.10477730461818426	0.49025582483352703
SM 34:1;O2	0.20977487086454272	0.21330128333721327	0.9295887507225228	-0.046863108682422126	0.7728778110974309	0.9228090892734984	1.323436906090963	0.14483321366566984	0.49025582483352703
PC 38:5	0.33920225569732076	0.2268291548142399	0.9295887507225228	0.057724488659196306	0.5149426444738219	0.8745130885304825	1.2699847020616628	0.10784029659391392	0.49025582483352703
