"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"PC 38:3","PC 38:3","0.09906","0.41382","3.67714","0.3287","0.17086","0.22629","0.19168","0.41504","1.1258","0.03373","0.09991","0.72771","0.01064","0.2864","0.01065","1.2721","0.00639","0.30822","1.2391","0.10364","1.24954","0.54008","0.33833","0.78771","0.63159","0.08592","0.0652","0.89676","0.61204","0.00097","0.15702","0.04944","1.73274","0.23747","0.00577","0.41687","0.00001","0.12225","0.01903","0.07298"
"PC 38:4","PC 38:4","0.16484","1.9939","1.12305","0.73746","0.00042","0.0008","0.18001","0.00988","1.63413","0.77555","0.31738","1.42611","0.18967","0.04212","0.00246","0.00659","0.04114","0.29119","0.15398","0.11455","0.373","0.1977","0.00332","0.28102","0.00005","0.92503","1.22638","0.18303","0.53591","1.21949","0.95396","0.2344","0.89966","0.01274","0.73239","1.58716","0.14402","0.42077","0.32263","0.13217"
"PC 38:5","PC 38:5","0.26527","2.34572","0.48197","0.44886","0.40804","0.09155","0.0051","0.0008","0.26303","0.0027","1.94283","2.25848","0.61787","0.41296","0.10565","0.39267","0.00268","0.4173","0.19331","0.01033","0.14064","1.25852","0.00924","0.00444","0.30196","0.00002","0.13487","0.09474","0.04546","0.03389","0.45202","0.08252","0.01667","0.47807","0.00894","0.12532","0.35742","0.16626","0.34757","0.14313"
"PC 38:6","PC 38:6","0.16346","2.23602","0.50143","0.50714","0.39008","0.3335","0.01222","0.04538","0.49636","0.60714","1.13448","1.06208","0.0027","0.04714","0.31645","0.1014","0.40013","0.57594","0.05014","0.74127","0.42014","0.29385","0.15069","2.41951","0.35685","0.53142","0.1665","1.09225","0.15238","0.96135","0.178","2.26473","0.13142","0.00739","1.50161","0.16648","0.42098","0.12688","1.86344","0.135"
"PC 38:7","PC 38:7","0.00348","0.22713","0.00005","3.02905","0.05582","0.00749","4.39111","0.07644","0.07777","0.37481","0.10634","0.07507","0.19558","2.02747","0.97493","0.1425","3.34109","1.17583","0.12024","0.45472","0.66163","0.03184","0.48901","0.18421","0.07687","0.68532","1.90377","0.07344","1.61961","0.1197","0.00599","0.79324","0.00207","0.67448","2.58848","0.79405","0.47787","1.207","0.9722","1.07517"
"PC 40:4","PC 40:4","0.01871","0.64234","4.33493","0.02968","0.01092","0.00098","0.57047","0.08217","1.04223","0.30329","0.02165","0.33033","0.00018","0.1476","0.00012","0.74667","0.06811","0.30401","0.05943","0.01556","0.05261","0.21761","0.11373","0.1968","2.78269","0.09965","0.00868","0.00024","0.55732","0.79573","0.42232","0.02213","0.01884","0.17399","0.03759","0.03822","0.00086","0.58977","0.8468","0.90019"
"PC 40:5","PC 40:5","0.15069","1.77766","2.34379","0.06821","0.06395","0.15324","0.02804","0.31058","0.16713","0.13392","0.85402","1.26642","0.0175","0.05198","0.40648","0.35394","0.08766","0.96228","0.05992","0.02702","0.29228","1.98498","0.01261","0.055","0.08932","0.37655","0.1032","0.01387","0.03983","0.18003","0.14481","0.16476","0.01414","0.33635","0.06009","0.19173","0.31469","0.01685","0.00384","0.57319"
"PC 40:6","PC 40:6","0.43767","1.90096","1.23611","0.49855","0.43634","0.1802","0.05289","0.41201","0.70729","0.18998","0.24445","0.81298","0.0044","0.15073","0.13307","0.00228","0.63984","0.08463","0.00703","0.02688","0.00973","0.09284","0.02144","1.09073","0.36661","0.11795","0.04372","0.96631","0.00011","0.00226","0.53643","0.03786","0.80412","0.56114","0.25617","0.01864","0.11231","0.00518","0.47586","0.00992"
"PC 40:7","PC 40:7","0.24695","0.13395","1.47302","1.22512","0.81379","0.00393","0.17958","0.84224","2.59774","0.47541","0.00024","2.1642","0.00497","0.10823","0.18381","1.47302","2.13546","0.00098","0.04332","0.31313","0.03274","0.31246","1.04085","0.43554","1.41078","1.32089","0.7795","0.26626","0.14777","0.41875","0.03256","0.67181","1.82255","0.70068","3.68904","0.0022","0.64853","0.11172","1.2872","0.02149"
"PC 40:8","PC 40:8","0.01641","0","0.58796","1.39976","0.22559","0.42688","0.68876","0.45231","1.29068","0.13364","0.01904","1.13576","3.55476","2.49877","0.1595","0.0012","0.59523","3.79049","0.08897","6.58002","0.03161","0.18665","6.10045","0.55479","0.2671","1.34639","1.00995","1.05978","1.66484","0.25634","0.0076","0.01532","0.0072","0.56696","0.00037","0.74104","0.16087","0.04948","0.00688","0.03917"
"PC O-32:0","PC O-32:0","0.07266","0.89544","0.13969","0.01092","0.06051","1.13616","0.00903","5.7551","0.23959","0.01382","0.11062","1.51394","3.4095","0.69937","0.55014","1.81912","0.23731","0.0033","0.47249","0.02178","1.47289","0.14497","0.06479","0.00087","2.16575","0.00027","0.1163","0.00384","0.26966","0.10122","0.14428","1.5691","0.00819","0.4099","0.0003","0.09219","0.21443","0.58409","0.89317","0.29878"
"PC 32:1;O/32:0;P","PC 32:1;O/32:0;P","0.16188","0.87087","0.02104","0.00103","0.01038","0.48544","0.32246","4.75006","1.8513","0.01036","0.451","1.58748","2.10188","1.86962","0.21451","1.34022","0.00265","1.55882","0.10426","1.54168","0.00106","0.10803","0.11391","0.04166","0.00674","0.23691","0.92721","0.67191","0.04558","0.0387","0.50887","0.08326","2.13627","0.76861","1.3562","0.19832","2.77756","0.01988","1.52984","0.02941"
"PC 34:0;O","PC 34:0;O","1.21462","0.03848","1.09411","0.03153","0.00001","2.19508","0.0003","0.02835","0.94714","0.06522","0.54629","0.0038","0.12866","0.0005","0.43487","0.00001","0.6001","1.35319","0.02207","2.04625","0.10023","4.30152","0.05481","0.01106","0.13283","0.20914","2.83273","0.00805","1.79523","0.8755","0.08191","0.49073","0.39616","0.01787","1.54388","0.00361","0.40068","1.65496","0.16134","0.13765"
"PC 34:0;P/34:1;O","PC 34:0;P/34:1;O","0.26085","0.98959","0.49615","0.46966","0.18621","1.19372","0.01739","3.6207","0.21855","0.30451","0.18259","2.40895","1.29447","0.00017","0.6733","0.04234","0.00185","0.97013","0.17479","0.82843","0.08392","0.01788","0.88732","0.65429","0.14781","0.28608","0.68554","0.77829","0.12805","0.34208","0.06842","0.03645","0.47655","0.37599","0.31484","0.99261","0.63513","0.33966","0.12288","0.41253"
"PC 34:1;P/34:2;O","PC 34:1;P/34:2;O","0.64889","0.00826","0.01594","1.4869","0.06194","1.05829","0.03343","1.18662","0.50211","5.58899","0.409","0.01683","0.46831","0.09745","0.22385","1.81932","2.60021","0.00749","0.01067","0.18717","1.67772","0.49358","0.69197","0.34762","0.19131","0.19204","0.21909","0.37121","0.50992","0.00414","0.05672","0.23111","0.17284","5.43523","0.83422","0.01498","0.00489","0.04954","0.63766","0.74617"
"PC 36:1;P/36:2;O","PC 36:1;P/36:2;O","0.67441","0.10434","0.00457","0.15575","0.00488","0.6388","1.53701","4.9673","0.70492","1.33758","0.00956","0.00116","1.00973","1.1445","0.39607","0.0146","0.43106","0.16931","2.53759","0.36142","0.44787","0.86029","0.00685","2.24576","1.02784","1.19396","0.0038","0.5165","0.40909","0.07533","1.523","0.04179","0.96194","0.01799","0.00042","1.3181","0.06177","0.0649","1.6319","0.13514"
"PC 36:2;P/36:3;O","PC 36:2;P/36:3;O","1.02034","0.54022","0.57007","0.60029","0.03976","0.49721","0.53888","0.96458","0.0297","4.09101","0.01029","0.24145","0.04119","0.01071","0.20531","0.44127","2.17116","0.53565","0.03573","0.38014","0.5147","0.24682","0.00634","0.73802","0.02914","0.10484","0.01681","0.04814","0.0048","0.15353","0.00064","1.15639","2.11866","0.42222","0.21265","0.3418","1.15363","0.13009","0.1525","1.11721"
"PC 36:3;P/36:3;O","PC 36:3;P/36:3;O","0.91898","0.84384","0.73232","0.42194","0.12303","0.07649","0.91369","1.2586","0.55818","1.74184","0.35522","0.77601","0.1235","0.17432","0.16784","0.80837","1.4146","0.48006","0.09687","0.0012","0.07231","0.06919","0.0083","0.35538","0.07811","0.14183","0.54929","0.1362","0.05361","0.50087","0.31381","0.67963","0.10798","0.00001","0.61487","1.74228","1.41734","0.18741","0.00462","0.06679"
"PC 38:2;P/38:3;O","PC 38:2;P/38:3;O","1.19498","0.23585","0.50731","0.0863","0.68432","0.06311","0.79005","2.27908","0.5938","1.7004","0.03301","0.76636","0.06672","0.97081","0.53082","0.05348","0.73614","0.02274","1.73718","0.08701","0.27361","0.0341","1.02386","0.01053","0.04247","0.00145","0.80083","0.07987","0.03755","0.75238","0.61977","0.57356","2.09357","0.19751","0.31448","0.01407","0.04179","1.6254","0.06921","0.1327"
"PC 38:3;P/38:4;O","PC 38:3;P/38:4;O","0.64942","1.32257","0.85201","0.00929","0.13232","0.0484","1.04834","2.34382","0.07345","1.89452","0.13641","0.55333","0.35464","0.05125","0.00004","0.67856","0.02714","0.00042","0.26497","0.01145","0.27741","0.22055","0.04688","0.55019","0.07828","1.18776","0.09449","0.05367","0.10113","0.00182","0.24486","0.0023","0.75635","0.17073","0.69522","0.15745","0.03432","0.96675","0.00303","0.33803"
"PC 38:4;P/38:5;O","PC 38:4;P/38:5;O","1.08222","0.53835","0.99755","0.09677","0.21996","0.00101","1.59204","0.79017","0.43296","1.48903","0.246","3.03108","0.02697","0.01517","0.15186","0.21261","0.07735","0.78862","0.16514","0.00004","0.00421","0.08212","0.0921","0.04876","0.1164","0.08632","0.18564","0.0809","0.52101","0.09847","0.06734","0.31504","0.20354","0.06348","0.25062","0.00842","0.71363","0.8419","0.18748","0.02918"
"PC 40:3;P/40:4;O","PC 40:3;P/40:4;O","0.79041","0.81244","0.49411","0.47552","0.00166","0.03902","0.57556","1.45805","1.41372","2.91581","0.02612","0.15872","0.04692","0.08746","0.22195","0.27722","3.42871","0.15255","0.00165","0.01244","0.07775","0.31359","0.04883","2.23077","0.04924","0.46784","0.00589","0.3288","0.48847","0.13633","0.27879","0.00356","0.07074","0.84016","0.00599","1.05469","0.86385","0.72799","3.08964","0.07435"
"PC 42:3;P/42:4;O","PC 42:3;P/42:4;O","0.86863","0.00059","0.40425","0.3986","0.00006","0.53515","0.41879","0.58955","0.4595","1.16399","1.74066","0.06159","2.4044","0.12429","0.06545","0.09812","0.06492","2.60809","1.05932","0.06827","0.05868","0.2928","0.37902","2.55489","1.65235","5.79733","0.0027","7.99565","0.47403","3.11738","3.50649","0.00001","0.01034","0.55798","0.02226","0.13542","0.95453","0.3689","0.17388","0.56584"
"PE 38:4","PE 38:4","0.07414","0.15423","1.41985","0.05041","0.00199","0.42857","0.29477","1.3684","0.84632","0.24778","0.0076","1.26684","0.86574","1.7048","0.00154","2.83045","1.58929","0.82305","3.90696","5.31986","0.14614","0.80125","0.91134","0.5598","3.53362","0.11054","2.59122","0.22346","2.56962","0.04294","0.99702","0.05102","0.26161","0.29059","3.48615","0.45511","1.13729","1.2307","0.01448","0.03908"
"PE 36:3;P/36:4;O","PE 36:3;P/36:4;O","0.31935","0.00109","0.00112","0.87958","0.29358","0.00739","0.04434","0.00142","2.7503","0.11048","1.58715","1.63664","0.16951","3.54501","0.13746","8.69484","0.75871","3.27934","0.52635","1.15763","1.70601","2.13397","0.13192","0.47185","0.00026","0.01085","0.0056","0.00009","0.49551","1.37081","1.42356","0.45145","0","4.99239","0.24192","1.02236","0.06025","1.06233","0.15492","0.00102"
"PE 38:4;P/38:5;O","PE 38:4;P/38:5;O","0.22785","0.24897","0.09007","0.21513","0.04023","0.03901","0.12984","0.22104","4.16935","0.41943","0.7536","3.20369","0.20958","3.30454","0.77602","0.76802","0.61966","3.68782","0.37436","2.03797","0.01155","2.58093","3.93038","2.55677","0.00112","0.19997","1.8983","2.98983","3.42194","0.15534","0.00159","0.03614","1.94099","0.21832","0.04245","0.58901","0.35684","1.52144","0.49102","0.74714"
"SM 32:1;O2","SM 32:1;O2","0.97779","1.0547","0.25664","0.00027","2.2868","0.02066","1.13724","0.04725","0.39074","0.00611","0.5347","0.02122","0.25446","0.07967","0.40297","0.00326","0.01813","0.04718","0.01544","2.58625","0.20268","0.22446","0.40404","0.3424","0.01939","0.00286","0.23956","0.00011","1.59933","0.02283","0.64939","0.98855","0.3898","0.17927","0.00761","3.85365","0.18024","0.80245","0.03274","0.43768"
"SM 33:1;O2","SM 33:1;O2","0.54529","0.89366","0.05889","0.00554","0.78577","0.13758","0.00021","1.02067","1.44719","1.25321","0.44445","0.95207","2.80486","1.31352","0.06076","0.58018","0.19089","0.07459","0.47123","0.91973","0.14101","0.10006","8.68437","0.08836","0.45754","1.50986","0.50451","0.02878","1.17251","0.13408","1.09905","0.36024","0.05583","0.6379","0.25084","0.37476","0.23676","0.00053","0.38079","0.03874"
"SM 34:1;O2","SM 34:1;O2","1.02747","0.93661","0.34884","0.17099","1.23579","0.00561","2.30668","0.04005","0.22713","0.65281","0.1209","0.28973","0.01843","0.00022","0.0888","0.07133","0.14247","0.0717","0.28136","0.31659","0.32255","1.28711","0.1027","1.62814","0.12388","2.07854","0.00388","0.00573","0.05762","0.08986","0.03698","2.43678","0.03","0.15757","1.45161","0.72215","0.04114","0.00069","0.01787","0.99058"
"SM 34:2;O2","SM 34:2;O2","0.80815","0.92726","0.84929","0.24717","1.79155","0.0085","0.96742","0.01622","0.12154","0.31603","0.01595","0.00462","0.03213","0.00788","0.50904","0.1635","0.1546","0.6301","0.20197","0.03834","0.13297","0.03184","0.01654","2.7444","2.74391","0.00045","1.61795","0.47902","0.08018","0.35803","1.56722","1.2638","0.50335","0.73945","1.3978","0.01535","0.11868","2.39358","0.67983","0.45451"
"SM 35:1;O2","SM 35:1;O2","0.50934","0.75098","0.04904","0.5016","0.01049","0.88438","0.95868","0.00007","0.01214","0.05269","0.5438","1.19561","6.04281","2.56839","0.83788","0.3627","0.3807","0.36711","0.17738","0.19627","0.20538","0.48013","0.54785","1.38731","0.24719","1.19548","2.00882","0.57582","0.00107","1.0104","0.00065","1.18653","0.13795","1.33496","0.88961","0.40691","3.66949","0.14806","0.2375","0.14303"
"SM 36:1;O2","SM 36:1;O2","0.95315","1.22235","1.04683","0.17387","0.75017","0.074","0.92969","0.01231","0.45212","0.88033","0.7754","0.05084","0.1579","0.00041","0.14076","0.03061","0.07085","0.31755","0.20944","0.03571","0.03131","0.14344","0.00136","0.07031","0.21285","0.0874","0.57894","1.93687","0.0167","0.21676","0.00569","0.41672","0","0.87853","0.33522","0.00089","0.4343","0.66465","0.00033","0.12913"
"SM 36:2;O2","SM 36:2;O2","1.37487","0.55057","0.55679","0.03144","1.08064","0.0717","0.48274","0.14391","0.98932","1.20706","0.18412","0.35053","1.03036","0.15523","0.01529","0.04754","0.23513","2.82198","0.47969","0.03367","0.16644","0.56382","0.02013","0.28908","0.00806","0.00345","0.92163","0.37472","0.00045","0.00161","0.68448","0.50554","0.02602","1.15681","0.06382","0.00054","0.67641","0.02164","0.68508","1.24552"
"SM 37:1;O2","SM 37:1;O2","1.6007","0.48488","0.37969","0.04536","0.00652","1.58601","0.19595","0.153","0.04271","0.2471","0.03338","0.12511","0.10812","1.00767","0.3155","0.55161","0.01428","0.32114","0.0015","2.27238","0.03151","3.71359","0.32654","1.43418","0.05111","0.28591","0.16361","0.81664","0.90128","0.02493","0.13593","0.00076","0.506","0.46228","0.18156","0.00093","0.89531","0.29376","0.21181","0.24701"
"SM 38:1;O2","SM 38:1;O2","1.42466","1.85999","0.17389","0.36896","0.35144","0.0063","0.53119","0.07288","0.01224","0.21879","0.28228","0.06461","0.12853","0.05047","0.07294","0.00045","0.00762","0.11846","0.00011","0.24237","0.01485","0.00005","0.06319","0.00825","0.00011","0.01513","0.22782","0.31278","0.0528","0.43946","0.19404","0.26354","0.00883","0.00432","0.03651","0.00225","0.22527","0.15002","0.69282","1.0911"
"SM 38:2;O2","SM 38:2;O2","1.90174","0.57127","0.25261","0.10688","0.41916","0.15103","1.07342","0.11407","0.04457","0.33561","0.08614","0.22397","0.15847","0.3895","0.52702","0.18999","0.00528","0.93003","0.22075","0.03168","0.139","2.10336","0.12624","0.01524","0.61621","0.48742","0.00567","0.4028","0.01702","0.11255","0.48436","0.16903","1.45933","0.04311","1.39419","0.32545","0.11022","0.43726","0.03135","0.2464"
"SM 39:1;O2","SM 39:1;O2","1.22885","0.54292","0.33077","1.27331","0.08452","0.00754","0.5981","0.44793","0.72196","0.20901","0.28297","0.04633","0.81806","0.11858","0.16436","0.08226","0.29129","0.15098","0.11522","2.38234","0.00243","0.2382","1.5278","1.23289","1.57547","0.64016","1.13319","0.60235","0.05965","0.30478","0.049","0.77552","4.19499","0.49468","1.711","0.24918","0.04525","0.98291","0.00012","0.20439"
"SM 40:1;O2","SM 40:1;O2","0.99957","2.08255","0.17703","0.66294","0.25616","0.20299","0.56849","0.16394","0.07032","0.2822","0.31781","0.06145","0.00658","0.69843","0.04635","0.04083","0.02045","0.00083","0.12431","0.07801","0.01298","0.01659","0.00001","0.00045","0.0353","0.03038","0.0001","0.36874","0.00299","0.00204","0.6265","0.91968","0.00306","0.35694","0.00001","0.57538","0.52952","0.19738","0.28253","0.04907"
"SM 40:2;O2","SM 40:2;O2","1.51457","1.45975","0.00008","0.03081","0.40338","0.53315","0.74492","0.01696","0.20483","0.23435","0.05203","0.14802","0.22244","0.00278","1.00849","0.18975","0.045","0.66983","0.71381","0.23741","0.07751","0.03307","0.00191","0.17169","0.02442","0.58958","0.4557","0.00842","0.00084","0.34659","0.00038","0.05814","0.11076","0.01652","0.28925","0.68572","0.24337","0","0.71449","0.30366"
"SM 40:3;O2","SM 40:3;O2","0.41315","0.54522","0.14835","1.46922","0.00218","0.18788","0.10174","0.22149","0.55165","0","0.03808","0.76753","6.17485","2.0359","0.04618","0.91472","0.03093","0.00107","0.01496","0.00832","3.33163","0.04448","0.07354","0.29441","0.14614","0.4563","2.12537","1.57118","0.01951","8.31635","0.2443","2.4143","1.41352","0.15724","0.47618","0.59912","0.83678","6.41818","0.77809","1.12252"
"SM 41:1;O2","SM 41:1;O2","0.88445","1.82924","0.00482","1.63709","0.02241","0.77718","0.25504","0.09194","0.24465","0.1332","0.35615","0.14629","0.04849","0.32718","0.06451","0.00024","0.26177","0.03516","0.00133","0.00007","0.0833","0.05524","0.06825","0.11316","0.14181","0.31104","0.22077","0.22619","0.07552","0.01922","0.63361","0.45147","0.08133","0.43079","0.06628","0.1649","0.00039","0.04695","0.47011","0.47996"
"SM 41:2;O2","SM 41:2;O2","1.85797","1.02193","0.13004","0.42433","0.13688","0.10451","0.0811","0.02387","0.77994","0.17716","0.00127","0.16243","0.18671","0.37865","0.80707","0.00629","0.03985","0.04778","0.0641","0.53791","0.06352","0.52455","0.00094","0.28164","0.75169","0.17348","0.00609","0.51921","0.65975","0.87916","0.94268","0.74289","0.00002","0.00179","0.31895","0.02324","0.48901","0.72179","0.35907","0.0205"
"SM 42:1;O2","SM 42:1;O2","0.6633","2.0139","0.01601","1.06266","0.01345","0.44307","0.65557","0.10302","0.12862","0.00934","0.34483","0.00162","0.27942","0.69147","0.13224","0.00818","0.32467","0.02771","1.89308","0.03505","0.32759","0.10566","0.02378","3.88214","0.00491","0.01571","0.21304","0.87161","0.00096","0.00119","0.00007","0.52043","0.12741","0.37953","0.02618","1.14982","0.32633","0.0023","0.02981","0.05481"
"SM 42:2;O2","SM 42:2;O2","1.10784","1.1624","0.66247","0.0633","0.21992","0.37602","2.45475","0.00161","0.03431","0.81498","0.03906","0.50946","0.1079","0.0056","0.07751","0.05999","0.00495","0.52551","0.07553","0.23409","0.0938","0.1199","0.06814","0.04449","0.04688","0.04536","0.66474","0.60154","1.11927","0.07389","0.02868","0.0157","0.04978","0.16175","1.16466","0.12745","0.01615","0.01171","0.07605","0.16802"
"SM 42:3;O2","SM 42:3;O2","1.43685","1.30009","0.38275","0.01441","0.18371","0.59313","1.03776","0.18073","0.05355","0.22446","0.02408","0.72217","0.12977","0.14423","0.3792","0.00005","0.23974","0.03702","0.31891","0.00341","0.20498","0.03344","0.1317","0.01608","0.50991","0.10526","0.04603","0.03061","0.92523","0.00145","0.03379","0.00027","0.0542","0.14364","2.63187","0.00918","0.09496","0.00313","0.73089","0.01698"
"SM 42:4;O2","SM 42:4;O2","1.62158","0.04901","0.03281","0.90548","0.44666","0.27483","0.01209","0.38588","0.76539","0.58093","0.80823","0.16608","1.56098","0.44437","0.00003","0.62686","0.05345","0.37541","2.33254","0.04429","3.54155","0.00393","0.10392","0.27689","1.23515","1.01225","0.02742","0.50638","0.4337","0.87007","0.0405","0.00054","0.08063","0.01487","0.05726","1.47856","1.95405","0.80982","0.0423","0.26137"
"SM 43:1;O2","SM 43:1;O2","0.74993","0.06448","0.34164","0.44888","0.00854","4.42607","0.08418","0.25637","0.39974","0.10244","0.00736","0.2091","0.71852","0.36752","0.09567","1.24819","2.09347","0.1357","0.03919","0.4499","0.2871","4.50956","0.0348","0.13791","0.11557","0.41918","0.64235","0.73147","0.25359","2.31708","0.5339","0.14453","0.78844","0.00089","1.37239","0.69899","0.28182","0.04393","1.18477","0.23063"
"SM 43:2;O2","SM 43:2;O2","0.73848","0.33847","0.00832","0.99122","0.71089","0.47988","0.05401","0.06059","0.00853","0.10975","0.99166","0.86251","5.0258","0.98398","0.11286","0.05736","1.41531","0.77064","4.43806","0.02126","0.12624","0.00622","0.04256","2.46184","0.09605","0.14974","0.59719","0.15288","1.55446","0.06285","0.98373","1.14342","5.90053","0.00008","0.21284","1.60384","0.09771","1.07996","0.11904","0.01626"
"TG 46:1","TG 46:1","0.0183","1.82968","0.75305","0.14494","1.00648","0.38152","1.79487","0.0315","1.06796","0.07033","2.31424","0.18164","0.089","0.13248","0.05206","0.53344","0.00055","0.32699","0.13557","0.03926","0.13194","0.29154","0.00003","0.80403","0.38746","0.33411","0.83431","0.37076","0.00022","0.06235","1.11394","0.13418","0.14185","0.09141","0.06947","0.00329","0.27175","0.95306","1.44844","0.53893"
"TG 46:2","TG 46:2","0.41457","0.54506","1.31021","0.82191","1.94459","0.05404","0.9527","0.20719","0.96438","0.00324","0.1148","1.08054","0.59449","0.16867","0.58014","0","0.04803","0.88548","0.00374","0.11549","1.55191","0.32399","0.21413","0.15235","0.30596","0.1608","0.37539","0.01564","0.49523","2.23355","1.49729","0.38409","0.35018","0.19772","0.00959","0.74598","0.00198","0.0051","0.29719","0.98667"
"TG 48:0","TG 48:0","0.19809","0.69899","1.45984","0.38681","0.74488","0.66025","2.24353","0.06875","0.89376","0.00075","1.03204","0.0001","0.58972","0.63937","0.18327","0.26651","0.0502","1.77128","0.08455","0.05061","0.99967","0.02407","1.74688","0.00155","0.43514","1.31898","0.87027","0.57423","0.04149","0.59601","0.79376","1.1336","0.22172","0.01023","0.44188","0.04976","0.26188","0.0475","0.13618","0.17371"
"TG 48:1","TG 48:1","0.26647","0.48159","1.38057","0.73638","1.86662","0.4252","1.55884","0.20004","0.19169","0.32942","0.02135","0.04732","0.01381","0.03275","0.04166","0.00827","0.50844","0.58471","0.00112","1.50614","0.02588","0.00036","1.1068","0.26529","0.24619","3.38401","0.73582","1.94283","0.38084","1.14215","1.28981","2.18778","3.01846","0.02638","0.19483","0.1045","1.3912","0.03422","0.00001","0.00069"
"TG 48:2","TG 48:2","0.6455","0.06002","1.60635","1.04487","2.65433","0.03597","0.40505","0.1546","0.00537","0.08115","0.45284","0.10141","0.37747","0.03857","1.01568","0.39553","0.00106","0.00093","0.00192","1.3876","0.25398","1.71396","0.2164","0.24155","0.00004","0.78729","0.06428","0.01984","0.35058","0.22418","1.55801","0.30088","2.25307","0.00771","0.09056","0.47323","0.0588","0.65131","0.00809","0.05884"
"TG 48:3","TG 48:3","0.22661","0.50656","1.94375","0.94065","1.36232","0.1258","0.603","0.01466","0.92867","1.82551","0.14601","0.42338","0.03914","0.6745","0.04312","0.00381","0.58532","0.01822","0.14397","0.30553","0.01848","1.54417","0.53736","0.38243","0.03893","0.77725","0.14874","0.21745","0.00053","2.70327","0.09229","0.00122","0.10072","0.30026","0.02111","3.03663","0.21551","0.0257","0.13704","0.51913"
"TG 49:1","TG 49:1","0.01006","0.01551","1.00346","0.05175","0.14826","0.01783","0.01297","1.30428","0.11897","4.34543","0.00095","0.63786","2.64249","2.05459","1.23543","1.8511","1.881","0.20086","6.06993","1.35678","0.48934","0.00157","3.6621","0.27964","2.68379","0.20129","0.00004","0.003","1.93276","0.90368","3.66187","0.43792","1.66658","1.78547","0.09367","0.25563","0.83146","0.25829","0.88334","0.01613"
"TG 49:2","TG 49:2","1.84088","0.16454","0.03651","0.28657","1.71188","0.32176","1.08582","0.00631","0.61416","0.39826","0.49455","0.00634","0.34401","0.16874","0.51326","0.00207","0.06521","0.35906","0.0031","0.33152","0.36463","0.2175","0.00982","0.15802","0.41782","0.01534","0.3086","0.2359","0.01111","0.07231","0.21356","0.08574","2.48584","0.02026","0.83843","0.18961","0.34775","0.04703","0.29798","0.00352"
"TG 50:0","TG 50:0","1.61608","0.01369","0.21154","0.31332","1.93217","0.02251","0.47736","0.18464","1.74779","0.08071","0.95157","0.09747","0.70104","0.00096","1.25418","0.27972","0.15634","0.31292","0.00549","0.0901","0.11934","0.00195","0.75109","1.13001","0.24315","0.56771","0.11945","0.02511","0.58651","0.40016","1.23851","0.02791","0.13945","0.29584","0.01199","1.47569","0.06898","0.4135","0.00223","0.89484"
"TG 50:1","TG 50:1","0.26611","0.62476","1.5874","1.57179","1.64861","0.39376","0.13275","0.01518","0.54418","0.87776","0.0378","0.32147","0.05941","0.47107","0.05928","0.86616","0.14453","0.0252","0.03332","2.00524","0.00505","0.00245","0.00559","0.12674","0.00785","0","0.30781","0.02377","0.11301","0.742","1.40589","0.3737","0.95136","1.16257","0.20516","0.30448","0.96395","0.71429","0.001","1.39972"
"TG 50:2","TG 50:2","0.28665","1.16677","0.05092","0.02929","2.00322","2.28947","0.33571","0.07821","1.12424","0.23614","0.00087","3.0387","0.31735","0.03799","0.0235","0.11378","0.4292","0.18235","0.0123","0.00114","0.18648","0.5894","0.22705","0.86178","0.96089","0.02039","0.33597","0.04614","1.30654","0.47483","0.30907","0.15674","0.20988","0.1208","0.21114","1.75715","0.03559","0.00465","0.79803","0.06441"
"TG 50:3","TG 50:3","0.28651","2.14581","0.1935","0.50481","0.00724","0.5203","0.00198","0.00112","0.10842","0.18173","3.53841","0.29446","0.30433","0.03543","0.0819","2.07356","0.0069","0.00735","0.2535","0.02312","0.43266","0.30872","0.38826","0.13714","0.44833","0.29247","0.00786","4.51738","0.29189","0.0009","0.16858","0.31163","0.3069","3.35325","0.07588","1.02936","0.73343","0.0005","0.23903","0.94879"
"TG 50:4","TG 50:4","0.97974","0.17588","0.69046","0.49512","0.02446","1.51929","1.49851","0.03155","0.42034","0.17192","0.64534","1.523","0.3438","1.38342","0.30154","0.28238","0.00015","1.19528","0.06738","0.98323","1.11153","0.12231","0.88603","0.43238","0.93115","0.81544","0.78778","0.13023","0.38926","0.80975","0.03183","0.08214","0.00324","0.20719","0.0459","0.4533","1.80779","1.17249","0.00007","0.2163"
"TG 51:1","TG 51:1","1.90414","0.28835","0.85796","0.05259","0.71143","0.07709","0.72139","0.07285","0.13619","0.29063","0.09374","0.41479","0.02862","0.20686","0.93066","0.69031","0.00659","0.3131","0.75808","0.21145","0.00294","0.002","0.0056","0.07214","0.52687","0.1973","0.45305","0.01659","0.06014","0.01025","0.08694","0.30929","1.95195","0.06365","0.0173","0.00023","0.28857","0.01207","1.38997","0.46116"
