feature	BS-007-RAN-01-M3	BS-007-RAN-02-M3	BS-082D0	BS-126-RAT-05-M2	BS-129-RAT-10-M5	BS-135-RAN-IC-M3	BS-172-RAT-10-M3	BS-356-RAN-03-M4	BS-364D0	BS-391-RAN-06-M2	BS-472-RAT-01-M1	JV-015-RAN-IC-M2	JV-017-RAN-10-M3	JV-036-SOC-10-M2	JV-061-MIN-03-M5	JV-070-DAV-04-M1	JV-070-DAV-07-M3	JV-070-MIN-01-M1	JV-089-SOC-04-M1	JV-090-MIN-IC-M4	KT-004-SOC-14-M1	KT-004-SOC-16-M1	KT-193D0	KT-247D0	KT-312D0	KT-313D0	KT-347D0	KT-412D0	KT-417D0	KT-445D0	KT-522D0	KT-525D0	KT-537D0	KT-538D0	KT-539D0	KT-565D0	KT-663D0	KT-695D0	KT-705D0	KT-723D0
14:0	0.04576693852143628	0.1156108674215376	0.1547627258932265	0.04143012543767209	0.08261885478630804	0.09904615921863243	0.0755967629713954	0.06779164147382691	0.3458674759018018	0.049931711042251026	0.03982481085716401	0.07193599489872167	0.18341802467208645	0.06488032515429773	0.0330914568447693	0.00659230323242602	0.12491548149761048	0.10059280857877516	0.06265345325479921	0.13367019583193882	0.091760699313118907	0.070568132937676	0.11050338464028235	0.09621922078335171	0.0936960937209139	0.6930630582196343	0.07441560495235845	0.07730519091888438	0.11189794907044777	0.08236992819280367	0.23044684953799152	0.1345870206489675	0.07666939350474497	0.05022455235342531	0.17048445433088244	0.1435704339658396	0.05697661947661946	0.10589771849248703	0.10869723806883673	0.4300632748598175
16:0	2.519717183140017	4.902775146578063	30.070526969237108	2.4713600979025734	3.7006265069213637	3.628241598459762	3.8671196571058317	3.9785346826516497	36.19976926375235	3.136619302745042	1.857557258171841	3.484412207199577	5.68349402094211	2.4610868583471315	2.9063564717623978	3.0302620525051607	4.085211022031291	4.085170415241601	2.443166639103388	5.400275911610327	2.9889996214286914	2.8488910297198866	18.07248718590613	29.621802798309407	35.44711444988191	39.64437567056479	28.369399062983483	39.20146231496627	26.086076165204005	42.38045862283934	17.712362205602048	26.67772861356931	33.828443978151014	26.799821135787738	25.099590769387508	28.285229341924197	29.77665165165164	35.37376011421261	21.15340657630449	34.06828197609613
16:1	0.11955186433715903	0.5356313017233143	1.3286315353841898	0.10091953632253457	0.17454687630910148	0.28771286812027075	0.27034252238248424	0.21660752711156706	0.9108633183852246	0.10426916129411244	0.12958072879403867	0.21799994021939476	0.8326726450399087	0.16799638717446932	0.07518378995131585	0.0789386053728962	0.276516708059586	0.21882380825081504	0.11194931749080873	0.5234565684105695	0.15485591700719897	0.12785518467640739	0.9871972852074653	0.5180729119037492	0.8732558668646768	1.2933281285427443	0.6827631754378888	0.688764313928899	0.9543296513579617	0.12242432464734349	1.9661825518017753	1.2920968534906583	0.5851085293783169	0.7374908461702967	1.032415819055543	0.8698679234400871	0.7597999785499783	0.8640469401442552	0.8216733052228173	0.6540116947030877
17:0	0.005324685368144941	0.023802237410316562	4.3109394399227445e-4	0.007011251997144509	0.01047281257854609	0.014061155208885415	0.00708166397858505	0.02300437083045778	0.23357899399943602	0.012015652389846506	0.004102555892320916	0.014546613926888314	0.0073942316777100905	0.012795423754327859	0.03097360360670406	0.017410441870253333	0.015553041601930532	0.0217721421307486	0.017015024107267806	0.011020138282327781	0.019162251299683575	0.01863315869702681	2.528681570715843e-4	1.9880004294080934e-4	2.068346439755274e-4	0.20990577614881334	3.100650206348269e-4	2.4937158360930446e-4	2.664236882629709e-4	3.230193262462889e-4	2.786539897678253e-4	3.0727630285152396e-4	3.668392033719855e-4	3.240293700220988e-4	3.396104667945865e-4	2.059834059768144e-4	3.3515658515658505e-4	3.922137721943964e-4	2.4317055496384058e-4	0.2050859955073133
18:0	0.5275241861155023	1.723476292485779	9.462943164574416	0.9403576163442906	1.6714608875359558	1.0179658298476606	1.1705990556601087	1.435228445617056	14.451811895472206	0.9585820462121988	0.624388994343476	1.0342044695965802	1.4712467085399272	0.7892518440463643	0.6820811084843847	1.155174366420498	1.3421456321329104	1.3363685720506324	0.804317681631407	1.465270238279879	1.1600172616052349	1.1066906915478796	5.12968343435416	11.032010782914334	12.739359391740685	12.311511391712694	9.136065833005174	12.725182539999198	9.335486036734501	15.043333042615918	5.230056733952313	7.679756637168138	10.580743142858177	8.333063308858312	8.45901750691956	7.384711087674773	12.853590197340193	11.37459160740969	7.3624748926402015	13.505838777714889
18:1	1.0921943915849683	7.796932911693698	12.324975858739124	2.44522724954958	4.830061161225457	2.6546224888862793	4.534566487087472	2.6611781902278233	10.03181506987233	2.125168386017519	1.537357773893135	2.4888658622854116	11.908820907600864	1.6375131717597464	0.7550146793702563	1.354126697306791	4.671151399855599	2.825142139016505	1.369152874425942	5.141710815245341	1.7009224365036202	1.4260313156001154	14.808717882583192	17.74787383354075	13.888119004380766	13.478615556869737	8.660736156371986	11.14690978733591	9.860607126300815	9.959331866825579	27.953732291538934	15.715339233038339	10.117058389795988	14.325014419306967	13.210167937375829	14.216356730301797	10.079834298584295	10.258743425516633	15.169708730309267	7.820018176517991
18:2	0.5433714639968861	2.9019299242700236	6.385363498413568	1.309829350375633	2.2681784753446705	1.2437169041353702	1.7813925738130691	1.6221135113016603	4.060152513343137	1.1438901075133874	0.6524064492178627	1.6232426992935922	3.802689035586795	0.7273822068342614	0.835228370761977	1.018426332701712	2.4139957728470076	1.4747181334384274	0.851546299947842	2.5189179040513294	1.3555345411263966	1.068036798506175	7.974703069566555	6.784647865483941	5.822602062555072	3.9101378879925943	6.000068214304535	6.91981207357459	6.443723324328213	3.7680204406629603	12.30118037830065	6.365843166175022	5.863924665901187	9.840771967571138	4.848618634426312	6.090517347922448	9.151785714285712	6.4566231178641535	12.312211538929176	6.717080782619126
18:3	0.09723889708017072	0.29064636837767505	1.9739791695406244	0.13682564503518374	0.1442920844155239	0.1603898802947589	0.12693882681613702	0.15777333976641397	2.4232043910955694	0.10373513229900815	0.057635907170167006	0.16280251477079116	0.21320034670730764	0.08068643685082039	0.07743400901676015	0.10818138637827313	0.18450818826711274	0.17362594357432426	0.0960474258017734	0.3618278736030955	0.13725157231724577	0.10505929903642776	1.084045789365882	1.4327519094744128	2.2729059026470706	2.234164151926902	1.7614793822264516	2.224643897378605	1.9022651341976118	2.5014616624512613	0.6626391876678885	1.524090462143559	1.8785835604679377	1.9078849306901176	1.3788184951860214	1.4705155352684778	1.5973562848562841	1.953224585528094	1.284426871319006	1.3995918857280025
20:3	0.07974350229912305	0.12467838643499152	0.9436646433990887	0.053328007614644596	0.09960808408039391	0.09317446803250443	0.08462588454409134	0.10911807756748114	1.3358539017878497	0.044057392096103855	0.07424625541712487	0.05499815676467363	0.1271397057917374	0.0724070450097847	0.06274140217768259	0.03177828224861774	0.06303074754466584	0.048780622242310154	0.0429351075603954	0.1659143041394905	0.09300702460090321	0.06204445395924885	0.43973772514748516	1.177293854295473	1.1131840538762887	1.2769657629186717	0.4198280379395556	0.9149443402625381	0.7798221355457158	0.6835088943371472	0.7038799781535267	0.3506022615535888	0.8807809272961372	0.633477418393203	0.32093189112088427	0.06797452397234875	1.1965090090090085	0.3800551452563701	0.5089559715393184	1.1471783527959247
20:4	0.34280831513009336	0.36399612039722207	2.263674299903433	0.2500679878981541	0.4000614405004606	0.34086712517363976	0.2616674840087176	0.42649696362662876	1.760607589659035	0.19318498897897657	0.2091302881695296	0.30248986220570495	0.43872441287746544	0.1981032665964172	0.2162857619374121	0.24814105500516404	0.21152136578625524	0.32492855154623546	0.34952357932499656	0.4769270956629634	0.494012185945501	0.4947698309338183	2.2234697051304413	2.26234448866641	3.0439854553878365	2.096019036443663	2.169214884361249	3.623369109843194	1.3952608554331785	1.776606294354589	4.152223101530365	1.7739060963618478	4.095026027241475	4.005651072213184	1.8573296428995938	1.4878181413705303	2.691642535392534	2.0567690213874146	3.09045458303545	3.41924310235437
