feature	BS-007-RAN-01-M3	BS-007-RAN-02-M3	BS-082D0	BS-126-RAT-05-M2	BS-129-RAT-10-M5	BS-135-RAN-IC-M3	BS-172-RAT-10-M3	BS-356-RAN-03-M4	BS-364D0	BS-391-RAN-06-M2	BS-472-RAT-01-M1	JV-015-RAN-IC-M2	JV-017-RAN-10-M3	JV-036-SOC-10-M2	JV-061-MIN-03-M5	JV-070-DAV-04-M1	JV-070-DAV-07-M3	JV-070-MIN-01-M1	JV-089-SOC-04-M1	JV-090-MIN-IC-M4	KT-004-SOC-14-M1	KT-004-SOC-16-M1	KT-193D0	KT-247D0	KT-312D0	KT-313D0	KT-347D0	KT-412D0	KT-417D0	KT-445D0	KT-522D0	KT-525D0	KT-537D0	KT-538D0	KT-539D0	KT-565D0	KT-663D0	KT-695D0	KT-705D0	KT-723D0
14:0	-1.3394481377740435	-0.9370013403153576	-0.8103336294938221	-1.3826837517896535	-1.0829208292509125	-1.0041623607361851	-1.1214968004479835	-1.168823850167937	-0.46109027551234755	-1.3016235514398693	-1.399846278147924	-1.1430537455806837	-0.7365579880172561	-1.187886982280818	-1.4802841126915567	-2.1809628241961767	-0.903383733664906	-0.9974330660613197	-1.2030549871092082	-0.8739654156897289	-1.0373432853130728	-1.151391372796718	-0.9566244196432492	-1.0167381644866746	-1.0282785148839957	-0.15922724938395041	-1.128335983351079	-1.1117913429285502	-0.9511778733961357	-1.0842313126187526	-0.637429224782326	-0.8709968207385512	-1.1153779722281056	-1.299083925387152	-0.7683152161208671	-0.8429349868871084	-1.2443033217901713	-0.9751133964250631	-0.963781490933969	-0.36646764232549844
16:0	0.4013517976488065	0.6904419758813719	1.478141038936117	0.39293603036279107	0.5682752552739051	0.5596961982845429	0.5873876102982524	0.5997231483512458	1.5587058023619367	0.49646181077610413	0.26894220952538067	0.5421295265660319	0.754615407451425	0.3911269413887845	0.46334888051425116	0.4814801872600106	0.6112144949777916	0.6112101780912849	0.3879530895583562	0.732415949420876	0.4755258600337803	0.4546758377630188	1.257017925487496	1.4716114863773586	1.5495808874880765	1.5981815828643091	1.4528501364164241	1.5933022676193231	1.4164087579826412	1.6271656521456745	1.2482764846483498	1.4261488502600304	1.529282021812681	1.4281318955213405	1.3996666406824056	1.451559704431505	1.4738758602741862	1.548681226341743	1.3253803167776246	1.5323502331536096
16:1	-0.922443646942373	-0.27113405121102296	0.12340455631025925	-0.9960247535273051	-0.7580879189143065	-0.5410407136096789	-0.5680856384165862	-0.6643264557152275	-0.040546787159334755	-0.9818441197630491	-0.887459581804341	-0.6615436254889298	-0.07952570254881264	-0.7747000578399896	-1.1238757856525754	-1.1027105506565638	-0.5582786220487778	-0.659905428090698	-0.95097854979267	-0.2811193462336769	-0.8100721957028612	-0.8932816561343253	-0.005596047619016764	-0.2856091147545212	-0.05885848792518978	0.11170872312992061	-0.16572991042695212	-0.16192936252021026	-0.020301582281023443	-0.9121322830846356	0.2936238377888906	0.11129506889128023	-0.23276357094595979	-0.13224336583440993	0.01385465034286736	-0.060546683560210146	-0.11930072304192783	-0.06346266343328281	-0.08530082229100916	-0.18441448577419042
17:0	-2.273706049281801	-1.623382217343356	-3.3654280780721413	-2.154204423274284	-1.979936668530663	-1.851978997933909	-2.149864684145045	-1.6381896401908371	-0.6315662163555734	-1.9202526442010244	-2.386945493501876	-1.8372380873658858	-2.1311069461385155	-1.892945326727257	-1.5090082639534514	-1.7591902065175038	-1.8081846663309387	-1.6620988392273528	-1.7691674312495727	-1.9578129558585433	-1.7175534686607765	-1.7297135171698945	-3.597105856613671	-3.701583526131087	-3.6843767168968276	-0.6779756104169276	-3.508547225062685	-3.603153036762823	-3.574427163794036	-3.490771493052708	-3.5549347343348727	-3.512470931242651	-3.43552425833916	-3.4894156235574436	-3.4690189332658865	-3.6861677649851177	-3.474752243168445	-3.4064771605840503	-3.6140890140659057	-0.6880639948317852
18:0	-0.2777576238867541	0.23640531378781915	0.9760262316809142	-0.026706953560932493	0.22309621848404773	0.007733200242714111	0.06840816942640256	0.1569210333171418	1.1599223001634842	-0.0183707093980491	-0.2045447605391877	0.014606410362116094	0.16768550425281922	-0.10278439472782637	-0.16616397890251952	0.06264754324006808	0.1277996423606964	0.1259262535977301	-0.09457238392639634	0.1659177285607884	0.06446445178219899	0.04402625708083631	0.7100905645357416	1.0426546776563634	1.1051475897240546	1.090311371273249	0.9607592203684829	1.1046640209141618	0.970136933702007	1.1773440704075981	0.7185063999779409	0.8853474579469317	1.0245161716224485	0.9208046813076388	0.9273199237834759	0.868333509061237	1.109024449466483	1.0559358127285001	0.867023826775612	1.13052156114259
18:1	0.03829994210434593	0.8919237973723261	1.0907860772858475	0.38831922691124665	0.6839526300919986	0.42400276924022084	0.656535774027857	0.4250739555140833	1.0013795176179958	0.3273933467256235	0.18677494827152677	0.39600149088779374	1.0758687641131761	0.21418480203760262	-0.12204460451978508	0.1316593005138265	0.6694239437288592	0.45104030300063097	0.13645194251887247	0.7111076470102755	0.23068450986976802	0.15412906271289908	1.1705174595595096	1.2491463327337324	1.1426434292267469	1.1296452863469535	0.9375548083062939	1.0471544863691138	0.9939036556597557	0.9982302042586698	1.4464398016824005	1.1963237601831571	1.0050542564972103	1.1560950677928166	1.120908338720661	1.152788312662876	1.003453392843437	1.011094168106676	1.1809772420897073	0.8932077625166625
18:2	-0.2649031729738916	0.46268692089623986	0.8051856253052637	0.11721471777957884	0.3556772247392692	0.09472153713659874	0.25075963751672203	0.21008124174138548	0.6085423474834268	0.05838430418344989	-0.18548175448969145	0.21038345826363722	0.580090812487463	-0.13823732682847426	-0.07819476211946	0.00792962002423	0.38273650526803044	0.16870902045646052	-0.06979173376690784	0.40121401331053935	0.13211058855572713	0.028586216281354826	0.9017145214910386	0.8315273119742664	0.7651171098844329	0.5921920727253835	0.7781561878715841	0.8400943001622789	0.8091368847426585	0.5761132500770636	1.0899467868204196	0.8038559348027682	0.7681883822685469	0.9930291683608217	0.6856180262525335	0.7846541845548949	0.9615058427215913	0.8100054367684095	1.0903360686005847	0.8271805713498696
18:3	-1.0121599757307205	-0.5366350991771941	0.29534256545555604	-0.8638324957923594	-0.8407574928077527	-0.7948230367425636	-0.8964055198052072	-0.8019663811679466	0.3843900473117783	-0.9840741348394352	-1.2393068667983997	-0.7883388909539262	-0.6712120933933635	-1.0931994627487795	-1.111068255281414	-0.9658474572387888	-0.7339843555736799	-0.7603853810642126	-1.0175142703136504	-0.44149798008059415	-0.8624826716881265	-0.9785655011688041	0.03504762689696162	0.15617099592835507	0.35658145648737993	0.3491150791005433	0.24587756421457355	0.3472605026065583	0.2792710479821382	0.3981938512476294	-0.1787228840521999	0.18301074524754674	0.2738305174952363	0.28055217777199903	0.13950710031130778	0.1674696169734764	0.20340179484199203	0.2907521821756671	0.10870938280499973	0.14600141595307484
20:3	-1.0983046942344323	-0.9042088269190502	-0.025182316504209556	-1.2730446416711334	-1.0017054132928345	-1.0307030781148514	-1.0724967788608886	-0.9621032939814869	0.1257589632915686	-1.3559812137624618	-1.1293254449425845	-1.259651865421124	-0.8957187978856846	-1.1402191760677178	-1.2024457796895092	-1.497869581958996	-1.200447542111286	-1.3117526641559876	-1.367187444775795	-0.7801161700874437	-1.0314842489708054	-1.2072970332231445	-0.35680627461095854	0.07088487692219325	0.04656697653090839	0.10617925343035055	-0.37692856071355957	-0.038605325006874865	-0.10800444136024419	-0.16525582968955976	-0.15250138811556077	-0.45518528682443615	-0.05513209828213241	-0.19826886182555786	-0.4935871247566234	-1.1676538251072304	0.07791597294374793	-0.42015338353328513	-0.29331978572721895	0.059630943283645876
20:4	-0.4649486524101031	-0.4389032451945085	0.35481394021491575	-0.601941900308737	-0.3978733056189541	-0.46741488215083093	-0.5822502414142003	-0.37008405637194275	0.24566256968880076	-0.7140266225213119	-0.6795830641105577	-0.5192891759268802	-0.35780819854928375	-0.703108363163613	-0.6649720691671976	-0.6053013756426242	-0.6746457579607211	-0.4882121254227051	-0.45652352084731057	-0.32154800328928507	-0.30626233807308567	-0.30559678975920673	0.347031216544427	0.3545587359279652	0.4834425729803043	0.32139522267471127	0.33630257574395384	0.5591125775351987	0.14465541010744973	0.24959119644153602	0.618280680380013	0.24893062625598025	0.6122566664020368	0.6026731156983631	0.2688889901087524	0.1725498498751738	0.4300173827381498	0.3131855224339962	0.49002236563306295	0.5339299794914596
22:5	-2.224857481743984	-1.9711556165496633	-3.3654280780721413	-2.1164158623848843	-2.0768466815387194	-1.9302067979742112	-2.035921331838208	-1.9430800566680564	-3.6254431312967847	-2.1584918100055503	-2.1608802594843564	-2.067092491906755	-1.8065958546250112	-1.9590413923210939	-2.254974830965694	-2.1487781408247755	-2.183848280291824	-2.1795146888061883	-1.959702118197527	-2.0181088577457946	-1.7821527148354042	-1.8163506455971112	-0.9069097765851574	-0.6492744264837637	-0.790060654212389	-0.4689863327862104	-3.508547225062685	-3.603153036762823	-0.6616738601227131	-3.490771493052708	-0.612430628166792	-3.512470931242651	-3.43552425833916	-0.8154736249233557	-3.4690189332658865	-3.6861677649851177	-0.5722054638544538	-3.4064771605840503	-0.6377390350626321	-0.5227571257978828
22:6	-1.8438768961962817	-1.4684802573576128	-0.17453636114997165	-1.6313256779939465	-1.5724513419523949	-1.5078243328345138	-1.739087450767835	-1.458271973282103	-0.5151902139433815	-1.6869744328038863	-1.7796212621815566	-1.384590602029424	-1.5260414446708277	-1.5345625225113237	-1.9805970300731528	-1.4864701222149024	-1.51639532740187	-1.542692591219014	-1.5630227620272334	-1.547191915427417	-1.3023086017802685	-1.1963363383647212	-0.024234254413190853	-0.08700265913360107	0.0785268116022298	-0.12420607465690614	-0.2023367168949236	0.027783082301368646	-0.5569764342835	-0.27144898463337114	0.19146591015668837	-0.1577863772879222	0.08522121318032258	-0.03839717140198611	-0.38017437053888214	-0.05737027941840765	-0.2272699824913909	-0.3291092552998939	0.11418358382911159	-0.07933766401506548
