feature	BS-064D03	BS-082D03	BS-336D03	BS-346D03	BS-351D03	BS-364D03	BS-377D03	BS-671D03	JV-035D03	JV-048D03	JV-071D03	JV-138D03	JV-148D03	JV-157D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-352D03	KT-412D03	KT-417D03	KT-434D03	KT-445D03	KT-515D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-612D03	KT-663D03	KT-695D03	KT-705D03	KT-716D03	KT-718D03	KT-723D03	KT-771D03	KT-805D03	KT-880D03	KT-974D03
9-HODE	89.39795000000001	1486.845366666667	395.94661999999994	26.82225	9.94528	69.27490000000002	39.97768333333333	27.48321666666667	20.56165	81.48056666666666	131.6214	15.8028	96.28179999999999	25.058383333333335	20.078116666666666	8.454566666666667	27.84935	10.877283333333333	83.94695	11.099649999999999	14.116066666666665	14.673166666666667	28.6763	910.3790833333334	13.703983333333333	28.135816666666663	20.902916666666666	18.96215	74.22096666666667	33.116566666666664	25.457333333333334	11.9724	22.03601666666667	25.239183333333337	80.7979	47.366216666666666	21.6768	21.333183333333334	10.002916666666666	17.027649999999998	1132.426057142857	89.55850000000001
10-HODE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-HODE	89.96056666666667	1486.2688833333334	433.13182	38.2644	23.59652	60.00078333333333	39.3536	33.52473333333334	82.70081666666667	97.58698333333332	98.35931666666666	29.363966666666666	132.33066666666667	48.404666666666664	32.769	28.556649999999998	37.0708	20.156766666666666	76.88595000000001	25.650766666666662	23.555383333333335	20.876466666666666	87.15626666666667	1024.8181166666666	19.774133333333335	81.42313333333333	41.554583333333326	28.633433333333336	76.32396666666666	54.117349999999995	26.80456666666667	23.865866666666665	63.75931666666667	61.1298	126.50246666666666	79.20113333333333	32.1115	48.84068333333334	28.473716666666668	35.07283333333333	1065.6721714285713	108.00115
9,10-DiHOME	1.6728166666666666	2.6804666666666663	5.661079999999999	3.6566333333333336	4.35524	11.6495	0.7060833333333334	0.5987333333333333	4.40385	1.5619500000000002	12.824083333333334	8.883933333333335	3.0496666666666665	3.2395666666666667	5.367649999999999	6.6607166666666675	2.3097833333333337	1.53175	1.0575666666666665	1.43175	3.4213833333333334	2.4685833333333336	2.399866666666667	0.8684999999999999	2.57205	3.407866666666666	6.333366666666667	1.5288833333333331	4.494066666666667	2.5364500000000003	1.41975	2.1847666666666665	6.319433333333334	2.1396666666666664	23.21613333333333	2.6032333333333337	3.401683333333333	1.2470833333333333	2.802333333333333	3.6794166666666666	1.0063142857142857	13.86495
12,13-DiHOME	1.54475	2.0507166666666667	10.133199999999999	4.7912333333333335	2.5088	26.979416666666665	0.7734166666666666	0.61315	4.2063999999999995	1.269	26.29623333333333	5.870283333333333	2.2715166666666664	3.936716666666667	4.045266666666667	5.318416666666667	1.9058833333333332	1.4154833333333334	1.3146166666666665	2.1495333333333333	4.007316666666667	1.6897666666666666	2.5477833333333333	0.8117	2.150583333333333	4.22355	10.295583333333333	1.4229166666666666	10.380683333333334	2.5891499999999996	0.8999	1.6585666666666665	3.3294	1.9558	20.001466666666666	4.5895166666666665	8.15275	1.2491333333333332	3.039633333333333	2.6311166666666663	0.9467142857142856	19.789066666666667
9-oxo-ODE	1.6158333333333335	6.507833333333333	0.5572	1.9275333333333335	0.38492000000000004	2.1881166666666667	0.8630666666666666	0.18223333333333333	0.7651833333333333	0.97865	2.2659499999999997	0.38970000000000005	0.3031166666666667	0.34073333333333333	0.6181	0.25989999999999996	0.9634	0.45686666666666664	1.3319833333333333	0.1563	0.32615000000000005	0.18431666666666668	0.5453833333333333	2.4260499999999996	0.062233333333333335	0.41606666666666664	0.3840166666666667	0.2825	1.9509666666666665	0.70715	0.3922833333333333	0.20066666666666666	0	0.22543333333333332	2.1631666666666667	0.9685166666666666	0.7679500000000001	0	0	0.3168833333333333	7.951599999999999	6.35905
13-oxo-ODE	4.0964833333333335	17.996166666666667	1.6514800000000003	1.57395	0	1.062	5.671216666666666	0.62655	0.6871833333333334	1.5811333333333335	3.1005666666666665	0.4216333333333333	0	0.8025166666666668	0.9503666666666668	0.36150000000000004	1.5704500000000001	0	12.503366666666667	0.4699666666666667	0.5771666666666667	0.9835333333333334	0.6960833333333334	7.9349	0.4522333333333333	1.0833166666666665	0.8166166666666667	0.48510000000000003	2.0768666666666666	0.9623	1.4476166666666666	0.5905333333333334	0.03721666666666667	0	2.3722666666666665	0.5826166666666667	0.8511500000000001	0	0	0.7719333333333332	22.619914285714287	7.480949999999999
9,10,13-TriHOME	1.0427333333333333	2.6160500000000004	0.32876	0.7618666666666667	0	0.2920333333333333	0	0.1987	0.2524	0.47176666666666667	1.0739166666666666	0.40155	0	0.3222333333333333	0.7993	0.22025	0.18006666666666668	0.6535333333333333	0.48775	0.15228333333333335	0.16034999999999996	0	0.92975	0.5540166666666667	0.13978333333333334	0.1704	0.4027833333333334	0	1.3046166666666668	0.29106666666666664	0	0	0.46928333333333333	0.4175166666666667	0.9014333333333333	0.24480000000000002	0.4296833333333333	0	0	0.2658	2.1169142857142855	5.466883333333333
9,12,13-TriHOME	3.0566833333333334	7.1681833333333325	1.6434799999999998	2.8563833333333335	1.6569600000000002	3.4021666666666666	0.39906666666666674	0.9251333333333333	1.7776333333333336	2.061366666666667	10.776483333333335	1.6335499999999998	0.8247666666666666	1.3573333333333333	3.009333333333333	1.72835	1.0537166666666666	2.2356166666666666	1.2429	0.8759833333333333	0.7436166666666667	0.4470666666666666	2.8262666666666667	2.172633333333333	1.0753333333333333	1.2779666666666667	4.8225	0.5804333333333334	6.426783333333333	1.3859666666666663	0.5785666666666667	0.8023666666666666	1.9772500000000002	2.3084000000000002	5.474916666666667	1.1312	5.968183333333333	1.2401333333333333	0	1.6431333333333336	5.512028571428572	15.297733333333333
PGA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5,6-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8,9-EET	0.7392500000000001	2.72965	0	1.2656666666666667	1.22236	0.8255	1.6161333333333332	1.5406000000000002	0.4410166666666667	1.2577	1.5007666666666666	0.4183333333333333	0	0.6209	1.7423499999999998	1.2157333333333333	1.2998666666666667	0.4119166666666666	0.5802999999999999	17.711383333333334	0.5412333333333332	0	2.1067	1.9818166666666668	0.38605	3.3772499999999996	0	0	0	4.755283333333334	0.6042833333333334	0	1.0489	1.7969	1.5540833333333335	0	2.4614	4.46615	0.40365	1.0676999999999999	3.502	2.601133333333333
11,12-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14,15-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-HETE	308.17806666666667	2311.32895	1025.1311600000001	133.57703333333333	18.45636	20.819166666666668	250.75799999999998	193.97865000000002	5.566116666666668	180.8493333333333	325.74871666666667	109.06278333333333	357.05779999999993	218.02423333333337	45.765816666666666	30.7504	133.25809999999998	41.27504999999999	348.89668333333333	62.46169999999999	42.4859	85.61621666666666	45.0702	1416.2715666666666	256.5185166666667	61.475699999999996	74.94641666666666	76.97576666666667	143.77553333333333	23.07858333333333	252.44239999999996	55.23311666666667	112.97155	98.41533333333334	196.14561666666668	23.582583333333332	336.14206666666666	32.75585	24.089183333333335	83.29188333333333	877.3998857142858	156.13639999999998
