feature	BS-064D10	BS-082D10	BS-336D10	BS-346D10	BS-351D10	BS-364D10	BS-377D10	BS-671D10	JV-035D10	JV-048D10	JV-138D10	JV-148D10	JV-157D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-352D10	KT-412D10	KT-417D10	KT-434D10	KT-445D10	KT-515D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-612D10	KT-663D10	KT-695D10	KT-705D10	KT-716D10	KT-718D10	KT-723D10	KT-771D10	KT-805D10	KT-880D10	KT-974D10
9-HODE	8.699466666666668	78.80091666666667	34.03433333333333	11.234433333333333	129.56855	37.912033333333326	303.7769	13.947750000000001	23.70065	21.271933333333333	27.011733333333336	46.872640000000004	43.20695	104.03021666666667	26.572166666666664	14.865283333333332	11.718250000000001	42.71536666666666	11.305250000000001	114.56484999999999	16.91626666666667	59.2388	56.222833333333334	23.429283333333334	34.283683333333336	11.968566666666668	41.32358333333333	11.46085	15.932416666666665	33.68468333333333	45.29501666666667	36.87448333333334	33.660716666666666	1626.6825333333331	15.764766666666667	25.924166666666665	14.128983333333334	21.365116666666665	136.51528333333331	19.308466666666668	11.114266666666667
10-HODE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-HODE	14.793533333333334	273.04338333333334	41.724900000000005	33.251799999999996	141.8466333333333	54.84085	317.65976666666666	89.89863333333332	47.81776666666667	62.14693333333333	51.05656666666667	55.69188	49.74603333333334	105.10051666666668	55.72776666666667	27.323333333333334	28.731883333333332	53.48921666666667	25.849366666666665	154.70228333333336	60.84356666666667	114.18851666666666	56.221916666666665	32.00131666666667	51.92528333333333	14.852416666666668	63.83075	17.635716666666667	26.833666666666666	46.49836666666667	71.25463333333333	44.40644999999999	56.15510000000001	2022.7481666666667	32.00613333333333	45.62433333333333	47.74744999999999	43.866916666666675	156.76478333333336	65.26575	27.34183333333333
9,10-DiHOME	1.5850833333333334	40.076116666666664	0.6280166666666667	3.4681833333333336	1.5097500000000001	1.24535	2.4814166666666666	7.0061333333333335	3.21455	10.1729	2.6827166666666664	0.87312	1.0029166666666667	3.7167999999999997	5.107100000000001	1.97035	6.976783333333334	4.844366666666667	2.5257833333333335	4.641166666666667	1.5706166666666665	11.92575	4.438016666666667	2.067333333333333	5.476416666666666	1.4985333333333333	3.9306166666666664	1.1713833333333334	1.6273000000000002	4.400133333333333	3.1404333333333336	3.354916666666667	2.2855	21.210883333333335	1.7934166666666667	9.4742	2.7499333333333333	2.2273333333333336	1.5223666666666666	3.0218	2.0963
12,13-DiHOME	1.1072666666666668	28.753516666666663	0.3705166666666667	1.8176833333333335	1.0315166666666666	0.6879333333333334	1.3383499999999997	6.5280499999999995	3.7048	16.91415	1.9548500000000002	1.46744	0.85505	3.2000833333333336	5.901566666666667	2.4824333333333333	6.2987	8.368483333333334	2.5700166666666666	4.767166666666667	1.3734666666666666	5.954400000000001	2.7001000000000004	2.6967	4.6315333333333335	1.1548833333333333	3.220083333333333	0.9046833333333333	2.9089833333333335	6.140816666666667	3.44115	7.7181999999999995	1.7408499999999998	18.326800000000002	2.4598500000000003	12.7177	3.6336500000000003	2.7849166666666663	1.9894	2.84805	1.7807000000000002
9-oxo-ODE	0	3.4628666666666663	0.16271666666666668	0	1.2248666666666665	0.07363333333333334	1.0129	0.13568333333333332	0.31839999999999996	0.2750666666666667	0.5920000000000001	0	0.6744833333333333	0.797	0.47636666666666666	1.7366166666666667	0.10641666666666666	0.6464	0.10801666666666666	2.2762000000000002	0.34128333333333327	0.6660166666666666	1.4722833333333334	0.3411166666666666	1.915433333333333	0.12746666666666667	0.8443333333333333	0.24148333333333336	0.7357833333333333	0.3701666666666667	2.1054666666666666	0.57535	0.05673333333333333	5.491533333333333	0.5106333333333334	0.49783333333333335	0.13431666666666667	0.9699500000000001	0.9540333333333333	0.3134	0.3357833333333333
13-oxo-ODE	0	3.949883333333333	0.3682666666666667	0	1.84365	0.4547833333333333	3.8856666666666664	0.4370833333333334	1.0377833333333333	0.8000666666666666	1.0540166666666666	0	0.6727000000000001	2.9718333333333335	0.5824833333333334	2.0874	0	3.1710166666666666	0.45236666666666664	6.691516666666667	0.31345000000000006	1.8092	3.5642500000000004	3.7864	2.14275	0.5663	1.6422166666666669	0.5433333333333332	1.1992	0	2.5803833333333333	0	0	21.198116666666667	1.6281666666666665	0.7844666666666668	0	1.12435	2.1546333333333334	0.4040666666666667	0.3359
9,10,13-TriHOME	0	6.801833333333334	0.17493333333333333	0	0.6322	0.16308333333333333	0.3031833333333333	0.35540000000000005	0.44548333333333334	0.23545000000000002	0.36151666666666665	0.98508	0	0.24931666666666666	1.1591833333333335	0.36576666666666663	0	0.38038333333333335	0.2009	0.9707333333333333	0.12915000000000001	0.4893166666666667	0.7546499999999999	0	0.47764999999999996	0	0.2291	0.5150166666666667	0.95375	0	0.7834333333333333	0	0	1.25715	0	0.6752	0.14626666666666666	0.24095000000000003	0.46643333333333337	0.23531666666666667	0.62785
9,12,13-TriHOME	0.62775	33.6865	0.7495833333333333	1.0304666666666666	2.50635	1.0802333333333332	1.1159833333333333	5.634533333333334	1.8103333333333333	1.3015	1.7107999999999999	5.13908	1.0959833333333333	1.8549666666666667	6.047666666666667	1.4444166666666665	1.0341666666666667	4.268983333333334	1.0497666666666667	4.378733333333333	1.3323333333333334	2.9081833333333336	2.5902000000000003	0.40155	1.85585	0.7917166666666666	0.9037833333333333	2.08185	2.717033333333333	1.2320333333333333	3.07745	1.20535	0.5909833333333334	4.969733333333334	0.7274166666666666	3.334716666666666	1.8946833333333333	1.0036666666666667	2.0912166666666665	2.0029666666666666	2.830216666666667
PGA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5,6-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8,9-EET	0	1.1088166666666666	0	4.261916666666667	1.3097500000000002	0.5974	1.6108166666666668	0.42286666666666667	0.42185	0	1.7513833333333333	0	0	1.0787499999999999	1.6078999999999999	0.7622666666666666	1.25735	0	2.0075833333333337	0.3503166666666667	1.5314833333333335	5.209316666666667	1.9403000000000001	0.6677166666666667	0.4609666666666667	0	2.601383333333333	0	0.8218166666666668	0.999	1.9183166666666667	1.6433666666666666	0.6006833333333332	2.0297	0	5.128533333333333	2.9791000000000003	1.1262	3.0599	3.4348666666666667	2.2169499999999998
11,12-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14,15-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-HETE	82.64246666666666	221.44746666666666	225.3168166666667	546.1643	245.2363333333333	262.94265	1005.6605333333333	97.01275000000001	87.79490000000001	49.19046666666667	133.45201666666665	116.77408	81.12491666666666	323.6861	124.07951666666666	96.87546666666667	211.34151666666668	133.3695	26.097383333333333	438.77215	31.706149999999997	388.6847333333334	306.9713333333333	88.2557	142.68658333333332	55.981350000000006	156.93019999999999	99.32381666666667	111.68713333333334	74.94338333333333	161.93221666666668	59.616216666666666	248.91913333333332	1768.2849999999999	73.40238333333333	33.0935	93.74478333333333	46.03951666666667	277.6807	181.64563333333336	82.24230000000001
8-HETE	3.4882833333333334	11.781883333333333	8.940316666666666	10.077833333333333	36.27055	15.34805	74.04125	2.6546333333333334	5.924616666666666	2.84825	9.349566666666668	12.51644	8.641333333333334	22.491933333333336	6.7020333333333335	5.12275	4.263016666666667	6.156983333333333	5.068683333333333	9.0153	5.164133333333334	25.1311	15.088516666666665	5.478283333333334	4.4605	4.45985	10.226166666666666	3.6421333333333332	3.1001	5.440550000000001	11.161283333333332	5.969516666666667	7.25645	142.79788333333332	3.4651666666666667	3.4619666666666666	13.142166666666666	4.4564	48.254466666666666	17.989316666666664	8.580916666666667
12-HETE	180.71965	399.0746833333333	167.75941666666668	1286.6532166666666	192.96975000000003	554.7376500000001	250.2911666666667	214.0452	476.5346666666667	133.47001666666668	593.0157333333334	74.39412	60.34153333333333	278.60861666666665	581.3662666666667	208.29615	529.3593166666667	146.02453333333332	417.7775166666667	70.00784999999999	523.596	1829.6059666666667	199.0355666666667	299.4107	90.37426666666667	206.79088333333337	567.4593166666667	54.72953333333333	101.91023333333334	422.3551166666667	284.9972166666667	553.69624999999985	169.36228333333335	439.2599333333334	173.61765	197.87791666666666	1101.6004	316.3149	686.3209	2030.8532500000001	688.53325
