feature	BS-064D60	BS-082D60	BS-336D60	BS-346D60	BS-351D60	BS-364D60	BS-377D60	BS-671D60	JV-035D60	JV-071D60	JV-138D60	JV-148D60	JV-157D60	KT-193D60	KT-247D60	KT-312D60	KT-313D60	KT-347D60	KT-352D60	KT-412D60	KT-417D60	KT-434D60	KT-445D60	KT-515D60	KT-522D60	KT-525D60	KT-537D60	KT-538D60	KT-539D60	KT-612D60	KT-663D60	KT-695D60	KT-705D60	KT-716D60	KT-718D60	KT-723D60	KT-771D60	KT-805D60	KT-880D60	KT-974D60
9-HODE	30.905633333333334	70.1852	21.887383333333332	32.98721666666667	10.787983333333333	196.77831666666668	18.022550000000003	27.8492	16.784683333333334	30.486666666666665	116.79686666666666	34.56373333333333	84.51335	58.787416666666665	1140.9824166666667	19.137549999999997	21.019816666666664	30.847766666666665	56.327850000000005	10.846900000000002	71.60583333333334	11.570666666666666	304.7187666666667	120.48031666666665	62.700900000000004	13.128133333333333	38.19108333333334	21.57921666666667	9.58435	21.617383333333333	16.228383333333333	7.068216666666667	7.4184	123.50891666666666	23.692833333333336	22.9048	37.483183333333336	16.62971111111111	30.411150000000003	17.89741666666667
10-HODE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-HODE	49.263400000000004	67.18795	44.69621666666667	61.54973333333334	20.925833333333337	251.81126666666665	23.77148333333333	26.97145	25.642033333333337	26.397433333333332	155.10811666666666	100.18928333333334	113.56841666666666	142.61836666666665	1284.4288999999999	32.76553333333333	42.84503333333334	32.60241666666666	73.31426666666667	13.739849999999999	103.70816666666666	23.478149999999996	455.29175000000004	150.87026666666668	71.23711666666667	20.013483333333333	88.01729999999999	30.569533333333332	21.92281666666667	24.6515	39.38571666666667	15.592350000000001	19.417933333333334	131.14041666666665	24.401966666666667	40.887483333333336	60.515033333333335	23.537866666666666	63.38883333333334	29.08675
9,10-DiHOME	2.4250166666666666	4.173883333333333	7.821616666666666	1.585883333333333	5.902016666666667	7.625699999999999	1.684983333333333	1.5419666666666667	1.3413499999999998	0.9571666666666668	2.77415	5.239116666666666	3.1626833333333333	33.41121666666667	1.5088	3.195666666666667	5.95295	1.1879166666666667	1.3208666666666669	4.6212333333333335	16.837466666666668	0.699	4.357166666666667	6.0272000000000014	5.9641	1.9660166666666663	4.9473	9.93075	3.396733333333334	1.2020333333333333	5.442833333333332	2.8735166666666667	1.2010333333333334	1.2701833333333332	2.3033	2.2531666666666665	1.8768833333333332	2.8744444444444444	4.146716666666666	1.6691166666666666
12,13-DiHOME	1.8708833333333337	8.366	5.218866666666667	1.5254333333333332	5.405150000000001	5.250233333333333	1.4318333333333333	0.6384333333333333	1.0623666666666667	1.8378166666666664	2.643733333333333	7.219166666666666	3.2423	15.917216666666665	1.1884166666666665	2.3611166666666668	5.284816666666667	1.0496833333333333	1.1307666666666667	4.976749999999999	13.761333333333333	0.43641666666666673	3.9415333333333336	4.552066666666667	8.617983333333335	1.4951666666666668	1.6020666666666665	6.79155	8.0039	1.0974499999999998	2.8206333333333333	1.5168666666666666	0.93755	1.5195333333333332	4.215999999999999	2.0222666666666664	2.4192833333333335	3.086511111111111	4.887716666666666	2.8630500000000003
9-oxo-ODE	0.8791166666666667	1.8104	0.7698	0.12051666666666666	0	0.42699999999999994	0.45945	0.7456666666666667	0.5398666666666666	0.19841666666666666	0.6136166666666667	1.25685	1.30985	0.9265833333333333	12.03795	0.3784666666666666	0.24031666666666668	0	2.4951166666666666	0	1.3663833333333335	0	11.545350000000001	0.8382833333333333	4.962583333333333	0.31065	0.43701666666666666	0	0.09991666666666667	0.07768333333333334	0.3467166666666666	0.1736	0.13605	1.5863	0.7306666666666667	0.12871666666666667	1.1712166666666666	0.2821111111111111	0.7182	0.18566666666666667
13-oxo-ODE	1.0929333333333333	1.7445333333333333	0.6375333333333334	1.2110166666666666	0.6583000000000001	3.3117333333333336	0.6428833333333334	1.62235	1.9587333333333334	2.866616666666667	0	1.7806666666666664	1.5157999999999998	1.4234833333333334	24.517833333333332	1.2844833333333334	0.4746666666666666	0.46676666666666666	2.8499833333333338	0	6.625166666666667	0	9.7644	2.3188999999999997	6.2250499999999995	0.44375	0	0.28276666666666667	0	0	0	0.3359499999999999	0.2343333333333333	18.82295	1.0555666666666668	0	1.7734500000000002	0.8625777777777779	1.4139166666666665	0
9,10,13-TriHOME	0.6256333333333333	0.6713	0.32116666666666666	0.14573333333333333	0.3783	0.5704499999999999	0.19013333333333335	0.20734999999999998	0.5747833333333333	0	0.3418833333333333	0.5307499999999999	0.28236666666666665	0.60035	7.303616666666667	1.0972166666666667	0.22798333333333332	0.3723833333333334	0.6163000000000001	0.47098333333333336	0.9457	0	7.281516666666667	0.6811666666666666	5.294433333333333	0.38875	0.42113333333333336	0.8269833333333333	0.2581833333333333	0.33121666666666666	0.18515	0	0.2453	0	0	0.23825	0.34013333333333334	0	0.85655	0
9,12,13-TriHOME	2.3903499999999998	5.3909666666666665	1.4552166666666664	1.4338666666666666	1.9436333333333333	2.1070166666666665	0.7247666666666668	1.1038666666666666	2.41845	2.436066666666667	1.2144666666666668	1.79525	0.9693166666666666	3.37245	23.092783333333333	1.88345	1.3013499999999998	1.2886666666666668	2.104983333333333	2.72865	5.328166666666666	0	21.933083333333336	1.4975500000000002	21.788433333333334	1.9685833333333336	2.488	3.3721166666666664	5.63755	1.9231166666666666	1.5315333333333332	0.6604499999999999	1.0618833333333333	0.8676999999999999	0.7485333333333333	1.2711666666666666	1.3470166666666665	1.008511111111111	3.9326333333333334	1.6807333333333334
PGA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
