feature	BS-064D0	BS-082D0	BS-336D0	BS-346D0	BS-351D0	BS-364D0	BS-377D0	BS-671D0	JV-035D0	JV-048D0	JV-071D0	JV-138D0	JV-148D0	JV-157D0	KT-193D0	KT-247D0	KT-312D0	KT-313D0	KT-347D0	KT-352D0	KT-412D0	KT-417D0	KT-434D0	KT-445D0	KT-515D0	KT-522D0	KT-525D0	KT-537D0	KT-538D0	KT-539D0	KT-565D0	KT-612D0	KT-663D0	KT-695D0	KT-705D0	KT-716D0	KT-718D0	KT-723D0	KT-771D0	KT-805D0	KT-880D0	KT-926D0	KT-974D0
9-HODE	11.494316666666668	863.4843166666666	25.537166666666668	40.52361666666666	56.12582857142857	21.497566666666668	16.308899999999998	23.19613333333333	41.992650000000005	14.760483333333333	24.650683333333333	35.85765000000001	40.74213333333333	396.45018333333337	41.02381666666667	22.3375	29.096800000000002	229.18998333333332	33.1417	6.358766666666667	13.65385	24.628049999999998	13.210949999999999	12.216316666666668	6.357983333333333	27.35185	71.20295	22.16355	34.76355	17.972233333333335	49.83225	17.645566666666664	18.438033333333337	150.93463333333332	93.66969999999999	26.662	32.30595	6.511966666666667	6.1019000000000005	9.0578	116.49933333333334	42.22488333333333	25.914033333333332
10-HODE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-HODE	35.312466666666666	902.6189666666668	35.424883333333334	53.0887	95.64194285714285	47.25286666666667	28.07473333333333	28.063266666666667	62.12220000000001	25.840250000000005	43.035783333333335	46.80306666666667	82.46311666666666	474.80809999999997	54.16245	43.27008333333333	36.4882	294.43033333333335	91.9148	14.164916666666668	66.62275	50.38345	67.17921666666668	21.213700000000003	16.124983333333333	38.719683333333336	90.34315	33.6072	62.54585	42.30878333333333	56.45100000000001	25.797083333333333	23.101733333333335	180.46478333333334	122.07736666666666	35.13205000000001	35.767916666666665	12.12395	12.184166666666668	15.338919999999998	133.68653333333333	46.30076666666666	42.177933333333335
9,10-DiHOME	2.9720333333333335	2.96915	5.011733333333334	2.1828166666666666	3.3265428571428566	2.8201000000000005	2.9336	1.4846333333333335	8.484399999999999	6.801333333333333	3.3482333333333334	2.510166666666667	2.6934833333333335	11.742133333333333	0.5802999999999999	8.747833333333334	4.271314285714286	2.119333333333333	2.9177999999999997	1.3804333333333334	7.940333333333333	1.2938666666666667	11.8808	1.1377166666666667	5.43105	4.234533333333333	2.39845	5.2726999999999995	5.61755	2.7411999999999996	13.04775	1.8446999999999998	2.6868499999999997	2.8624500000000004	2.0450333333333335	2.8224	2.6439333333333335	2.2772833333333335	1.08175	1.7927600000000001	0.8505166666666668	3.187033333333333	2.187
12,13-DiHOME	3.406916666666667	2.2738	4.0279	2.5343166666666668	5.729914285714286	2.25685	1.2365	1.3482333333333332	12.440733333333334	4.608316666666666	3.137233333333333	2.1857333333333333	3.0021166666666663	14.842666666666666	0.45093333333333335	6.5037666666666665	3.461857142857143	1.6360166666666667	3.2670999999999997	1.0835666666666668	3.8973999999999998	1.7106	14.942933333333334	0.9451166666666667	3.27285	4.442233333333333	2.0501833333333335	9.6512	4.665283333333334	1.7896333333333334	18.143050000000002	2.30985	2.3765666666666667	2.092233333333333	1.9005	1.9881166666666665	2.074683333333333	2.27415	0.6839999999999999	1.0094400000000001	0.55555	2.226783333333333	2.16865
9-oxo-ODE	0.3544333333333333	4.337483333333333	0.6698	1.9820833333333332	0.14605714285714286	0.7183666666666667	0.16128333333333333	1.03155	0.26825	0	0.5680666666666666	0.56305	3.1274666666666673	22.376783333333336	0.23559999999999998	0.08478333333333335	0.139	0.9131166666666667	1.1581333333333332	0	0.8256833333333334	0.747	0	0.2607833333333333	0.11643333333333333	0.26565	0.11513333333333332	0.3094	0.8874666666666666	0.5054166666666667	0.5539000000000001	1.0232333333333334	0.38958333333333334	1.73855	0.6168166666666667	0.39220000000000005	0.25045	0.5494666666666668	0.1851	0	0.5224166666666666	0.16593333333333332	0.5345666666666666
13-oxo-ODE	0.9678833333333332	19.414949999999997	0.7329000000000001	2.0779833333333335	0.7006	0.9424666666666667	0.24168333333333333	1.7341333333333333	1.273383333333333	0	0.9858333333333333	2.31495	2.4743	28.768883333333335	0.4029833333333333	0.5259166666666667	0.3106285714285714	1.4092500000000001	1.1210333333333333	0	1.1314166666666667	0.5527166666666666	0.24531666666666666	0.6140333333333333	0.49513333333333337	1.3732666666666664	1.3485	0	0.9052	0.41000000000000003	2.5001166666666665	0.8486666666666666	0.5339166666666666	3.7905500000000005	1.6207833333333332	1.0717333333333334	0	0.20793333333333336	0	0	2.7236999999999996	0.6146	1.486
9,10,13-TriHOME	0.13368333333333335	0.6431833333333333	0.29006666666666664	0.46651666666666664	0.46880000000000005	0.30868333333333337	0	0.36621666666666663	0.5327333333333334	0	0.14793333333333333	0	0.7154666666666666	28.939383333333335	0.25198333333333334	0.5993833333333334	0.27471428571428574	1.3355833333333333	0.47240000000000004	0	0.22411666666666666	0.2534666666666666	2.2131333333333334	0.16738333333333333	0.15878333333333333	0.23565	0.24998333333333334	1.6238000000000001	0.4808	0.22305000000000003	1.0968333333333333	0.9385	0.20005	1.1958333333333333	0.26530000000000004	0.3320166666666667	0	0	0	0	0.6520333333333334	0.9808833333333333	0
9,12,13-TriHOME	0.8237333333333333	2.488983333333333	1.1603333333333334	1.61905	2.595228571428571	1.2342666666666666	0.7040000000000001	1.4163500000000002	3.54135	0.7349833333333334	0.9592333333333334	0.4880166666666667	2.69365	82.39276666666666	0.8147000000000001	2.76705	1.7993142857142856	3.380133333333333	2.0393833333333333	0.67835	1.3432833333333332	0.8557333333333333	7.085849999999999	0.9640500000000001	1.0354166666666667	3.052133333333333	0.8615166666666667	7.591316666666667	1.8836666666666666	1.5518666666666665	12.229866666666664	2.7577333333333334	0.8212666666666666	3.9515999999999996	1.32295	1.2561166666666665	0.5982999999999999	0.8171999999999999	0.5950666666666666	1.25012	1.8245	4.094849999999999	0.5723833333333332
PGA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
