sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57
BS-064D0	1	-4.506713957408193	2.5019756955624874	-0.7038721712714043	1.1880845803433178	-0.41006678352937864	-0.9848422299925922	0.9345757523593946	-0.962809151299033	0.25256612603565526	-0.511507439867812	0.4593189536095046	-0.4922887332042667	0.5094896222867403	-0.15296653102982335	0.1674354748176699	-0.05646682076928364	-0.773303318422334	0.1383878179132749	-0.267378972021295	-0.6824958812954011	0.5962984948832889	-0.03576706653777881	-0.35488670084250923	0.33806545015411904	0.23771201741793402	1.395475264085836	-0.02250194471396507	-0.8456738005986554	-0.026245467447061386	0.1283942813971482	0.8938424315564547	1.5969604191370006	-0.33035405049502226	-0.3013388183660121	-1.0788623651003129	-0.432444632994333	1.0116768842325805	0.059709216558652266	0.2080466581913825	-0.4890455685909016	-0.5208442997885677	-0.10878703536703177	-0.11457993197344683	0.1541146486672183	0.1813564696130631	0.16382650282428848	0.03758208467480814	-0.3958576832946141	-0.13455642478317423	-0.03150369472402969	-0.017559616646488668	-0.11502278487488453	0.14160307007612835	0.004484069833317552	0.051464316370973436	0.13305312170048156	-1.6566609195578508e-16
BS-035D0	1	-6.785857169212831	4.584192362551353	-11.769948508479276	-6.43193820017908	0.8324804597280451	3.293131819769533	-1.668412710803823	4.396181726507462	-1.9079306280794688	0.5017722598966028	0.4923841280657597	-0.13142550401694916	-0.5780541711659494	-0.303982381194517	0.4817429269573269	0.34262901163468445	-0.056723469355870804	-1.5844979854898906	0.0727136296426166	-0.6772354118256005	0.408662318683207	-0.13941490289435945	1.4297904190867696	0.3052127004926568	-0.47928937676339256	0.5186262713414791	-0.3430701260505334	-0.28517358356393546	-0.06881231088435748	-0.9241918804097469	-0.06352628449394365	-0.3772116886920579	-0.21606707968405922	0.10181428728677372	0.00715650841771829	0.1445441576555045	0.039138760085036826	0.19711555587983445	0.5288368425759711	-0.16693424975173193	-0.1412979495958067	-0.2954353740752162	0.2632043930702224	0.04192309740766238	-0.1410064805661684	-0.10313200569475477	0.03074907488169818	-0.2608210948679986	0.11239595104735862	0.014358319081323767	-0.12787756625374394	0.021689759821947572	0.005211058740651599	3.7452375013586497e-4	-0.031051303424248645	-0.008385611639189364	-1.8388068845354155e-15
JV-048D0	1	-3.0397550753433156	-0.8311824853525338	2.6394013078674585	-0.04796501660592224	0.31403215672939977	0.9761558875472007	-1.2583277554327745	0.6354731825588718	-1.4767900097580289	-0.5946497754862927	-1.1334703334650447	0.7380963682285543	1.1769270208462421	0.05090003374131896	-0.5124472556277532	-1.0536951375108308	-0.8767259471535532	-1.7065103715779626	0.08551281124569235	2.1036593285075775	1.2792918637220208	-0.7629551536273116	0.41118164997957446	-0.540210971455119	-0.9091786390022462	-0.44030516532203423	0.6580897537682596	0.8376822603340588	0.0752287393712681	-0.6045753476549965	-0.3391539789552546	0.841361517444369	1.6174363372193157	-0.6869639634211988	0.8304149252452513	-0.39718717058886766	1.1544388366882279	0.22539879615422054	-0.5115239699005287	0.2553102521103063	0.334330524304067	0.018536613929431754	0.024105079428896323	0.6960652470548999	0.10060276094021262	-0.04671483312280042	-0.12838876365421178	-0.14140778797884312	-0.02231639698241011	-0.048533259051314	-0.06651079283345422	-0.034043692409727495	-0.04121281983628378	0.007866442710432898	-0.017891366571798243	0.0013719421807881237	4.163336342344337e-16
KT-515D0	1	-2.7728348453109253	-1.7555918900805068	2.3587972278073215	-1.5738706647355556	0.5603357394849415	0.3748390689133668	-1.7928171170908946	2.0022816562891776	-0.6098776522590258	0.4278356879987726	1.6460030160083716	-2.107118284656283	1.325636031246309	0.3272907879474037	0.3395948060348739	-0.6758650975953814	0.7271222406604123	1.3100622060275258	-0.875662854434098	0.17758888998911979	-1.992465190725772	-0.9913535542535974	-0.22049899105423298	0.5263445245541012	-0.42945738789966725	-0.20182735183916964	-1.3380459065823893	0.39189801099349786	-0.4951598348989779	0.41272601717438784	0.11159059450723881	1.0074122282506877	0.3009366905486306	-1.1327039767741376	0.6005714823213261	-0.2108094550287346	-0.17833802123018988	-0.37350623635833113	0.2516483766175007	0.30105505535200866	-0.006336737526112202	0.011324616091319501	-0.11734669386359049	-0.6488493146011383	0.4608706466057753	-0.06884207964706031	-0.09826843054366548	-0.10682345599109412	0.4936872732459724	0.23638590392191974	-0.17398956685638992	0.11145801534610729	0.002610282296211308	0.02673701218867713	0.023714602879725852	0.004504503717845099	1.3877787807814457e-15
KT-926D0	1	-2.603582397150654	-1.2975350679483526	2.989547247740204	0.3805435249673635	8.316910281105719e-4	1.6774051406428614	-0.1396395071499535	1.4543282214207243	-0.8216375628053487	-0.6632905826747371	-0.5176006298579786	0.6515389503253683	2.9094214326612873	-0.3907477384601362	-0.12338506934494393	-0.31102894990633656	0.3986718627323607	-0.2895392841651457	0.9655045799437472	0.649229466752146	-1.2291324401406367	-0.8660238586002333	0.1240856273452814	0.07874350847330229	-0.11987740303717606	0.5351527760484885	-0.5889867868362055	-0.1428624771342576	0.6378836810711673	1.0290787277145879	-0.48943462459036546	-0.8471063412896779	-0.2941540386023279	-0.7535972621771645	-0.43805023396411097	-0.18913115050305454	0.03335907071882738	0.24452851637021494	0.22024617499165824	0.14379231610141402	-0.012056961912242436	-0.7446465969618459	-0.23847644295415718	-0.1229797803827923	-0.3553448414530766	0.8022007950064544	0.5268376586036773	0.005239947290580151	-0.3238072229783479	-0.2985448413713106	-0.0823095082851098	0.08043710230708595	-0.015613612149941909	0.02739711038089186	-0.042214064450013376	-0.008135554796074685	-1.502270530195915e-15
JV-148D0	2	4.805947763949425	-3.2659086871885554	-0.07981019508065876	4.029744609138908	12.109568229089865	-0.8336205951249797	2.1140545854927573	2.6156484500758275	0.8197377849095585	-1.8863365328504194	-1.2740693720424956	-1.1760475103106969	0.8299916180937745	-1.9128218268753996	1.8821456207144072	1.1952389367712069	-1.0913930818959692	-1.142215442982363	-1.2952228336896172	-0.526550019329714	-0.6279490050604847	0.6133761630367902	-0.4042144909699616	0.1716380282944866	-0.1268063034922074	-0.20308914762826752	-0.29646117261302324	-0.4974383701661773	0.21296042431198078	-0.13262112066974652	-0.3448250617186435	-0.10174300487466476	0.09407994823801087	0.5578329451121004	0.2451089981824767	-0.06654481306651291	0.13952174940956605	-0.005636161933515483	-0.16200878159953933	0.03823014204487045	0.06263639725138755	0.0651693692234482	0.017766676824583744	-0.014145421466839614	0.04798915512006644	0.015952224719754913	-0.03540718129223025	0.004161135019526831	0.003058548261974778	-0.003405680528361491	0.010766748948052482	-0.0021964584016801666	9.0942214872576e-5	-0.0071289278738306	0.00177370007397162	0.002145351346091966	-1.887379141862766e-15
JV-157D0	1	-6.134246394883191	0.1626824827185911	-0.477859249284725	-0.9396097580815828	-0.012994381536855476	-2.5390156888265034	-2.410985241133738	0.35660289834031145	-1.423092609154698	1.573948118046257	1.4793559898785167	-0.6453518918457776	-0.4796375492486099	-0.4660140140890974	1.0778733123037316	0.29792474961378795	0.25705290763045396	-1.03203665741636	0.28524637987275214	-0.7015119278783953	0.31221287541584763	0.3496794413012807	0.7782233921821574	0.3160601369925115	-0.6398510268700834	0.9988829073514918	0.19228565071924103	0.9754406322824914	0.24952579897553834	-0.9140678301166003	-0.12153780895600139	0.6748635729033947	-0.05123972241828567	0.20356528857385187	-0.13411373060914897	0.04584482112058007	-0.5970802963499009	-0.7359341964123348	-0.7138356203266097	0.27518493153963747	0.4541275349533081	0.6793640573127768	-0.5151232635551336	-0.17526936476676236	0.1854638375509169	0.5928044712585148	-0.002450017147180345	0.48740781920116116	-0.1219810716315605	-0.2978259153533942	0.21323749687610247	0.06926358732399697	0.13278181906658376	-0.008093067995089829	0.027891177872422998	0.007244029625015795	1.0408340855860843e-16
KT-193D0	1	-4.577713369630013	0.8798406554543091	1.0142725742712435	1.226568476269876	-0.2763525477979008	-1.1545974420975857	-0.18743321636472166	0.4691745428815904	-0.15672704311710217	0.9319685973962466	0.6330905950423575	-0.42821707009840004	-1.2912985823636651	-0.654163547832019	1.1049650954047034	-0.18152267566105706	-0.34206503588187775	-0.9234717358158577	-0.0506389416352907	0.43734686056230193	1.4260296550878204	0.014288258727281795	-0.819192194950614	0.1489069861490672	0.14025003800651437	0.4513393651297124	0.21068104306531046	0.04864232551634473	0.5293999652408272	0.5404910684351809	-0.019232627027909045	0.675261793316534	-1.327165491604535	-0.4954367000566853	-0.02352885236892939	-0.1640353113149221	-0.5867261609955888	-0.6685885108042972	-0.2879935726859277	0.8227059625423	-0.012315176475938465	-0.3688006215869905	-0.12533838125856572	0.236617874460655	-0.2915110500089456	0.12529634274307103	-0.24808576188924497	-0.435179250385777	-0.21374908504403367	0.49771215060515694	0.14551102960225082	-0.015668378333698232	-0.17654696623553337	0.021716916273523196	-0.07857622890870267	-0.04514787475306529	-4.1772141301521515e-15
KT-247D0	1	-4.069094119097553	3.74414544133935	-2.303756832428205	0.5547422725657538	-0.26370499804345515	-0.8923495649520938	1.1320978348533681	-1.6845396411795666	0.9968358023592924	-0.9445532522434146	0.4382101142329108	-0.6080893583406429	-0.7808166720876496	1.0243819218321295	0.982202309503669	0.19624725827532732	2.4036168936758333	-0.05231013559764706	-0.5705743983208688	0.4867028661264573	-0.6733203751986152	1.1245783662763877	-0.8168538903471355	-0.8514684905477861	0.13699952126500486	-0.2750565747526907	-0.29541195572298556	0.45618890236974047	0.7109988358437858	-0.41368838436901906	0.6095337497721257	0.15617786568747413	-0.37534710333828014	-0.40974372447844154	-0.31837718874702226	0.05269396834170629	0.9665749308076403	0.4381378534531732	-0.3503012705545401	-0.11343367203933678	0.5512289100966958	0.3491422578901049	0.31053630253656794	-0.3242832358733499	0.18276960261668976	-0.1331925117900116	0.09826684821039934	-0.007053396248874095	-0.35499459480338336	0.007880562672986419	-0.27665933097486295	0.21080793900262204	0.08787130015962966	-0.14953594264895564	-0.12940237939155877	-0.033699520595388506	-2.9524993561125257e-15
KT-310D0	1	-4.075702403765082	0.08350289730921245	1.649932979496328	1.656906772382562	-0.08917387637068888	-0.3567068602397336	0.18532962964466695	0.48862465021067614	-0.0448147891743101	1.1846704420955245	-0.05751921941629654	-0.07465031164205292	-1.861955065449061	-0.2092697440275504	-0.18981718774229783	-0.009471003412514101	-0.6192800469964713	-1.811912592617189	1.0053085282112846	0.7839036902154308	0.25042253658996816	-0.3568705495741465	0.11745343989248208	-0.3355291283501445	-0.33350693621158517	0.7120140223041165	0.9044184758017741	-0.13816488340565264	-0.6499544475309577	1.5962747771221344	-0.5109724440604131	-0.8049870511398605	0.8421090738549853	0.5161754697236186	-0.9270059669332468	0.0752218014826147	0.004164189043982356	-0.1829870476668755	-0.5171604500549845	-0.25700862145195025	-0.059122331583425496	0.2858562827290257	0.4195229196481993	-0.2787750339899611	-0.17336516038154337	0.09208305607242963	0.10364772849285968	-0.07461722469081548	0.21584850147723997	0.3472509768550283	-0.2316879369933099	0.32234729832953696	0.19084013627066257	-9.729232176094867e-4	0.057383938212864125	0.0016489008832300802	-2.3245294578089215e-15
