"","lipid storage","lipid-mediated signalling","membrane component"
"membrane component",0.247560975609756,0.966724738675958,1
"lipid-mediated signalling",0.273693379790941,1,0.966724738675958
"lipid storage",1,0.273693379790941,0.247560975609756
