"","endoplasmic reticulum (ER)","lipid droplet","endosome/lysosome","golgi apparatus","plasma membrane"
"plasma membrane",0.624216027874565,0.302613240418118,0.994425087108014,0.999477351916377,1
"lipid droplet",0.251219512195122,1,0.317595818815331,0.294425087108014,0.302613240418118
"golgi apparatus",0.62595818815331,0.294425087108014,0.993554006968641,1,0.999477351916377
"endosome/lysosome",0.629790940766551,0.317595818815331,1,0.993554006968641,0.994425087108014
"endoplasmic reticulum (ER)",1,0.251219512195122,0.629790940766551,0.62595818815331,0.624216027874565
