sig_pval	feature	mean_ctrl	mean_mild	mean_severe	sd_ctrl	sd_mild	sd_severe	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_padj
no	CAR 16:0	0.002148356976956896	0.0014634584099581325	0.002143474546296851	0.002360817194546875	0.001943248607908687	0.002182288206096919	One-way ANOVA	0.24435172191167182	0.7844659832104361	0.1054258839754541	0.7970174389418031	0.09853217602755367	no
no	CAR 18:1	0.003423405867713795	0.004854274404582878	0.006059292498124686	0.002618255454319195	0.005103804102853725	0.0032743605483863546	One-way ANOVA	0.8413345653218436	0.4392157281115894	0.3573221163954607	0.4609950204146434	0.3363037657559539	no
no	CAR 18:2	0.001203633350933894	0.0012159794028315859	0.0010722766581950424	0.0015324592988399447	0.0019902500821551883	0.0015071239061700754	One-way ANOVA	0.048888350776763734	0.9523488541833656	0.02120393639019659	0.9523488541833656	0.02120393639019659	no
yes	CE 16:1	0.009721278914980223	0.0030496745326728386	0.004099125672349592	0.0068979594845754	0.006495078010735209	0.0066762526603723026	One-way ANOVA	3.629993175693687	0.03635158028910694	1.4394767045870351	0.045261281340358644	1.3442731553929959	yes
no	CE 18:1	0.004987024621584097	0.0022892128873615337	0.0024563679195542267	0.005484922127782233	0.007060476472329028	0.00508766241139058	One-way ANOVA	1.38075676057548	0.2640390171109386	0.5783318925849358	0.2866064544708478	0.5427140333751407	no
no	CE 18:2	0.0946089431058742	0.028643622538709047	0.03192574113565109	0.06807823850044484	0.034504678824383114	0.04343440468103619	One-way ANOVA	2.7276209372572406	0.07852401277222718	1.1049975149774587	0.09320139833712945	1.0305775717067114	no
yes	Cer 34:1;O2	0.004465144579982286	0.006709504882988122	0.0025295005204999613	0.0071285506504590165	0.008878363225186396	0.004807244476119343	One-way ANOVA	3.5997166260174938	0.037284037272438494	1.4284770665378075	0.04597157993786105	1.337510570287023	yes
no	Cer 40:1;O2	0.008253074858049849	0.012714848082789464	0.014252854409233151	0.0030420938320621	0.009475088938541815	0.005701784836585251	One-way ANOVA	1.9270314737533543	0.15991150161294684	0.7961202985589809	0.1813282205789665	0.7415346002732057	no
yes	Cer 41:1;O2	0.00764624891109203	0.006568450962264901	0.009608177320602792	0.0026747091199419166	0.007164271913670719	0.004887967748117301	One-way ANOVA	4.306328911128412	0.020828230856402143	1.6813476173269613	0.028140269348543318	1.550671749970703	yes
yes	Cer 42:1;O2	0.03219459262754959	0.02360760917585171	0.0138133196824405	0.009431434280758145	0.01967653571663649	0.022807399779179692	One-way ANOVA	10.10901533589183	3.143208068711088e-4	3.5026268693476235	6.237303511348565e-4	3.2050031223755537	yes
yes	Cer 42:2;O2	0.016896484209902776	0.0322969555100823	0.030501461867859254	0.005163258106176852	0.01599754469391162	0.01269978087083402	One-way ANOVA	8.2830837190904	0.001064771129163353	2.9727437330921993	0.0019045906113203637	2.720198360855318	yes
yes	DG 32:0	0.038116215208681366	0.014900361387221159	0.017733043341915406	0.01731286241313971	0.01236274754983761	0.01162503453364853	One-way ANOVA	7.114157665028077	0.002431059141221076	2.6142044757952725	0.0038593063866884576	2.4134907418312594	yes
yes	DG 32:1	0.028992765047131316	0.006405677767474312	0.0048606727642567515	0.01094377114236983	0.009501951063261804	0.007727762600655455	One-way ANOVA	16.22748048850969	8.714076532079807e-6	5.059778630157209	2.169975920733599e-5	4.663545085299188	yes
yes	DG 34:1	0.14890887469023895	0.09646696368280298	0.08742482585790702	0.0531721924008878	0.03734325645762027	0.038778196699056376	One-way ANOVA	7.448215114826184	0.0019128830418335071	2.7183115829466353	0.003114565978369941	2.506602464681159	yes
yes	DG 34:2	0.06927615039948591	0.019257201392709932	0.01819778944541693	0.023351032058111947	0.01381265130480986	0.011092210050650853	One-way ANOVA	9.958136881026897	3.4662301238392e-4	3.4601426077513935	6.570316801904155e-4	3.182413689496263	yes
yes	DG 34:3	0.006505443133608067	0.0010336208286063208	1.0634686981033243e-4	0.005714590904453646	0.002887437233048195	1.82682974881379e-5	One-way ANOVA	10.072178062922541	0.00032190300985182894	3.4922749625628193	6.251543416228246e-4	3.20401274835176	yes
yes	DG 36:1	0.014171675350449093	0.008100006188693054	0.006164510638051625	0.005239086259629524	0.007212141597614651	0.004620977439171979	One-way ANOVA	5.790094339737585	0.006489881196456083	2.187763253306843	0.009473734620114053	2.0234787849695044	yes
no	DG 36:2	0.09308017025667739	0.12119522830242307	0.08635960612929855	0.03502918176622169	0.04760177094218258	0.030235704841899497	One-way ANOVA	1.5176676668364324	0.23255607624742813	0.6334723087164125	0.25460880761571875	0.594126576987374	no
no	DG 36:3	0.05334796961304017	0.04758933517946429	0.04139267885581642	0.022234669964564524	0.02517270825329792	0.014942340203937195	One-way ANOVA	1.0267218738664163	0.36815794429679916	0.4339658236619841	0.39290805819910496	0.405709064098558	no
yes	DG 36:4	0.008166892815965542	0.0016777206107273831	0.006541985956515853	0.006155705256124713	0.005018150652061002	0.00862225234851813	One-way ANOVA	5.6521460370585395	0.007211009112446986	2.14200395562713	0.010289866935738957	1.987590241316086	yes
no	FA 14:0	0.06168220701806291	0.09302898543491805	0.07078426495153507	0.04141210219692548	0.03987625403978209	0.0265963250567912	One-way ANOVA	1.8096302665737658	0.17790561563663337	0.7498103430824014	0.1999470193438269	0.6990850656098642	no
no	FA 16:0	1.6560498888626516	2.163585749808845	1.9908322405447496	0.9988928731784863	0.6087158591564913	0.7160178119776249	One-way ANOVA	2.5610295024030427	0.09084571352865319	1.0416955596577717	0.1068278297975829	0.9713155941887647	no
yes	FA 16:1	0.2024496562383857	0.34139737772747686	0.32399309936863907	0.19040182295802624	0.12585412703592844	0.18268970368181617	One-way ANOVA	6.580287184236437	0.0035894311778140943	2.444974369223794	0.005559240970516951	2.254984500651554	yes
yes	FA 18:0	0.5389549966694814	0.9542658565342104	0.6574439302981894	0.27273723011370776	0.34126446132793525	0.18376377460156015	One-way ANOVA	7.524923216295808	0.0018112234142618044	2.742027976192478	0.002987342514431807	2.524714980409003	yes
yes	FA 18:1	2.9012059356580164	4.643454284204511	4.713039965437997	2.6841554312070475	2.4927494878360603	2.3923795443006206	One-way ANOVA	5.149271086869669	0.010642616770182108	1.9729515760704848	0.014852882745199204	1.8281892474356216	yes
yes	FA 18:2	1.1290426133935083	1.5763192473940122	1.653547881991367	0.8246016381215853	0.6338002252223391	0.6235502603543542	One-way ANOVA	3.912871105836182	0.02873911199019577	1.5415266552594136	0.03686734568439255	1.4333581289010067	yes
