PC O-	PC	Cholesterol	SM	FA	DG	PE	TG	Cer	Hex2Cer	LPC	CE	PI
0.3433155080213904	-0.025210084033613443	0.06310160427807486	-0.0013750954927425514	-0.015126050420168067	-0.28403361344537814	-0.16669213139801375	1	0.387929717341482	0.3723453017570664	0.14346829640947287	0.15538579067990832	0.22658517952635598
0.5373567608861727	0.7735676088617265	0.9291061879297173	1	-0.36470588235294116	-0.360733384262796	-0.6391138273491214	-0.0013750954927425514	0.08357524828113062	0.06340718105423988	0.08877005347593582	-0.20519480519480518	-0.12177234530175707
0.14346829640947287	-0.14224598930481283	-0.14713521772345303	-0.12177234530175707	-0.011764705882352941	0.08082505729564553	-0.06371275783040489	0.22658517952635598	0.6641711229946523	0.4359052711993888	0.4835752482811306	0.7295645530939647	1
-0.5165775401069519	-0.706951871657754	-0.6556149732620321	-0.6391138273491214	0.044766997708174175	0.19602750190985482	1	-0.16669213139801375	-0.22811306340718104	-0.30847975553857904	-0.279144385026738	-0.011153552330022918	-0.06371275783040489
1	0.5355233002291826	0.548968678380443	0.5373567608861727	-0.32375859434682963	-0.34270435446906033	-0.5165775401069519	0.3433155080213904	0.4484339190221543	0.4643239113827349	0.22658517952635598	0.06035141329258976	0.14346829640947287
0.5355233002291826	1	0.761344537815126	0.7735676088617265	-0.41512605042016804	-0.17922077922077922	-0.706951871657754	-0.025210084033613443	0.05515660809778457	0.13032849503437738	0.04782276546982429	-0.09518716577540107	-0.14224598930481283
0.22658517952635598	0.04782276546982429	-0.003819709702062643	0.08877005347593582	-0.07593582887700534	-0.15874713521772343	-0.279144385026738	0.14346829640947287	0.32314744079449964	0.15966386554621848	1	0.28189457601222306	0.4835752482811306
0.4643239113827349	0.13032849503437738	0.13491214667685256	0.06340718105423988	-0.22566844919786094	-0.1712757830404889	-0.30847975553857904	0.3723453017570664	0.8478227654698243	1	0.15966386554621848	0.4200152788388082	0.4359052711993888
-0.32375859434682963	-0.41512605042016804	-0.3521772345301757	-0.36470588235294116	1	-0.025210084033613443	0.044766997708174175	-0.015126050420168067	-0.14530175706646292	-0.22566844919786094	-0.07593582887700534	-0.12085561497326203	-0.011764705882352941
-0.34270435446906033	-0.17922077922077922	-0.281283422459893	-0.360733384262796	-0.025210084033613443	1	0.19602750190985482	-0.28403361344537814	-0.28220015278838806	-0.1712757830404889	-0.15874713521772343	0.3491214667685256	0.08082505729564553
0.548968678380443	0.761344537815126	1	0.9291061879297173	-0.3521772345301757	-0.281283422459893	-0.6556149732620321	0.06310160427807486	0.08449197860962566	0.13491214667685256	-0.003819709702062643	-0.17494270435446904	-0.14713521772345303
0.4484339190221543	0.05515660809778457	0.08449197860962566	0.08357524828113062	-0.14530175706646292	-0.28220015278838806	-0.22811306340718104	0.387929717341482	1	0.8478227654698243	0.32314744079449964	0.3851795263559969	0.6641711229946523
0.06035141329258976	-0.09518716577540107	-0.17494270435446904	-0.20519480519480518	-0.12085561497326203	0.3491214667685256	-0.011153552330022918	0.15538579067990832	0.3851795263559969	0.4200152788388082	0.28189457601222306	1	0.7295645530939647
