sig_pval	feature	mean_ctrl	mean_mild	mean_severe	sd_ctrl	sd_mild	sd_severe	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_padj
no	CE 18:1	0.23801379086052515	0.007799648788957069	2.637541091158761e-9	0.921823437373462	0.03658357425197686	2.8639903492655135e-9	One-way ANOVA	0.8336227744137781	0.4399858737503908	0.35656126681094674	0.5488483579772916	0.26054763076074156	no
yes	CE 18:2	0.23801379086052515	0.3529066287562928	0.11579244473327083	0.921823437373462	0.5796681117726508	0.3832686792762927	One-way ANOVA	3.622748283198451	0.033390981942000665	1.4763708092857923	0.20398811175381004	0.6903951421337307	no
no	CE 20:3	0.23801379086052515	4.350301360157295e-9	2.637541091158761e-9	0.921823437373462	1.3815169022652693e-8	2.8639903492655135e-9	One-way ANOVA	2.497112201160842	0.09178572186248841	1.037224872160563	0.2928031557793856	0.5334242468411473	no
yes	Cer 34:1;O2	0.0087010431461100185	0.09874920782663359	0.042807552957212586	0.033206574445298835	0.10596655350308298	0.07829659153917351	One-way ANOVA	3.764135153401843	0.029485903858019545	1.5303855548614569	0.20398811175381004	0.6903951421337307	no
no	Cer 40:1;O2	1.1943886081157582e-4	1.049219181029956e-9	4.605216486294398e-10	4.6258243356219126e-4	3.645513354372922e-9	4.677448789898547e-10	One-way ANOVA	3.038735081747904	0.056158736957521924	1.250582668302521	0.2772404233657212	0.5571434466260686	no
no	Cer 42:1;O2	1.1943886081157582e-4	0.0027580375470170897	4.605216486294398e-10	4.6258243356219126e-4	0.009143104496079852	4.677448789898547e-10	One-way ANOVA	0.7980743217314099	0.4554329159106384	0.3415755844328659	0.5511584729277554	0.25872351181474784	no
no	Cer 42:2;O2	0.015711177645541977	0.053182073547135396	0.021232572139843135	0.04138623034927551	0.06807580533025129	0.04391666114735368	One-way ANOVA	1.6034585832693413	0.21063028254323427	0.6764791896748739	0.36457053116244315	0.4382184390018682	no
no	Cer 42:3;O2	1.1943886081157582e-4	0.0019168360402300859	4.605216486294398e-10	4.6258243356219126e-4	0.0062175579326913975	4.677448789898547e-10	One-way ANOVA	0.7979161946623413	0.45550287018822766	0.3415088821311979	0.5511584729277554	0.25872351181474784	no
no	Cholesterol	0.7688556005034864	1.0964702875447598	0.6781875862482597	0.5803996344709481	0.42404791889065047	0.48943171205309494	One-way ANOVA	2.340644967467492	0.10595974692266262	0.9748590876551234	0.3019701060800515	0.5200360484570138	no
no	DG 32:0	0.07368619081935235	0.004612831985349244	0.002450443124815503	0.285385387836353	0.012731970062757418	0.010958713026033464	One-way ANOVA	0.31772663863257705	0.729152974113056	0.1371813484396805	0.7659326845953714	0.11580939746062419	no
no	DG 32:1	0.07368619081935235	7.507591112226567e-4	3.8033524207740987e-10	0.285385387836353	0.003521367860115878	4.1164885131082424e-10	One-way ANOVA	1.093613661566352	0.3423073907562514	0.4655837239120621	0.5179233299697469	0.285734525651502	no
no	DG 34:1	0.07368619081935235	0.012961233859533773	3.8033524207740987e-10	0.285385387836353	0.02727173151167921	4.1164885131082424e-10	One-way ANOVA	2.8960083789647024	0.06386531449488929	1.1947349448668767	0.2772404233657212	0.5571434466260686	no
no	DG 34:2	0.07368619081935235	0.001187337764580426	3.8033524207740987e-10	0.285385387836353	0.005569103256227101	4.1164885131082424e-10	One-way ANOVA	1.067564461034597	0.3509893641117293	0.45470604358423533	0.5179233299697469	0.285734525651502	no
no	DG 36:1	1.4314276654749325	1.959768014740204	0.8912065802010086	1.7873715009061983	6.9013675865645325	1.4106443944597027	One-way ANOVA	0.8469418939628394	0.43433907265841903	0.36217110023329513	0.5474482061632157	0.26165696295641344	no
