"feature","KT-539_D0_D60","BS-671_D0_D60","BS-064_D0_D60","KT-805_D0_D60","KT-926_D0_D60","KT-705_D0_D60","BS-336_D0_D60","BS-082_D0_D60","BS-351_D0_D60","KT-347_D0_D60","BS-377_D0_D60","KT-313_D0_D60","BS-364_D0_D60","KT-880_D0_D60","JV-138_D0_D60","KT-412_D0_D60","KT-515_D0_D60","KT-771_D0_D60","KT-723_D0_D60","KT-718_D0_D60","KT-417_D0_D60","KT-522_D0_D60","KT-312_D0_D60","JV-157_D0_D60","KT-538_D0_D60","KT-193_D0_D60","JV-035_D0_D60","KT-434_D0_D60","KT-247_D0_D60","KT-716_D0_D60","KT-974_D0_D60","KT-537_D0_D60","KT-612_D0_D60","KT-445_D0_D60","KT-525_D0_D60","KT-352_D0_D60","JV-148_D0_D60","BS-346_D0_D60","KT-663_D0_D60","KT-695_D0_D60"
"TG 48:3","-0.03983","-0.20412","-0.0932","-0.09701","0","-0.36087","0.00099","-0.06595","-0.01586","0","-0.387","-0.00162","-0.00975","0.05756","-0.6021","-0.07158","0.04786","-0.40079","-0.18665","-0.18184","0.05918","-0.02332","0","0","0","-0.24778","-0.14674","0.00479","-0.15836","0","0.04856","0","0","-0.21788","-0.09074","-0.14014","0.0086","0","0","0"
"TG 49:1","0.14486","-0.14613","-0.19107","-0.27599","-0.25147","0.22619","-0.16336","0.15426","0.08221","-0.06114","-0.00125","-0.10199","0.19708","0.2724","-0.026","0.23805","0.04786","0.13273","-0.27429","-0.03754","0.32895","-0.02332","-0.06795","0.20683","0.09691","-0.08556","0.13141","0.00479","-0.09849","-0.1038","0.04856","0","-0.02085","-0.18046","0.13971","0.00598","-0.13753","-0.2014","-0.22877","0"
"TG 49:2","0.20814","-0.63347","0.20096","0.17056","0.38535","-0.54074","-0.49594","-0.44106","0.48967","-0.36922","-0.79796","-0.22548","0.14362","-0.45538","-0.44097","-0.92001","-0.27847","-0.53946","-0.5295","-0.04727","0.55691","0.0168","-0.08804","0.43664","-0.0997","0.21522","0.44585","-0.70954","0.07783","-0.26697","-0.12498","-0.15836","-0.22352","-0.49421","0.34383","-0.12481","-0.00583","-0.49415","-0.06648","-0.37475"
"TG 50:0","-0.03983","-0.54283","0.0413","0.16075","0.37067","-0.62584","-0.35119","-0.20528","0.07639","-0.51322","-0.74172","-0.19351","0.02411","-0.72492","-0.55227","-0.5919","-0.07233","-0.67011","-0.4733","-0.17527","0.39774","-0.1965","-0.14259","0.21375","-0.11944","-0.16152","0.21545","-0.499","-0.07174","-0.2392","-0.00226","0","-0.19939","-0.55152","0.2672","-0.12115","0.01138","-0.34439","-0.22789","0"
"TG 50:1","-0.03983","-0.23805","-0.0932","-0.09701","0","-0.24111","0.00099","-0.10331","-0.01586","0","-0.34959","-0.00162","-0.00975","0.05756","-0.64729","-0.11798","0.04786","-0.6595","-0.19467","0","0.05615","-0.02332","-0.18184","-0.15534","0","-0.29786","-0.14983","0.00479","-0.18184","-0.17319","0.04856","0","0","-0.22185","-0.09074","-0.14014","-0.0813","0","0","0"
"TG 50:2","-0.03983","0","-0.0932","-0.09701","0","-0.13955","0.00099","0.01688","0.11768","0","-0.33081","-0.00162","-0.00975","0.05756","-0.0189","-0.13117","0.04786","-0.21131","0.02017","0","-0.09919","-0.02332","0","0","0","0.00749","0.2642","0.00479","0","0","0.04856","0","0","-0.03779","-0.09074","-0.14014","0.0086","0","0","0"
"TG 50:3","-0.03983","0","-0.0932","-0.09701","0","0.08317","0.00099","0.15676","-0.01586","0","-0.07313","-0.00162","-0.00975","0.05756","-0.0189","-0.0338","0.04786","0.04637","0.02017","0","-0.09919","-0.02332","0","0","0","0.00749","-0.00061","0.00479","0","0","0.04856","0","0","0.12057","-0.09074","-0.14014","0.0086","0","0","0"
"TG 50:4","-0.02699","0","-0.0932","-0.09701","0","0.08317","0.00099","0.15676","-0.01586","0","-0.07313","-0.00162","-0.00975","0.05756","0.57989","0.23805","0.04786","0.04637","-0.0329","0","-0.09919","-0.02332","0","0","0","0.00749","-0.00061","0.00479","0","0","0.04856","0","0","0.12057","-0.12416","-0.14014","0.0086","0","0.05308","0"
"TG 51:1","0.15399","-0.63132","0.25672","0.33682","0.13938","-0.29769","-0.47311","-0.20965","0.38957","-0.18549","-0.45292","-0.27379","0.19697","-0.12658","-0.11862","-0.86565","-0.18481","-0.18481","-0.5032","0.54148","0.69214","0.58535","0.1195","0.54335","-0.24408","0.45389","0.51043","-0.34781","0.27402","-0.37012","0.03208","-0.41335","-0.1935","-0.40141","0.64302","0.09408","0.18244","-0.64585","-0.25609","-0.61606"
"TG 51:2","0.36916","-0.57546","0.41686","0.39298","0.29476","-0.14803","-0.52235","-0.16032","0.35375","-0.22087","-0.4338","-0.48366","0.06739","-0.0327","-0.16119","-1.04021","-0.30928","-0.32021","-0.51289","0.59739","0.47484","0.13812","-0.19415","0.52819","-0.07235","0.35308","0.51446","0.01144","0.17077","-0.27415","0.14585","-0.27156","-0.34859","-0.53095","0.60909","0.06144","0.14172","-0.48417","-0.55175","-0.55031"
