feature	log2FC_severe_vs_mild	p_ttest	p_wilcoxon	padj_ttest	padj_wilcoxon
9,10-DiHOME	0.46842478141616045	0.20915653778664814	0.34079860916058297	0.9202647155997162	0.9904099178337482
12,13-DiHOME	0.717086497912033	0.06452840620445606	0.14279450201372867	0.9202647155997162	0.9904099178337482
9-oxo-ODE	-0.7281439784062996	0.19051760791499672	0.1734768303829377	0.9202647155997162	0.9904099178337482
9,10,13-TriHOME	0.6359950263512592	0.2593957226409397	0.4566207862574449	0.9202647155997162	0.9904099178337482
9,12,13-TriHOME	0.5256255448433566	0.18130501948195446	0.3922221655377528	0.9202647155997162	0.9904099178337482
17-HDHA	-0.29598932236384257	0.2906099101893841	0.37895354332682757	0.9202647155997162	0.9904099178337482
9-HODE	-0.10658104436568827	0.7680039164783561	0.9520766943405906	0.9772460180476241	0.9904099178337482
13-HODE	-0.007564502807176121	0.9772460180476241	0.9138517384964021	0.9772460180476241	0.9904099178337482
13-oxo-ODE	-0.22505029520490408	0.7235618586863171	0.6970850709864678	0.9772460180476241	0.9904099178337482
5-HETE	-0.15717159433082215	0.6913380331063502	0.9520766943405906	0.9772460180476241	0.9904099178337482
8-HETE	-0.03838192015830352	0.8713975122620791	0.8006782069686861	0.9772460180476241	0.9904099178337482
12-HETE	-0.027079701708262665	0.8953179175783006	0.8193232342665658	0.9772460180476241	0.9904099178337482
15-HETE	-0.1302058294274399	0.5581360664345367	0.3051467027524476	0.9772460180476241	0.9904099178337482
5-oxo-ETE	-0.2971410216961248	0.47046307904068707	0.58820326787476	0.9772460180476241	0.9904099178337482
LxA4	0.2072602242603947	0.7369404042731085	0.6176848888168168	0.9772460180476241	0.9904099178337482
TXB2	-0.19897334514759293	0.7008666398332029	0.8006782069686861	0.9772460180476241	0.9904099178337482
9-HOTrE	0.0816738625274377	0.8695628198425129	0.9712351692769265	0.9772460180476241	0.9904099178337482
13-HOTrE	0.07923053831871353	0.837364885818053	0.9904099178337482	0.9772460180476241	0.9904099178337482
14-HDHA	-0.011513674818917546	0.9527800784093515	0.8006782069686861	0.9772460180476241	0.9904099178337482
