FA	SM	LPC	PC	PI	DG	TG	LPC O-	CE	CAR	Cer	PC O-
0.6406015037593985	-0.32631578947368417	-0.7669172932330827	0.6857142857142857	0.736842105263158	0.8240601503759398	1	-0.7834586466165414	-0.5428571428571428	-0.40150375939849625	0.2796992481203007	0.05714285714285714
-0.2857142857142857	1	0.16691729323308271	0.06466165413533835	-0.5744360902255639	-0.23909774436090225	-0.32631578947368417	0.2661654135338346	0.5007518796992482	0.6556390977443609	0.19548872180451127	0.34135338345864663
0.4360902255639098	-0.5744360902255639	-0.524812030075188	0.38496240601503756	1	0.6421052631578947	0.736842105263158	-0.5939849624060151	-0.5398496240601504	-0.4180451127819549	-0.004511278195488721	-0.13984962406015036
-0.13834586466165413	0.34135338345864663	-0.2902255639097744	0.6060150375939849	-0.13984962406015036	0.17293233082706766	0.05714285714285714	-0.05413533834586466	-0.11578947368421051	0.21654135338345865	0.29774436090225564	1
0.22255639097744362	0.06466165413533835	-0.6947368421052631	1	0.38496240601503756	0.7473684210526316	0.6857142857142857	-0.5639097744360902	-0.4120300751879699	-0.09774436090225563	0.3894736842105263	0.6060150375939849
-0.7609022556390977	0.2661654135338346	0.849624060150376	-0.5639097744360902	-0.5939849624060151	-0.7849624060150375	-0.7834586466165414	1	0.5849624060150376	0.47518796992481205	-0.43759398496240604	-0.05413533834586466
-0.8195488721804511	0.16691729323308271	1	-0.6947368421052631	-0.524812030075188	-0.6616541353383459	-0.7669172932330827	0.849624060150376	0.5112781954887218	0.32030075187969925	-0.4345864661654136	-0.2902255639097744
1	-0.2857142857142857	-0.8195488721804511	0.22255639097744362	0.4360902255639098	0.4120300751879699	0.6406015037593985	-0.7609022556390977	-0.37894736842105264	-0.3774436090225564	0.33082706766917297	-0.13834586466165413
0.4120300751879699	-0.23909774436090225	-0.6616541353383459	0.7473684210526316	0.6421052631578947	1	0.8240601503759398	-0.7849624060150375	-0.46315789473684205	-0.4105263157894737	0.2150375939849624	0.17293233082706766
0.33082706766917297	0.19548872180451127	-0.4345864661654136	0.3894736842105263	-0.004511278195488721	0.2150375939849624	0.2796992481203007	-0.43759398496240604	-0.24962406015037594	-0.039097744360902256	1	0.29774436090225564
-0.37894736842105264	0.5007518796992482	0.5112781954887218	-0.4120300751879699	-0.5398496240601504	-0.46315789473684205	-0.5428571428571428	0.5849624060150376	1	0.5924812030075188	-0.24962406015037594	-0.11578947368421051
-0.3774436090225564	0.6556390977443609	0.32030075187969925	-0.09774436090225563	-0.4180451127819549	-0.4105263157894737	-0.40150375939849625	0.47518796992481205	0.5924812030075188	1	-0.039097744360902256	0.21654135338345865
