sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44
BS-082D0	1	-5.53250018236227	3.426157822348372	-0.844447087771554	0.7881159629995976	-0.7951648279354921	0.8528757247897137	-0.2508204450623042	0.9434441983075219	-1.8896792692428885	1.3014212452811005	-1.9897805135806812	0.6362632312878669	-0.5537397780034665	1.6377424940900402	-0.17668774515818936	-0.6408939512689543	-1.2702911232688807	1.9620686755580867	-1.0486507858669238	-0.670018300472207	-0.7848186591237709	-0.19888694883818558	0.7979894423839364	0.2960787538198139	0.7739415306305201	-0.19158976523985283	-0.9598039245869749	-0.7629520140749344	-0.9073390967249755	1.1925038486069215	0.2558898476358715	0.005573943813095575	1.062205697133701	-1.181935103497712	-0.5471110466904197	-0.4097224867393006	-0.20414143090534753	-0.22864139308379297	0.8100839317234657	0.281364528698009	0.16631237807753674	0.24924713189328604	-0.5931941149167913	-1.6861512186494565e-15
BS-336D0	1	-4.026453395828632	-2.8494121463571704	2.1643591798627235	2.5318259482857006	-0.011692214777724315	-0.1944916336204704	-3.80803172776527	2.168424953133757	2.0186650540338866	-0.3695932724795998	-0.8642342272059846	-0.9220492653692056	-0.7614506792355503	0.9952583156035204	-0.03317014024973709	-0.21164013843965385	1.6992257270950162	-0.44791420539292226	-1.5523255278139325	0.38433510234996837	-0.2696933151752572	-0.7478984403599176	-0.021151426084960713	-0.3077545197866159	-0.004238487468466976	0.8232653592891575	-0.5039293857280985	-0.6823248443131618	-0.011122886624551765	-0.14574384618379926	0.22199084470610841	2.050542982318263	0.03344725834778725	-0.7854689861024294	0.4163922887511521	1.0692913954521384	-0.16112471360082803	0.029105222718318644	-0.5452068230923414	-0.054080269590463276	0.5929948489292276	0.26448236835099914	0.38665861569309673	-2.0452389781766556e-15
BS-346D0	1	-5.856687670123329	-4.738639077023507	2.3018360807092635	2.494360524271895	0.011025668739143776	-2.5020393376362775	-0.49418834720451976	1.8025309294492196	1.5564898052009026	-0.34285709051364904	0.7976665855033593	1.5805636120704583	-0.05788768890426374	-0.39683824828492054	0.9117285253612704	-2.147629833367347	0.8496577025738389	-1.6406499686420597	1.9629800427804778	0.038290642391311386	-1.7598597221873447	0.07557354950377176	1.053001007543578	0.51846850643459	-0.45694651837333067	-1.4936632029752737	0.6862981389309819	-0.39086116074232435	-0.7141784031462682	-1.2590187839145113	-0.43725931183964634	-0.17999944966812648	0.3167861510039224	-0.4241319126135781	-0.4839670555308713	0.10492946099531118	0.5403454942125598	0.14735328406069206	0.341976081875345	-0.5355064482217158	0.004444861266736027	-0.16195305781828573	-0.41898087247899596	-2.6419838539126772e-15
BS-351D0	1	-6.0701805617246345	6.752842609840563	-3.1717262564483293	0.9439714626914533	0.5883817041365134	4.79664238356545	2.5301223160307917	-0.05970540499796127	3.74026762491213	0.1935344278282191	0.2173672269341742	0.5479854382628456	-0.7918756198165284	0.02983397177937873	-0.4612378752573987	1.446433629704664	-0.2559726122103351	-0.7286078213722823	-0.12410006253767238	0.4046234951917462	0.29376699575074644	-0.5296418031159562	1.438252688190711	0.8491513958881353	0.9041466691183898	0.8963940255240701	-0.08193576811081206	-1.2075684784588103	0.03905524903498618	-0.8858948966893256	-0.48317591099416773	-0.2565962076012862	-1.0121161473866123	-0.10536811482368194	0.06663551759999838	-0.11383326544525807	0.741011253552784	0.535428817516801	0.662614448141603	0.4722596040620537	-0.10383964922421936	-0.04215552419215059	0.3425365789608837	-1.887379141862766e-15
BS-364D0	1	-2.2269321896399727	-2.089352895000486	-0.8256264506251134	3.7421888458535366	3.5003197755252096	2.8876448018668754	4.230126107133594	0.6680084874227246	1.4128797855117878	1.4767864112158222	-0.05383932769395211	-0.9182349302891248	0.3988277558055464	2.426446911499228	-0.1255639986468765	-0.9643574633955572	-1.5842803807973522	0.5650295810632788	0.6672518184049369	1.4182898284537593	0.0624545528585026	-1.4632630004417668	-1.1328219194674596	0.16591511304561643	-0.3574135998833693	-0.17970814504989194	1.7844168274711167	1.0563881271874933	0.4777192433970314	0.7871352224196692	0.14673699627768005	0.39026228905525234	-0.03710634376478847	-0.4623424106589097	-0.8228870637397057	-0.2827154285317769	-0.01066260251807126	-0.16547671220833382	-0.42375456696494773	-0.32219258456286387	-0.17252895977700958	-0.05299514481533596	0.3298654296463426	-1.6930901125533637e-15
BS-377D0	1	-2.204244214530395	4.160147425244532	-3.365644744482541	-1.3178485865299336	-1.5606473214767784	0.21638521717279616	-3.2154621562822383	0.919507606433519	3.555530175938688	0.7022703530771514	-0.24186568957238497	-0.17474137055563504	-0.5262646035201026	-0.3101488255563655	0.19714892928410016	-1.5102576494018598	0.47187461476829345	-0.3277287621663356	-0.3117124400615198	-0.5585797778799573	1.4808727055442474	0.45346723627916363	0.3314302295904512	-0.3106733782338505	-1.4726968844852781	0.12925419070415814	-1.3761704771985324	0.84941544027121485	0.012564799242224214	0.8757479765196833	-0.8003908075395513	-0.21560706507924168	-0.3781948230620781	-0.30386954840511976	-0.4626576281809359	0.21641681719471248	-0.31566932033049006	-0.4398256337515993	0.029954205340776606	-0.5374456111220056	-1.229769635070148	-0.2560285506291239	0.06676547588335827	-1.4779844015322396e-15
JV-138D0	1	-2.7921276199458354	3.1739191612936533	-3.154527622216262	-5.25477197523784	-0.47388807536975985	-2.143127231952857	4.0510687685195785	3.2885056742069043	1.086759565767605	-2.4003720478621635	0.24578842928880507	-2.9721064497897567	-2.008984611355272	-0.21949424387039806	0.08830999995300577	0.11707003821268479	-0.8150198522116303	-0.5755134741776365	0.9484997888689743	-0.6901253598543783	0.9296703625185151	-0.03465010308163852	-0.32489185786997077	0.12746979558492544	0.08219442290989311	-0.5895367240077192	-0.45549253198519357	0.6098517327593157	-0.13857811356713187	-0.3875341205473957	1.1445700868323994	0.21504384595532083	0.26536423559652406	0.49270520263688994	-0.8438312036080444	0.814491945965215	-0.5694080771612263	0.2701239298567021	0.28046863253097304	0.18498497178728251	0.5853723503029391	-0.13974862435256952	-0.07931933429829624	-1.9654416982817224e-15
KT-313D0	2	0.3644807213988373	-2.703986149784688	-0.19872525617350217	5.586872368702604	-1.7187908714212388	-2.148146269695564	-0.35435261958507425	2.622546076333531	-0.8711201446600212	-0.6491354363387721	-1.63284328092115	-0.1425927146338336	-0.7945690356943526	0.6962956954179966	-2.3714011511671145	0.8793529849856708	-2.856756227765045	-1.2120590772862978	0.8589751894920057	-1.930244890124967	-0.6330355449321363	0.0526119191907758	-0.37127444127747067	-1.1915480913530625	-0.7895485246153554	1.742172314660428	0.1545722325577795	0.3376947994136906	0.028950484485338598	-0.5243000601117763	-0.06179082949641616	-0.5436897254695885	-0.5444233791365136	0.18136914466059073	0.660903362395139	-0.04383224098711923	-0.22464630163426197	0.006812955672030609	0.14410654989285537	-0.11726633323681329	-0.18735008301979014	0.297134282909102	-0.2478667724364683	-1.6104739070099683e-15
KT-412D0	1	-4.421311093815521	-9.948025223820592	-1.9142184221185854	-0.7168686224181137	-1.6379564365230759	-3.4822711452247943	-0.8388819986291767	0.5488213760170909	0.062031769637246104	-0.741730743955326	0.9729410565435207	0.02430691321233136	-1.7589600254649347	-0.1382839486391731	-0.22193521029739077	3.070258474179237	0.31405800480085366	3.1155251449111176	0.7358219030401487	1.4276971953192854	0.763943249325128	0.6335329650726285	-0.38755330986220543	0.8754382054992201	-1.3065207390372362	-0.05572791252806149	0.23073360829870943	-0.7012671988020925	-0.9554373497692974	0.35599926882494526	-0.29235658553498894	0.2378763637725385	-0.6260860747859409	-0.0010064035825264397	-0.23150664893925288	-0.45203451952261164	0.24055331580997089	0.2737999439240183	0.042663145085729534	-0.09090112210420287	-0.16142455162141958	0.0524835570508794	0.06201520533803765	-9.992007221626409e-16
KT-445D0	1	-3.2757413033882883	-5.562855960916637	-1.6983526660646857	1.7559940415781548	-5.95908599872195	1.2408928479370207	1.898068983815399	-7.275405660506566	0.4839081928183481	-5.157339451506126	-0.07141824026065283	-0.9948583206474493	-0.27566153071907307	0.5154501182405871	-0.2826889421861025	-1.5404384843253998	0.05235342699724903	0.033201023805231183	-0.17430721979239802	-0.7467077536586927	0.5500585245313063	-0.4997634928644637	-0.43811776530997393	-0.7774501733439834	0.32545535742845444	0.021185370258222567	-0.20421520862554254	-0.2985342114893128	-0.04840225916825138	-0.03263107580640996	0.052394395570813324	0.0071231906529732845	0.4365694435026656	-0.1767968996246365	-0.03484690975545565	-0.033370981559552024	0.20371745517293682	0.11237673048010711	0.10580057205047483	-0.21576434431664582	-0.015638333179284897	-0.01708699206205562	0.12058007623820237	-9.159339953157541e-16
