feature	n_obs	n_patients	p_time	p_severity	p_interaction	singular_fit	error	fdr_time	fdr_severity	fdr_interaction	max_abs_group_log2fc
FA 18:0	169	43	4.86897971154181e-33	0.24071114534768612	0.02615274456824766	FALSE	NA	3.674636237726727e-31	0.511511183863833	0.10373922012071572	1.660393904357498
SM 42:3;O2	169	43	6.1758592230701293e-33	0.22812719139091117	0.0705793187638277	FALSE	NA	3.674636237726727e-31	0.511511183863833	0.16885260364651597	1.2359555259850636
SM 42:2;O2	169	43	1.9167243713559871e-32	0.0519793357748151	0.027945760760221008	FALSE	NA	7.603006673045415e-31	0.29454956939061894	0.10727566227310645	1.1528083032522913
FA 18:1	169	43	6.864384071950707e-30	0.9001472339351112	0.09091289704651705	FALSE	NA	2.042154261405335e-28	0.9231730441680142	0.19670244997337324	2.361698745397114
FA 16:0	169	43	1.1685883612019873e-29	0.5968947388119809	0.08798549965934835	FALSE	NA	2.7812402996607297e-28	0.7669060978677277	0.19389397147152693	1.723682873289538
FA 18:2	169	43	6.256352456804769e-28	0.6345636573859567	0.13957686151683238	FALSE	NA	1.2408432372662791e-26	0.7948744760939878	0.2666643495328606	2.2132580964520634
SM 34:1;O2	169	43	8.422846007408243e-28	0.12708068032197894	0.01506916231541967	FALSE	NA	1.2528983436019761e-26	0.42007224884209704	0.06701372865291264	1.046414597193551
SM 34:2;O2	169	43	7.681946313493729e-28	0.23768164586393775	0.0643371717926146	FALSE	NA	1.2528983436019761e-26	0.511511183863833	0.16289624347491782	0.9725389591959875
SM 36:1;O2	169	43	7.504447073739283e-27	0.06921014836011204	0.03575238441795516	FALSE	NA	9.922546686388607e-26	0.31789875262135636	0.1247015265501061	1.1858974385124605
SM 40:2;O2	169	43	1.1912639429177449e-26	0.021219958850252768	0.015767936153626504	FALSE	NA	1.4176040920721166e-25	0.22956137301637086	0.06701372865291264	1.189682448204293
SM 41:2;O2	169	43	6.196224993664149e-25	0.03838742930960468	0.015432623027429896	FALSE	NA	6.703188856782125e-24	0.29075885844326527	0.06701372865291264	1.2990206669533773
SM 36:2;O2	169	43	1.1304444907327875e-24	0.11032024704490304	0.025109975682438633	FALSE	NA	1.1210241199766808e-23	0.4067309409532458	0.1030374864210413	1.1250985707475638
PC 34:0;P/34:1;O	169	43	2.341763240531603e-21	0.9076575308206526	0.1338947479002547	FALSE	NA	2.143614043255852e-20	0.9231730441680142	0.26555791666883855	0.8224813818841199
SM 38:1;O2	169	43	1.2302621897747556e-19	0.028631656938375664	0.009463982414967136	FALSE	NA	1.0457228613085422e-18	0.2620897827435926	0.049825372200380136	1.080952552825819
SM 40:1;O2	169	43	1.608354550032857e-18	0.005222608011021304	0.007587512231955912	FALSE	NA	1.2759612763594e-17	0.12889037177755447	0.04752178713698703	1.1297991814838981
SM 42:1;O2	169	43	6.099952231232725e-18	0.007588298190651935	0.041965457886056275	FALSE	NA	4.536839471979339e-17	0.12889037177755447	0.12804844842155633	1.335084809883802
PC 32:0	169	43	1.50034347820028e-17	0.48096097206134314	0.08188927041230872	FALSE	NA	1.0502404347401962e-16	0.7078457082176967	0.18386458828424035	0.8919780724338611
LPC 18:2	169	43	2.798574847564241e-17	0.07212828840988758	0.9286142501804276	FALSE	NA	1.8501689270008038e-16	0.31789875262135636	0.95573848176649	0.918082840193027
FA 16:1	169	43	1.368128000474123e-16	0.4468306597844756	0.44711700804709714	TRUE	NA	8.568801687180034e-16	0.6988962304863869	0.5600728837642585	4.2629612274003446
LPC 14:0	169	43	4.760062475761217e-16	0.1836480461454007	0.3700100755479294	FALSE	NA	2.69736873626469e-15	0.5082352904954113	0.4947325729236359	9.214552947541359
SM 41:1;O2	169	43	4.581333665262196e-16	0.008664898943028873	0.00963011395469532	FALSE	NA	2.69736873626469e-15	0.12889037177755447	0.049825372200380136	1.3581194066475921
PI 38:3	169	43	1.4694671974089269e-15	0.514363176316537	0.34525079674952625	FALSE	NA	7.948481658711923e-15	0.7078457082176967	0.4722395955539497	5.85885427465508
CAR 18:1	169	43	1.5370556410253152e-15	0.24730887485989617	0.0481324979711148	FALSE	NA	7.952592229652717e-15	0.5163115106724148	0.13970164045274783	5.111746507476588
