feature	severity	contrast	estimate	se	p_value	fdr_posthoc
FA 16:1	mild	D60 - D0	-1.2832791998000435	0.18719812366644148	7.088057918380741e-10	7.6551025518512e-9
SM 41:2;O2	mild	D60 - D0	-0.22763643735618297	0.033544924465200354	1.0517319237735023e-9	1.1155870762883222e-8
SM 36:1;O2	severe	D60 - D0	-0.2511243956074047	0.037499564265554876	1.589949727431872e-9	1.656894979113214e-8
PI 38:3	mild	D10 - D0	1.7636908768953163	0.26580776138557227	2.273795374208021e-9	2.32868009013718e-8
LPC 14:0	severe	D10 - D0	2.6409829510792275	0.4049057824300424	3.9166220267006224e-9	3.943175396373169e-8
LPC 18:0	severe	D10 - D0	0.18418381800529077	0.028689467827151136	6.576075461950381e-9	6.510314707330878e-8
CAR 18:2	mild	D10 - D0	-1.209657684362313	0.189129361666669	7.588176864636864e-9	7.389142717367701e-8
FA 18:1	mild	D10 - D0	-0.46135312269604567	0.07237567519245965	8.4465501259956e-9	8.092339959421591e-8
SM 42:2;O2	severe	D60 - D0	-0.1941106755073707	0.030954472453236355	1.365537372066683e-8	1.287506665091444e-7
PC 34:0;P/34:1;O	mild	D60 - D0	-0.20154965424135057	0.03256977670937577	2.1258240057164812e-8	1.9730304053056091e-7
LPC 18:2	severe	D60 - D0	0.28363748852901477	0.04593173304002426	2.2045985925700506e-8	2.0146639445947846e-7
SM 40:3;O2	mild	D10 - D0	-1.6768011381560894	0.2741152972909621	3.0136820039494694e-8	2.7123138035545225e-7
PC 36:3;P/36:3;O	mild	D10 - D0	-0.19978882716462354	0.03275946803815597	3.2962561569149784e-8	2.9223524734440253e-7
Cer 42:2;O2	mild	D60 - D0	-0.9746746147456916	0.16056663916279024	3.6908789358136573e-8	3.2240913056960473e-7
TG 54:2	mild	D3 - D0	0.5016466428862788	0.08272631989125713	3.80589471049575e-8	3.276378924687645e-7
LPC 18:2	mild	D60 - D0	0.25697987049749377	0.04352139955880109	8.426268915950885e-8	7.150291051535466e-7
CAR 16:0	mild	D10 - D0	-1.1641606175725283	0.19839927592996062	1.0060299893144276e-7	8.416645262715071e-7
PC 32:2	severe	D10 - D0	1.517871451270489	0.2601381631328254	1.1571329316950596e-7	9.546346686484242e-7
PC 34:0;P/34:1;O	severe	D60 - D0	-0.1994231415478049	0.034389460296548525	1.368776814114625e-7	1.1137718186083387e-6
PC 38:3	severe	D10 - D0	0.2791950878946641	0.04861965755625414	1.8022831804742623e-7	1.4466975800023132e-6
SM 38:1;O2	severe	D10 - D0	-0.20600838857854886	0.03589788564744788	1.8348241326293646e-7	1.4531807130424568e-6
CAR 18:1	mild	D10 - D0	-1.0713552289614006	0.18716638346951656	1.9901256131937828e-7	1.5554402818909303e-6
PI 38:3	severe	D10 - D0	1.5747857781687236	0.2759304616166973	2.1254848370233503e-7	1.6396597314180132e-6
FA 16:1	severe	D60 - D0	-1.1194473717924278	0.1967092853264255	2.1927929783061018e-7	1.6698961911715696e-6
DG 36:2	mild	D3 - D0	0.47567366660181887	0.08351544900080606	2.272247840995334e-7	1.7085002753813017e-6
PC 32:0	mild	D60 - D0	-0.19617031995673767	0.034585408201778356	2.54107334618503e-7	1.8668023808269632e-6
DG 32:1	mild	D10 - D0	1.5674533916142186	0.2763651051094874	2.5456396102185863e-7	1.8668023808269632e-6
PI 38:4	mild	D10 - D0	0.7300419978259621	0.13012895354186774	3.377027786299891e-7	2.4462859817830918e-6
SM 34:1;O2	severe	D60 - D0	-0.17121378957929584	0.03097088341234702	4.844893319866372e-7	3.467309195181476e-6
SM 41:2;O2	mild	D3 - D0	-0.18451137555186287	0.033544924465200354	5.648216032660969e-7	3.994095623095971e-6
LPC 17:0	mild	D10 - D0	2.253951909804969	0.4114925619255718	6.276300104079979e-7	4.386026190380598e-6
SM 42:1;O2	severe	D10 - D0	-0.2576242438118873	0.0472945121312325	7.12220148857412e-7	4.919288004898869e-6
SM 36:2;O2	severe	D60 - D0	-0.17553325681285264	0.03257342661274511	9.291934472965835e-7	6.3441483643008115e-6
PC 32:0	severe	D10 - D0	-0.19149714900654513	0.035921512993378306	1.2139390315191179e-6	8.194088462754046e-6
TG 48:1	mild	D10 - D0	1.282584388912358	0.24126222326781657	1.3099397873084229e-6	8.742744198440486e-6
FA 14:0	mild	D60 - D0	-0.8092502393876521	0.1527147539571516	1.4136886981042096e-6	9.330345407487784e-6
PC 32:1	severe	D60 - D0	-0.307082964030169	0.05805859886446769	1.455129756244844e-6	9.498319507796015e-6
PI 38:4	mild	D60 - D0	0.6790478299758548	0.13012895354186776	2.025592528820397e-6	1.3078282196949084e-5
LPC 14:0	mild	D10 - D0	2.033649249546004	0.39028671011432353	2.1036902759785647e-6	1.3436473375605026e-5
LPC 17:0	severe	D10 - D0	2.2121063019465166	0.42700565102333676	2.380332233986593e-6	1.5041673904128045e-5
DG 32:0	mild	D10 - D0	1.136030655902241	0.219294787600588	2.4082625149635106e-6	1.5057978251456056e-5
SM 38:2;O2	mild	D10 - D0	-0.32444465183152	0.06268828209883494	2.4605014866674324e-6	1.5224352948754738e-5
PC 32:2	mild	D10 - D0	1.2955219705864711	0.25073376385203744	2.558886300629837e-6	1.5669881057465184e-5
