"feature","BS-064D0","JV-035D0","JV-048D0","KT-515D0","KT-926D0","JV-148D0","JV-157D0","KT-193D0","KT-247D0","KT-312D0","KT-347D0","KT-352D0","KT-417D0","KT-434D0","KT-522D0","KT-525D0","KT-565D0","KT-612D0","KT-705D0","KT-718D0","JV-071D0","BS-082D0","BS-336D0","BS-346D0","BS-351D0","BS-364D0","BS-377D0","JV-138D0","KT-313D0","KT-412D0","KT-445D0","KT-537D0","KT-538D0","KT-539D0","KT-663D0","KT-695D0","KT-716D0","KT-723D0","KT-771D0","KT-805D0","KT-880D0","KT-974D0","BS-671D0"
"TG 56:8","0.32015","0.23553","-0.4318","-0.4318","0.21484","0.18469","0.31387","0.35984","-0.06048","0.18752","-0.10791","-2","0.2878","-0.18709","-0.12494","0.13988","0.49693","0.10037","0.19033","0.42813","-0.03152","-0.0655","-2","-2","0.20412","-2","0.47129","-0.18709","-0.13668","-2","-0.01323","-2","-0.08092","0.07918","-0.4318","-0.24413","0.29003","-0.16115","0.1959","0.49554","-2","-0.25964","-2"
"TG 58:5","0.32838","0.36736","-0.4318","-2","-0.18046","-0.10237","0.38202","0.40824","0.1959","0.23553","-0.17393","-0.40894","0.39094","-2","0.08991","0.17898","0.32222","-0.20761","0.09691","0.36549","0","-0.40894","-2","-2","0.26245","-2","0.62014","-0.11919","-2","-2","-0.04096","-2","-0.14874","-0.20761","-0.49485","-2","0.11059","-0.35655","0.22531","0.54158","-2","-0.67778","-2"
"TG 58:7","0.45332","0.58771","-0.21467","-0.3279","0.18469","0.17898","0.64933","0.67025","0.28103","0.20412","0.24797","0.13033","0.50786","-0.07058","0.37107","0.44871","0.49136","0.23805","0.34242","0.66652","0.1271","-0.18709","-0.30103","-0.08092","0.47276","-2","0.5611","-0.00877","-0.38722","-0.21467","0.17609","-0.25181","0.17609","0.13988","-0.23657","-0.29243","0.48855","-0.10791","0.38202","0.79309","-0.284","-0.11351","-2"
"TG 58:8","0.29003","0.45637","-0.24413","-0.39794","0.15229","0.31387","0.47857","0.57749","0.06446","0.3784","0.02938","0.29667","0.25042","0.17609","0.27184","0.35793","0.48001","0.15229","0.25042","0.56703","-0.09691","-0.22185","-0.19382","-0.09151","0.35411","-2","0.66464","-0.03621","-0.4318","-2","0.08991","-0.23657","0.09691","0.13672","-2","-0.37675","0.29226","-0.22185","0.20412","0.63246","-0.19382","-0.22185","-2"
"FA 14:0","0.55267","0.57864","0.66558","0.26007","0.35793","0.35411","0.50106","0.63949","0.68395","0.65514","0.3784","0.60423","0.62221","0.21748","0.91698","0.64048","0.84261","0.24797","0.64933","0.50786","0.48855","0.55388","0.7332","0.40824","0.63043","0.43297","0.64048","0.48572","0.91487","0.48996","0.40483","0.31806","0.18752","0.69984","0.22789","0.42975","0.72016","0.39094","0.52763","0.69636","0.53148","0.4133","0.51055"
"FA 16:0","1.93435","1.91834","2.18633","1.54802","1.80808","1.58704","1.98704","2.1389","2.30516","2.1365","1.7492","2.00728","2.04112","1.45834","2.26512","2.05242","2.30786","1.52231","2.10829","1.99326","1.75289","1.91068","2.16758","1.84479","2.07298","1.89193","2.11371","1.90493","2.18373","1.83904","1.80044","1.52621","1.8001","2.01322","1.56086","1.88891","2.06625","1.51095","1.99883","2.10483","1.83942","1.88195","1.8423"
"FA 16:1","1.25261","1.15715","1.33965","0.52244","1.09552","0.69636","1.12483","1.45515","1.41581","1.43185","0.90472","1.29579","1.36866","0.83187","1.8485","1.47741","1.62552","0.75435","1.38003","1.22608","0.91855","1.27875","1.42275","0.99211","1.57043","0.95134","1.45818","1.23477","1.46702","1.05038","0.57749","0.63949","0.88536","1.48273","0.54407","1.12057","1.32366","0.43933","1.04493","1.43553","0.82151","1.17085","1.03383"
"FA 18:0","1.49568","1.4524","1.47885","1.24969","1.44871","1.15625","1.45576","1.60991","1.89321","1.62685","1.30341","1.53631","1.62951","1.05956","1.9014","1.56738","1.69311","1.18241","1.60563","1.57634","1.26364","1.28217","1.6894","1.54543","1.51215","1.56949","1.60119","1.57898","1.71433","1.39199","1.55642","1.22167","1.44824","1.53631","1.31555","1.47784","1.55157","1.18441","1.65205","1.45712","1.41296","1.41481","1.46776"
"FA 18:1","2.27524","2.33854","2.6312","1.71925","2.20618","1.8012","2.35191","2.59665","2.71087","2.50641","2.02049","2.34473","2.30432","1.72746","2.83124","2.52269","2.65033","1.63063","2.58972","2.40848","2.06269","2.22896","2.51872","2.09722","2.48441","1.96951","2.53903","2.2065","2.49318","2.11294","1.83942","1.75876","2.08128","2.46473","1.7391","2.20992","2.34936","1.55799","2.42029","2.5942","2.00762","2.19195","2.11227"
"FA 18:2","1.80936","1.81697","2.17354","1.36154","1.67541","1.43584","1.90108","2.07056","2.16188","2.10415","1.64699","1.91798","1.9566","1.22011","2.2273","1.96727","2.14943","1.27184","2.09465","1.87413","1.59017","1.79393","1.99961","1.62593","1.96956","1.62397","2.03294","1.76671","1.94052","1.70226","1.41896","1.44264","1.69381","1.922","1.31973","1.86177","1.97727","1.2887","1.89851","2.02206","1.50461","1.76908","1.69923"
"FA 18:3","0.26482","0.16137","0.65896","-2","0.40312","-2","0.28556","0.63043","0.45637","0.67025","-2","0.35411","0.45179","-2","0.69636","0.54531","0.51322","-2","0.5682","0.35793","0.21484","0.34635","0.5832","-2","0.51587","0.03743","0.54777","0.15836","0.64542","0.233","-2","-2","-2","0.40483","-2","0.45484","0.66181","-2","0.35411","0.42651","-2","0.24055","-2"
"FA 20:3","0.24304","0.20412","0.51055","-2","0.02531","-2","0.26951","0.45788","0.68034","0.50106","-2","0.31597","0.24055","-2","0.75435","0.32838","0.5172","-2","0.55871","0.23045","-2","0.13033","0.38021","-2","-2","-2","0.42488","0.22272","0.29885","-2","-2","-2","-2","0.32015","-2","-2","-2","-2","0.44716","0.26245","-2","-2","-2"
"PI 38:4","1.36922","0.98498","0.96284","0.95376","1.15897","1.16197","1.11461","1.37438","1.10106","1.18213","0.95999","1.34616","1.13545","0.86153","1.11694","1.37162","1.32818","0.60314","1.08027","1.17609","1.51041","0.76567","1.20003","0.91855","0.94645","0.92117","1.3694","1.06183","0.88705","0.52244","0.75511","0.83569","-2","-2","-2","0.58092","1.3753","0.93197","1.19451","1.54469","0.93651","0.4456","1.20817"
