"","Aspect","Characteristic","feature*group_fval","feature*group_pval","feature*group_padj","feature_fval","feature_pval","feature_padj","group_fval","group_pval","group_padj"
"1","Fatty acid properties","FA.OH","2.018988","1.40e-01","9.54e-01","1798.278","1.35e-56","1.68e-56","0.14597","8.64e-01","9.77e-01"
"2","Fatty acid properties","FA.Chain.Length.Category3","1.874163","1.60e-01","9.54e-01","1173.464","1.45e-49","1.72e-49","0.50722","6.04e-01","8.93e-01"
"3","Fatty acid properties","Total.DB","1.319454","1.61e-01","9.54e-01","539.043","9.52e-240","4.95e-239","0.24746","7.81e-01","9.66e-01"
"4","Fatty acid properties","Total.OH","1.471535","2.36e-01","9.54e-01","2721.604","1.52e-63","2.08e-63","0.00413","9.96e-01","9.96e-01"
"5","Fatty acid properties","FA","1.105436","2.80e-01","9.54e-01","412.129","0.00e+00","0.00e+00","1.82757","1.61e-01","5.99e-01"
"6","Fatty acid properties","FA.C","1.163189","2.89e-01","9.54e-01","484.141","6.50e-209","2.11e-208","0.02124","9.79e-01","9.96e-01"
"7","Fatty acid properties","Total.C","1.084666","3.17e-01","9.54e-01","413.398","0.00e+00","0.00e+00","0.01808","9.82e-01","9.96e-01"
"8","Fatty acid properties","Total.FA","1.039717","3.54e-01","9.54e-01","268.038","0.00e+00","0.00e+00","1.18952","3.05e-01","6.60e-01"
"9","Fatty acid properties","FA.Chain.Length.Category1","0.994565","3.74e-01","9.54e-01","672.206","1.10e-40","1.25e-40","1.30628","2.77e-01","6.60e-01"
"10","Lipid classification","class","1.041926","4.10e-01","9.54e-01","659.322","1.55e-281","1.01e-280","0.48115","6.18e-01","8.93e-01"
"11","Physical or chemical properties","Intrinsic.Curvature","0.920412","4.55e-01","9.54e-01","942.862","4.12e-74","6.30e-74","0.48321","6.18e-01","8.93e-01"
"12","Cellular component","Cellular.Component","0.952226","4.75e-01","9.54e-01","537.224","9.61e-106","2.08e-105","0.27958","7.56e-01","9.66e-01"
"13","Lipid classification","Sub.Class","0.976729","4.77e-01","9.54e-01","1032.594","2.11e-215","7.82e-215","0.20213","8.17e-01","9.66e-01"
"14","Fatty acid properties","FA.Chain.Length.Category2","0.784677","6.17e-01","1.00e+00","1088.378","1.79e-134","4.24e-134","0.79703","4.52e-01","8.25e-01"
"15","Fatty acid properties","FA.DB","0.700990","7.50e-01","1.00e+00","700.553","2.10e-165","6.08e-165","3.88894","2.16e-02","2.13e-01"
"16","Specific ratios","Chains Ether/Ester linked ratio","0.163964","8.49e-01","1.00e+00","103.106","4.84e-16","5.04e-16","3.05882","5.25e-02","2.73e-01"
"17","Physical or chemical properties","Headgroup.Charge","0.317551","8.66e-01","1.00e+00","503.902","4.14e-59","5.38e-59","0.74748","4.76e-01","8.25e-01"
"18","Function","Function","0.295426","8.80e-01","1.00e+00","648.507","4.66e-65","6.73e-65","3.45973","3.46e-02","2.25e-01"
"19","Fatty acid properties","FA.Unsaturation.Category1","0.125113","8.83e-01","1.00e+00","209.784","4.55e-24","4.93e-24","2.75838","6.94e-02","3.01e-01"
"20","Physical or chemical properties","Lateral.Diffusion","0.332266","9.19e-01","1.00e+00","546.174","8.36e-84","1.36e-83","1.65543","1.94e-01","6.31e-01"
"21","Lipid classification","Category","0.363396","9.39e-01","1.00e+00","1218.973","3.46e-139","8.99e-139","0.29210","7.47e-01","9.66e-01"
"22","Physical or chemical properties","Bilayer.Thickness","0.288226","9.42e-01","1.00e+00","579.562","1.10e-85","1.90e-85","1.50593","2.25e-01","6.50e-01"
"23","Physical or chemical properties","Transition.Temperature","0.350723","9.45e-01","1.00e+00","381.905","2.04e-92","3.79e-92","1.00049","3.70e-01","7.39e-01"
"24","Lipid classification","Main.Class","0.487246","9.53e-01","1.00e+00","855.684","4.91e-229","2.13e-228","1.21778","2.97e-01","6.60e-01"
"25","Fatty acid properties","FA.Unsaturation.Category2","0.225185","9.86e-01","1.00e+00","424.663","1.64e-96","3.28e-96","4.79597","9.24e-03","2.13e-01"
"26","Specific ratios","Ratio of Lysophospholipids to Phospholipids","0.000481","1.00e+00","1.00e+00","0.038","8.46e-01","8.46e-01","3.88341","2.46e-02","2.13e-01"
