"","endoplasmic reticulum (ER)","lipid droplet","golgi apparatus","endosome/lysosome","plasma membrane"
"plasma membrane",0.397463002114165,0.184385382059801,0.999546964663244,0.997885835095138,1
"lipid droplet",0.504530353367563,1,0.189519782543038,0.186499546964663,0.184385382059801
"golgi apparatus",0.400785261250378,0.189519782543038,1,0.998187858652975,0.999546964663244
"endosome/lysosome",0.393989731199034,0.186499546964663,0.998187858652975,1,0.997885835095138
"endoplasmic reticulum (ER)",1,0.504530353367563,0.400785261250378,0.393989731199034,0.397463002114165
