"","lipid storage","lipid-mediated signalling","membrane component"
"membrane component",0.517819389912413,0.919812745394141,1
"lipid-mediated signalling",0.359408033826638,1,0.919812745394141
"lipid storage",1,0.359408033826638,0.517819389912413
