feature	log2FC_severe_vs_mild	p_ttest	p_wilcoxon	padj_ttest	padj_wilcoxon
9,10-DiHOME	0.7046117264219286	0.16159496582246274	0.4170650029727573	0.9228559755565608	0.9104997958346267
12,13-DiHOME	0.6518771837515515	0.2305145754416726	0.574710617385818	0.9228559755565608	1
13-oxo-ODE	1.401291976919843	0.07909771902087898	0.3011249262550871	0.9228559755565608	0.9104997958346267
9,12,13-TriHOME	0.5358494123060618	0.1817202762439834	0.25480125405198273	0.9228559755565608	0.9104997958346267
5-HETE	0.5231152577104282	0.2623774749500949	0.08453115629134228	0.9228559755565608	0.9104997958346267
PGF2a	-0.6512279741915077	0.2636731358733031	0.174953148116353	0.9228559755565608	0.9104997958346267
9-HODE	-0.2013691078372553	0.5831150836494023	0.4769284644848044	0.93145867571104	0.9104997958346267
13-HODE	-0.07964874664791562	0.753928253699272	0.9701929318330008	0.93145867571104	1
9-oxo-ODE	0.2510902062332687	0.6129408392617177	0.9497896122069424	0.93145867571104	1
8,9-EET	0.12832275123415168	0.7944751034137112	0.8102764822883224	0.93145867571104	1
8-HETE	-0.07627201886393227	0.7683376886774685	0.6808689926887713	0.93145867571104	1
12-HETE	-0.1168578880533911	0.618561348848789	0.26549083430335957	0.93145867571104	0.9104997958346267
15-HETE	-0.1869439611682238	0.39411392477074736	0.7744505758902573	0.93145867571104	1
5-oxo-ETE	0.47582750886088904	0.3979183701543395	0.4170650029727573	0.93145867571104	0.9104997958346267
LxA4	0.384183188410243	0.5322859473685349	0.41288803894668785	0.93145867571104	0.9104997958346267
13-HOTrE	-0.07838163862313384	0.7983931506094628	0.8910162586828188	0.93145867571104	1
14-HDHA	0.0797831266910229	0.730327891978757	0.8910162586828188	0.93145867571104	1
17-HDHA	0.12286988784784883	0.6866569163784619	0.44643809258740197	0.93145867571104	0.9104997958346267
9,10,13-TriHOME	0.09359953072532519	0.8550855570908158	0.9093294036596684	0.9450945631003754	1
TXB2	-0.014508170252948207	0.9779193820465961	0.21498949698823008	0.9779193820465961	0.9104997958346267
9-HOTrE	-0.0372568912113911	0.9414701926148306	1	0.9779193820465961	1
