feature	KT-695_D0_D3	KT-723_D0_D3	KT-247_D0_D3	KT-718_D0_D3	KT-880_D0_D3	KT-926_D0_D3	JV-138_D0_D3	KT-974_D0_D3	KT-193_D0_D3	KT-412_D0_D3	KT-805_D0_D3	BS-671_D0_D3	BS-351_D0_D3	JV-157_D0_D3	KT-522_D0_D3	KT-538_D0_D3	KT-539_D0_D3	KT-663_D0_D3	KT-515_D0_D3	BS-064_D0_D3	KT-771_D0_D3	BS-364_D0_D3	KT-417_D0_D3	KT-537_D0_D3	KT-716_D0_D3	KT-352_D0_D3	BS-336_D0_D3	KT-313_D0_D3	KT-525_D0_D3	KT-445_D0_D3	BS-377_D0_D3	KT-312_D0_D3	KT-612_D0_D3	JV-035_D0_D3	KT-434_D0_D3	BS-346_D0_D3	KT-705_D0_D3	BS-082_D0_D3	JV-148_D0_D3	KT-347_D0_D3
DG 30:0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.42	1.0	1.0	1.0	1.0	1.0	1.0
DG 32:0	0.5128205128205129	0.6024096385542168	0.8506787330316742	1.3424657534246576	0.9183673469387755	1.12565445026178	1.1006289308176103	0.7092198581560284	0.8833333333333333	0.5555555555555556	0.8714285714285714	0.3236245954692557	0.7872340425531915	0.9894736842105263	0.4132231404958678	0.7909604519774011	1.0	0.6134969325153374	0.4739336492890995	0.9831460674157303	1.0451977401129944	0.5291005291005291	1.9300000000000002	1.0	1.0833333333333333	1.0437956204379562	0.6756756756756757	1.0	0.7299270072992701	0.6329113924050632	0.8090452261306532	0.887323943661972	0.45195729537366547	2.301075268817204	1.0	0.3846153846153846	1.2450331125827814	1.53	0.5076142131979695	1.050314465408805
DG 32:1	1.0	0.5050505050505051	1.0	1.0	1.0	1.5693430656934304	1.0	1.0	1.1309523809523807	0.6024096385542168	1.5699999999999998	0.5319148936170213	0.6369426751592357	0.5942622950819673	1.0	0.7246376811594204	1.0	1.0	0.5434782608695653	0.5376344086021506	1.0	1.0	1.47	1.0	0.43103448275862066	1.0	0.6802721088435374	1.34	1.0	0.7462686567164178	0.4807692307692307	0.5870445344129555	0.5181347150259067	1.7164179104477615	1.0	0.6578947368421053	1.0	1.37	0.35714285714285715	0.7246376811594204
DG 34:1	0.648414985590778	0.2848101265822785	0.8133561643835616	0.8466019417475726	1.3449197860962567	2.2860759493670884	0.780373831775701	0.5968253968253968	0.9484240687679082	0.2711323763955343	1.0278637770897832	0.3553370786516854	0.7041942604856513	0.5595092024539877	0.42608695652173917	0.5396039603960396	0.594855305466238	0.47590361445783136	0.19638826185101582	0.6411764705882353	0.5976190476190475	0.4980079681274901	1.3775510204081634	0.7417218543046358	0.7945007235890015	1.2812499999999998	0.5942350332594235	0.8943396226415095	1.0348837209302326	0.5630026809651475	0.5933806146572103	0.5575679172056921	0.22185792349726777	3.2559726962457334	1.209183673469388	0.2558459422283356	1.3957703927492446	1.144781144781145	0.38362919132149903	1.2729468599033813
DG 34:3	1.0	0.7246376811594204	1.0	1.0	1.0	1.69	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7407407407407407	1.0	1.0	1.0	1.0	1.0	1.0	1.5699999999999998	1.0	1.0	1.0	1.0	0.5434782608695653	1.0
DG 36:3	0.7670682730923695	0.3423645320197044	0.5812182741116751	0.900990099009901	1.146739130434783	1.9274193548387095	0.9567099567099566	0.5774058577405858	1.2412935323383087	0.3067484662576687	0.9626436781609196	0.3835920177383592	0.5945017182130584	0.7744565217391304	0.25839793281653745	0.5351351351351351	0.4366812227074236	0.4166666666666667	0.30246913580246915	0.7374100719424459	0.7465753424657534	0.6244343891402715	1.0521172638436482	0.6773049645390071	1.1464285714285716	1.5145631067961165	0.6274509803921569	0.7461139896373056	0.7965367965367964	0.4504504504504505	0.7146814404432134	0.7435897435897437	0.31639722863741343	2.0697674418604652	0.7092198581560284	0.2481389578163772	1.4137931034482758	1.99	0.34685314685314683	1.1946902654867257
DG 34:2	0.5494505494505495	0.4132231404958678	0.8056872037914691	0.9942196531791907	1.0	1.5432098765432098	0.859375	0.7042253521126761	1.19140625	0.4739336492890995	1.0752688172043012	0.3717472118959108	0.7434554973821988	0.6489795918367346	0.4854368932038835	0.6188340807174888	0.6097560975609756	0.591715976331361	0.38314176245210724	0.6851851851851851	1.0362694300518134	0.49504950495049505	1.0263157894736843	1.0	0.8844444444444445	1.1518987341772151	0.46511627906976744	1.0	1.0514705882352942	0.7092198581560284	0.7601809954751132	0.46131805157593114	0.3401360544217687	1.7873303167420815	1.0	0.42372881355932196	1.4328358208955223	1.46	0.45428571428571424	1.0292397660818713
DG 36:1	0.8064516129032259	0.7462686567164178	0.8313953488372092	1.0661157024793388	1.0	1.0	0.8980891719745223	0.9523809523809523	1.1013513513513513	0.7936507936507936	1.21	0.6802721088435374	0.9663865546218487	0.8421052631578948	0.7142857142857143	0.5497630331753554	0.7299270072992701	0.7575757575757576	0.7518796992481203	0.8571428571428572	0.9632352941176472	0.6896551724137931	1.4	1.0	0.9133858267716535	1.0614035087719296	0.8928571428571428	1.0	0.8620689655172414	0.8771929824561403	1.1034482758620692	0.7109826589595376	0.6493506493506493	1.732142857142857	1.0	0.6329113924050632	1.182608695652174	1.0	0.8474576271186441	0.8130081300813008
DG 36:2	0.5672823218997362	0.26342710997442453	1.172566371681416	0.9320843091334895	1.0602409638554218	1.6830466830466828	0.7523629489603024	0.4328018223234623	1.476340694006309	0.17421602787456444	1.0966325036603222	0.2974537037037037	0.7119266055045871	0.4819711538461538	0.3907563025210084	0.38902439024390245	0.429872495446266	0.344298245614035	0.20700000000000002	0.6021671826625388	0.7255192878338279	0.27927927927927926	0.8480620155038759	0.5560081466395111	0.8193343898573693	1.2954545454545454	0.49339207048458156	0.6061643835616438	1.0110803324099724	0.638095238095238	0.8780487804878049	0.42510121457489874	0.22122905027932963	1.6564327485380117	1.1634615384615383	0.20408163265306123	2.0033670033670035	1.1627906976744187	0.5068119891008175	1.0637813211845102
DG 36:4	1.0	1.0	0.6926829268292684	1.0	1.0	0.7299270072992701	1.147887323943662	1.0	0.6369426751592357	1.0	1.0	0.6211180124223603	1.0	1.0	1.0	0.5714285714285714	1.0	1.0	1.0	0.7575757575757576	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5506072874493927	1.0	1.9100000000000001	1.0	1.0	1.0	1.0	1.0	0.7692307692307692
CAR 16:0	1.22	1.0521739130434784	1.11	0.8333333333333334	1.0	1.12	1.0	1.0588235294117647	1.1	1.093220338983051	1.49	1.22	1.19	0.8771929824561403	0.8695652173913044	1.0818181818181818	1.22	1.13	1.099099099099099	1.0	0.9661016949152544	1.2456140350877192	0.9534883720930232	1.12	1.3303571428571428	1.2	1.0172413793103448	1.0	1.0089285714285712	1.26	1.22	1.0	1.17	0.7006369426751594	0.9495798319327731	1.24	0.8620689655172414	1.13	1.0	0.9090909090909091
CAR 18:1	1.3157894736842104	1.076923076923077	1.0564516129032258	0.880597014925373	1.0	1.22	1.0	1.0704225352112677	1.1428571428571428	1.193103448275862	1.7049180327868854	1.46	1.157894736842105	0.8931297709923663	0.9777777777777777	1.1221374045801527	1.1953125	1.23	1.1199999999999999	1.18	0.9923076923076923	1.055944055944056	1.0422535211267605	1.38	1.4426229508196722	1.3697478991596639	1.0441176470588236	1.13	1.0076335877862594	1.41	1.2540983606557377	1.0	1.173913043478261	0.6815642458100558	1.1570247933884297	1.1900826446280992	0.9921259842519685	1.3599999999999999	1.008695652173913	0.9285714285714285
CAR 18:2	1.27	1.1465517241379313	1.0	1.0	1.0	1.1	1.0	1.0330578512396695	1.0	1.184873949579832	1.37	1.19	1.0	0.8928571428571428	1.0	1.0458715596330275	1.2	1.11	1.22	1.0	1.0	1.22	1.15	1.16	1.2499999999999998	1.17	1.0086206896551724	1.0	0.9732142857142857	1.18	1.17	1.0	1.18	0.6711409395973155	1.1400000000000001	1.16	1.09	1.13	1.0	0.9174311926605504
CAR 2:0	1.13	1.0	1.0	0.8	1.0	1.0	1.0	1.0	1.12	1.0	1.0	1.0	1.18	1.0	1.48	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.1400000000000001	1.0	1.0	1.0	1.12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	1.0
CAR 3:0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CAR 8:0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.33	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CE 16:1	0.684931506849315	1.0	0.9014778325123152	1.0	1.0	0.5464480874316939	3.49	0.4166666666666667	1.0	1.0	1.95	1.0	1.326388888888889	1.67	1.0	1.0	1.0	3.1	1.0	0.6192468619246863	1.0	3.14	1.6600000000000001	1.0	1.0	1.0	0.6329113924050632	1.0	1.0	0.7142857142857143	1.63	1.0	1.44	1.0	1.0	1.103225806451613	0.7299270072992701	1.0	1.0	0.7352941176470589
CE 18:1	1.22	1.0	0.7567567567567567	1.297029702970297	1.0	0.5376344086021506	1.0	1.19	1.42	0.5681818181818182	1.0	0.7751937984496123	0.29767441860465116	0.6802721088435374	1.0	1.42	1.3599999999999999	1.28	1.63	1.0	0.6451612903225806	1.31	1.87	1.0	1.0	1.0	1.0	1.23	1.0	1.0	5.25	1.0	4.859999999999999	1.0	0.8547008547008548	0.22955974842767293	1.267241379310345	1.45	1.0	0.9174311926605504
CE 18:2	0.8649885583524026	4.3	1.4952606635071086	0.6013289036544851	0.6711409395973155	0.2680965147453083	8.48	0.7127003699136869	1.4243697478991597	3.141975308641975	8.57	0.6225490196078431	1.2735042735042739	5.4	1.0	0.7786259541984732	3.28	2.8445945945945947	4.220000000000001	3.3658536585365857	1.0	3.8	1.7692307692307692	2.67	2.76	1.8599999999999999	0.5580110497237569	4.43	1.0	5.139175257731959	5.52	2.62	4.5	0.4273318872017354	0.25839793281653745	0.5579710144927537	0.4814264487369985	1.805263157894737	0.4739336492890995	0.3412969283276451
Cer 34:1;O2	0.870748299319728	0.8	1.025	0.7194244604316546	1.0	0.6666666666666666	1.114503816793893	1.0	1.32	1.0	1.38	0.6578947368421053	1.075187969924812	1.0	1.1972789115646258	0.8578947368421053	0.7407407407407407	0.6578947368421053	0.7462686567164178	1.376923076923077	1.05	1.0	1.34	1.31	1.0	1.0	0.78125	1.0	1.34	1.0	1.3	1.3	1.0	1.43	1.0	1.0	1.47	1.0	1.0	1.0
