feature	KT-539_D10_D60	BS-671_D10_D60	BS-064_D10_D60	KT-805_D10_D60	KT-926_D10_D60	KT-705_D10_D60	BS-336_D10_D60	BS-082_D10_D60	BS-351_D10_D60	KT-347_D10_D60	BS-377_D10_D60	KT-313_D10_D60	BS-364_D10_D60	KT-880_D10_D60	JV-138_D10_D60	KT-412_D10_D60	KT-515_D10_D60	KT-771_D10_D60	KT-723_D10_D60	KT-718_D10_D60	KT-417_D10_D60	KT-522_D10_D60	KT-312_D10_D60	JV-157_D10_D60	KT-538_D10_D60	KT-193_D10_D60	JV-035_D10_D60	KT-434_D10_D60	KT-247_D10_D60	KT-716_D10_D60	KT-974_D10_D60	KT-537_D10_D60	KT-612_D10_D60	KT-445_D10_D60	KT-525_D10_D60	KT-352_D10_D60	JV-148_D10_D60	BS-346_D10_D60	KT-663_D10_D60	KT-695_D10_D60
DG 30:0	1.0	1.0	1.0	1.0	1.0	1.06993006993007	1.0	1.0	1.0	1.0	1.3243243243243243	1.47	1.0	1.0	1.5899999999999999	0.6896551724137931	1.0	0.7978142076502732	1.0	1.0	1.0	1.0	2.15	1.0	1.0	1.0	2.25	1.0	1.0	1.0	1.0	1.0	1.5699999999999998	1.0	1.0	1.5899999999999999	1.58	1.0	1.0	1.0
DG 32:0	1.72	0.969879518072289	1.235897435897436	2.005813953488372	1.3669064748201436	0.8811475409836066	1.582191780821918	1.2317880794701985	1.7755102040816328	1.51	0.9159891598915989	1.206060606060606	1.0745341614906834	0.8174157303370787	3.0914285714285716	0.544987146529563	2.043795620437956	0.9649122807017544	1.7777777777777777	1.83	1.49	1.0	3.4722222222222223	1.4383561643835618	1.6193548387096772	1.342696629213483	2.6503496503496504	1.53	1.3076923076923077	0.6134969325153374	0.6756756756756757	1.44	3.045197740112994	1.639751552795031	2.6100000000000003	3.02	2.1605839416058394	2.5733944954128445	1.9791666666666667	1.92
DG 32:1	1.65	1.0	2.73	2.013245033112583	1.0	1.0	1.3924050632911393	1.1891891891891893	2.2199999999999998	1.47	1.280334728033473	1.0824175824175826	2.0300000000000002	2.67	1.7751196172248804	0.688	2.67	0.7957957957957957	1.2264150943396228	1.78	1.0	1.0	2.32716049382716	1.8	2.1399999999999997	1.0677083333333333	5.1	1.56	1.2191011235955056	0.6711409395973155	1.0	1.54	1.3148148148148147	1.370860927152318	1.9	2.84	2.2296296296296294	2.2969696969696973	2.8899999999999997	1.62
DG 34:1	2.061302681992337	1.116504854368932	1.0569948186528497	2.346693386773547	1.8472727272727274	0.7570093457943925	1.1780538302277432	1.4999999999999998	1.7392550143266476	1.4207119741100327	0.8662921348314606	0.7675906183368871	1.5737704918032789	1.6345864661654133	2.56019656019656	0.5067628494138864	2.980769230769231	0.799212598425197	1.7101063829787235	2.513888888888889	1.985	1.5034013605442176	2.8321167883211675	1.7520215633423182	1.691119691119691	1.1089324618736383	2.488607594936709	0.8418181818181818	1.2739520958083832	0.4833333333333334	0.8291316526610645	1.7142857142857142	1.4133333333333333	1.79136690647482	3.391959798994975	2.598240469208211	2.7544483985765127	1.7154811715481173	2.75	1.932659932659933
DG 34:3	1.0	1.0	1.0	1.54	1.0	1.0	1.0	1.0	1.0	1.0	0.7299270072992701	1.0	1.0	1.0	1.55	0.625	1.43	0.9171974522292994	1.0	1.0	1.0	1.0	1.49	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.43	1.1810344827586208	1.73	1.0	1.0
DG 36:3	1.2151162790697674	1.008130081300813	0.7218045112781954	2.1934306569343063	1.190954773869347	0.6885813148788928	0.7696793002915451	0.9273743016759777	1.2428571428571429	0.8188679245283019	0.49260042283298094	0.852791878172589	1.116751269035533	1.048	1.6153846153846154	0.7845528455284553	1.907488986784141	0.6588693957115009	1.314516129032258	1.7586206896551722	1.1348314606741572	1.1835443037974684	2.0108108108108107	1.2755905511811025	1.21969696969697	0.7748091603053435	0.968503937007874	0.834008097165992	0.6852941176470588	0.588628762541806	0.9459459459459459	1.443708609271523	0.8527777777777777	1.744186046511628	1.6058823529411765	1.368200836820084	1.1572052401746724	2.241758241758242	1.2528735632183907	1.306532663316583
DG 34:2	1.0	0.5988023952095809	1.2866666666666668	1.722543352601156	1.1241379310344828	0.7989130434782609	1.022857142857143	0.6622516556291391	2.1799999999999997	1.74	0.746938775510204	0.9426751592356689	1.3142857142857143	1.151376146788991	1.308080808080808	0.7340823970037453	1.691275167785235	0.8135048231511255	1.5263157894736843	1.5555555555555554	1.42	1.0	1.573170731707317	1.4516129032258065	1.5161290322580645	1.1666666666666665	1.5833333333333333	1.56	1.0	0.5681818181818182	1.0	1.43	1.1843575418994414	1.4465408805031448	1.88	2.5700000000000003	1.5850340136054422	1.5027624309392262	1.652694610778443	1.81
DG 36:1	1.0	0.8695652173913044	1.23	1.3189655172413794	1.0	0.9572649572649574	1.0347826086956522	0.9090909090909091	1.29	1.22	0.9925925925925926	1.0	1.0	1.0	1.65	0.9328859060402686	1.38	1.0902777777777777	1.3	1.31	1.0	1.0	1.29	1.32	1.1711711711711712	1.21	0.8474576271186441	1.08	1.0305343511450382	0.9259259259259258	1.0	1.18	1.2173913043478262	1.0916666666666668	1.41	1.47	1.1886792452830188	1.34	1.32	1.18
DG 36:2	2.0814479638009047	0.8765743073047858	1.7372013651877134	1.908510638297872	1.366771159874608	0.7710084033613446	1.2486910994764397	0.890625	1.7376543209876543	0.9696969696969698	0.8238636363636362	0.7075098814229248	1.9912663755458517	1.31236442516269	2.0198675496688745	0.5006337135614702	3.0076923076923077	0.896551724137931	1.9659863945578233	1.8859934853420197	1.0746753246753247	2.285714285714286	1.9941176470588236	2.0	1.7458033573141487	1.5913621262458473	1.8781249999999998	1.269736842105263	1.1004566210045663	0.5632458233890216	1.4260869565217391	1.1260504201680672	1.0728744939271255	1.9444444444444446	2.9179487179487182	1.9322033898305084	1.9915966386554624	2.905775075987842	1.9322033898305084	1.643884892086331
DG 36:4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.63	1.0	1.42	1.0	1.37	1.0	1.0	2.02	1.0	1.0	1.0	1.0	1.0	0.625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6756756756756757	1.0	1.0
