"","post.hoc.pval.signif","Total.C","class","comparison","mean_ctrl","mean_exp","FC","log2FC","method","anova.fval","anova.pval","post.hoc.method","post.hoc.pval","post.hoc.mlog10p","post.hoc.padj","post.hoc.mlog10padj","post.hoc.padj.signif"
"1","yes","51","TG","severe(exp) / mild(ctrl)","1.52e+00","4e+00","2.64e+00","1.4e+00","Two-way ANOVA","3.21e+00","7.41e-02","t-test","1.06e-04","3.98","9.52e-04","3.02","yes"
"2","yes","58","TG","severe(exp) / mild(ctrl)","5.28e+00","7.48e+00","1.42e+00","5.02e-01","Two-way ANOVA","3.21e+00","7.41e-02","t-test","3.02e-03","2.52","1.36e-02","1.87","yes"
"3","yes","54","TG","severe(exp) / mild(ctrl)","5.29e+00","9.63e+00","1.82e+00","8.64e-01","Two-way ANOVA","3.21e+00","7.41e-02","t-test","7.09e-03","2.15","1.91e-02","1.72","yes"
"4","yes","52","TG","severe(exp) / mild(ctrl)","4.62e+00","5.78e+00","1.25e+00","3.24e-01","Two-way ANOVA","3.21e+00","7.41e-02","t-test","8.49e-03","2.07","1.91e-02","1.72","yes"
"5","yes","49","TG","severe(exp) / mild(ctrl)","1.73e+00","2.45e+00","1.41e+00","4.99e-01","Two-way ANOVA","3.21e+00","7.41e-02","t-test","1.75e-02","1.76","3.15e-02","1.5","yes"
"6","yes","56","TG","severe(exp) / mild(ctrl)","4.37e+00","6.97e+00","1.59e+00","6.72e-01","Two-way ANOVA","3.21e+00","7.41e-02","t-test","2.59e-02","1.59","3.88e-02","1.41","yes"
"7","no","46","TG","severe(exp) / mild(ctrl)","1.73e+00","1.84e+00","1.06e+00","8.54e-02","Two-way ANOVA","3.21e+00","7.41e-02","t-test","2.94e-01","0.531","3.78e-01","0.422","no"
"8","no","50","TG","severe(exp) / mild(ctrl)","4.61e+00","4.81e+00","1.04e+00","6.22e-02","Two-way ANOVA","3.21e+00","7.41e-02","t-test","3.9e-01","0.409","3.91e-01","0.408","no"
"9","no","48","TG","severe(exp) / mild(ctrl)","3.32e+00","3.52e+00","1.06e+00","8.53e-02","Two-way ANOVA","3.21e+00","7.41e-02","t-test","3.91e-01","0.408","3.91e-01","0.408","no"
