"","endoplasmic reticulum (ER)","lipid droplet","mitochondrion","golgi apparatus","endosome/lysosome","plasma membrane"
"plasma membrane",0.181988742964353,-0.0819887429643527,0.0242667219303971,0.94202626641651,0.888555347091932,1
"mitochondrion",0.0682501554292419,0.0337459101844585,1,-0.00360209153654332,0.0885356182929332,0.0242667219303971
"lipid droplet",0.146904315196998,1,0.0337459101844585,-0.0345215759849906,0.0386491557223264,-0.0819887429643527
"golgi apparatus",0.24390243902439,-0.0345215759849906,-0.00360209153654332,1,0.906378986866792,0.94202626641651
"endosome/lysosome",0.159662288930582,0.0386491557223264,0.0885356182929332,0.906378986866792,1,0.888555347091932
"endoplasmic reticulum (ER)",1,0.146904315196998,0.0682501554292419,0.24390243902439,0.159662288930582,0.181988742964353
