sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
KT-193D0	2	-3.33738566494321	1.656649338724051	1.6372294285845421	0.8284765945045216	-1.0443220479824427	-0.4567959460951686	1.726074200955835	1.4402481449224231	0.1385110011829801	1.4411318863093379	-0.1828170136551167	-1.3022241432919655	1.438885476351821	1.1418418769088874	-0.09169652897292517	0.18435131816047526	-1.3586623433528136	-0.009094343341025029	0.2556681256069962	0.21246456530442243	-0.7530331261927896	-0.23151218866463064	-2.6367796834847468e-15
KT-247D0	2	-1.2445191360044112	3.4599417255725875	-0.7712284217869582	-0.9591603402199997	1.5198279594790103	0.5473215450005228	0.5706670113256775	0.8281729531241756	-0.14267543064745958	0.2448701177304185	-2.8741720878775667	1.1037233867930176	-0.7218574036826293	0.6735027292382939	1.3767287338373508	0.578204108797677	0.10371016356018423	-0.6201174098290221	0.423402892940361	-0.15914562241419392	0.4139549439193933	-0.4505534363488464	-2.1675369832330205e-15
KT-347D0	2	-1.1244385983903764	4.193613155103404	-1.5836507937348303	-1.6947833012928706	2.694190266865842	-0.24594792134244775	-1.3890845129786686	0.5829528965787293	0.9147734951480339	-0.11991081493392437	1.4612679387156458	1.4183306582102986	-0.18173977304303962	0.8526978574483213	-1.0728191838526613	-1.3909307133806144	0.18470747684880612	-0.7306791546392406	-0.008445103697592576	0.6635911991300695	-0.10152814438253445	-0.18930572784338023	-2.815456201510358e-15
KT-417D0	2	-2.0432137304502187	-4.535110708705191	1.3524331077880063	-0.06204720725807682	-4.135944841727177	3.689049311539142	-1.8219098734418575	4.0877557817715875	1.9972824395201025	-0.47842958946822706	0.07714515621507748	0.1560509466337061	-0.9085313437525657	-0.9709742190478672	-0.012744608258532056	-0.16012845904792816	-0.010283391049557543	-0.020320425918652803	0.01994130184575762	-0.0037577654069725344	-0.005453225879588831	0.0022843406609451894	-2.1788126858268697e-15
KT-522D0	2	-1.994756261893121	3.2808699577887013	-1.9893978588047956	-0.80579789726804	0.7161573597362031	0.5807231554064674	-0.11287213087687761	1.1537724273135388	-0.7746963318261897	-0.008040323364465488	-2.4510977518423034	-0.37599490210935566	-0.5549631987056415	1.4397553026725574	-0.22971859904728228	-0.2730374542846103	-0.41561909241011535	0.36847415713978854	-0.895571335535963	0.16154556077055252	0.25755702360083044	0.587374964578912	-2.9976021664879227e-15
KT-525D0	2	-0.2451715295757087	1.2288418100244058	-4.068830589746437	-1.3921398139940755	-2.732864536748058	5.331352350341649	2.456313668090306	-2.4550817124615887	-1.489512484537795	-0.7992604971699369	1.6958063307129303	0.24706348580040507	0.2973082641843279	0.8341898998549954	0.2688366606807443	0.12589686542898462	0.1088819937395675	-0.017784959697405577	0.043279567721759914	0.03977264454187096	-0.012678996790591531	-0.01324566279882589	-1.1882855810441129e-15
KT-565D0	2	-3.5293473685295527	1.1641739512802545	2.9328010022409834	1.0508396443917445	-1.1321985122200904	-0.8475300689048156	1.4124513195079516	1.133619541627606	0.562741820197755	0.7540774007841842	0.4577547641206658	-1.663276745889765	1.6838770429536958	1.1639676812215654	-0.28662444940358944	-0.12792172274614194	1.472657826779649	-0.30145239789108247	0.1400759444281806	-0.2529607183047242	0.5095983207330254	0.11569610376583223	-3.1363800445660672e-15
KT-705D0	2	3.313060109936659	-13.19244831139525	-3.3948400708890594	-5.199103086986252	-1.1250503229450588	-3.783646371473752	2.6153479877118935	0.9361646660313073	-0.03437930422457046	-1.0456717802834627	-0.04054871590560357	0.5701759680167046	0.37081237322315175	-0.168372621648174	-0.009359803115481869	-0.050531720457341577	0.0021783482436150935	0.03316262746854617	-0.02214853756758993	-0.03223196411027397	0.0011247291541404067	0.006485728656418687	-1.3877787807814457e-15
JV-015-RAN-IC-M2	2	-2.3042801783728577	2.767904105730741	0.9766835906674862	-0.2117831379396799	0.30212245316159747	0.30698353305465786	1.4098624270487152	-0.8129290450686989	-0.08203231817906262	-0.6611573002469928	-0.6247513124889569	-0.8771382580934117	-0.30462826441016017	-1.0585503449941684	-1.6517023548457728	-0.21667859645978108	-0.38769645939170905	0.5616282579980975	-0.44445955446319657	-0.34896974983192824	0.5905088166545621	-0.5478180505652903	-2.2620794126737565e-15
BS-007-RAN-01-M3	2	-2.0890211269635905	3.3351616342277643	-0.25985981276719444	-0.6269808436300162	1.1976161388147573	-0.5053444379497493	-0.4464341229030002	-0.23528017927272407	0.3851403465986019	-0.35099624479040725	1.7166234826767717	-0.7460186297179274	0.9730040610395259	-1.5677306016086194	0.6839101879507201	0.3198047786996964	-1.0518243035398394	-0.96601067007274255	-0.16362381410627747	-0.10814798989482531	0.6271351735546155	0.29396581443106035	-1.5439038936193583e-15
