DG	FA	PE	CE	PI	LPC	Cer	Hex2Cer	PC	Cholesterol	SM	PC O-	TG
-0.3150764843142339	-0.07784547575836144	-0.13119004407570656	0.07603059372569357	0.06883588281047448	0.18673839771843403	0.3723749027741769	0.36025408348457355	0.012380088151413017	0.28811252268602544	0.27560280010370763	0.5131578947368423	1
-0.2777417682136376	-0.385079077002852	-0.5316956183562356	-0.0976147264713508	-0.1530982628986259	0.10792066372828625	0.12004148301788957	0.038436608763287534	0.7092947886958777	0.8691988592170082	1	0.5845864661654137	0.27560280010370763
-0.047446201711174495	-0.12146746175784291	0.005315011667098782	0.7489629245527614	1	0.4770547057298419	0.6043557168784031	0.39486647653616813	-0.06455794659061448	-0.25298159191081154	-0.1530982628986259	0.08491055224267567	0.06883588281047448
0.18116411718952558	0.08218822919367386	1	-0.10805029815919111	0.005315011667098782	-0.12697692507129896	-0.21810992999740736	-0.3219471091521909	-0.5833549390718177	-0.4894996110967074	-0.5316956183562356	-0.47057298418459953	-0.13119004407570656
-0.35403163080114086	-0.35176302826030603	-0.47057298418459953	0.11200414830178898	0.08491055224267567	0.1909515167228416	0.4040057039149599	0.4369328493647914	0.3955146486906923	0.5701322271195232	0.5845864661654137	1	0.5131578947368423
-0.04167746953590875	-0.5063520871143377	-0.5833549390718177	0.06890070002592691	-0.06455794659061448	0.14998703655690954	0.047575836142079345	0.014648690692247864	1	0.5948275862068967	0.7092947886958777	0.3955146486906923	0.012380088151413017
-0.25706507648431426	-0.2208970702618616	-0.12697692507129896	0.23023074928701068	0.4770547057298419	1	0.4849624060150377	0.2463702359346643	0.14998703655690954	-0.028973295307233606	0.10792066372828625	0.1909515167228416	0.18673839771843403
-0.19419237749546284	-0.2612781954887219	-0.3219471091521909	0.3625875032408608	0.39486647653616813	0.2463702359346643	0.7890847809178119	1	0.014648690692247864	0.0731786362457869	0.038436608763287534	0.4369328493647914	0.36025408348457355
-0.0554835364272751	1	0.08218822919367386	-0.2147394347938813	-0.12146746175784291	-0.2208970702618616	-0.24241638579206645	-0.2612781954887219	-0.5063520871143377	-0.3287529167746954	-0.385079077002852	-0.35176302826030603	-0.07784547575836144
1	-0.0554835364272751	0.18116411718952558	0.14486647653616802	-0.047446201711174495	-0.25706507648431426	-0.3596059113300493	-0.19419237749546284	-0.04167746953590875	-0.16845994296085043	-0.2777417682136376	-0.35403163080114086	-0.3150764843142339
-0.16845994296085043	-0.3287529167746954	-0.4894996110967074	-0.1570521130412238	-0.25298159191081154	-0.028973295307233606	-0.0016852476017630287	0.0731786362457869	0.5948275862068967	1	0.8691988592170082	0.5701322271195232	0.28811252268602544
-0.3596059113300493	-0.24241638579206645	-0.21810992999740736	0.3921441534871663	0.6043557168784031	0.4849624060150377	1	0.7890847809178119	0.047575836142079345	-0.0016852476017630287	0.12004148301788957	0.4040057039149599	0.3723749027741769
0.14486647653616802	-0.2147394347938813	-0.10805029815919111	1	0.7489629245527614	0.23023074928701068	0.3921441534871663	0.3625875032408608	0.06890070002592691	-0.1570521130412238	-0.0976147264713508	0.11200414830178898	0.07603059372569357
